task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,11,0,0.0,0,0,70,,1081.3399996631206,0.6021308658190636,140.74815960936982,,,,1059.4114947432809,0.7950220163138778,143.0737917211299,2.81100349999997,140,4.0,576.8198999949163,18.685199999708857,0,0,53.55314319823681,19.899943977463792,46.271500794115966,119.26342920407276,0.0,0.0,0.40067126795696106,7.517258594125332,cpu,,0.15436152099017839,0.1571037973481282,,,,,0.13372025850079572,0.1357732968366205,7.921800000076473,0.0,10.763399999632384,2.81100349999997
medical_resource_allocation,fpto,11,1,0.5,0,0,70,,1079.2076006923708,0.5674282921428353,140.74156584063522,,,,1057.205789962767,0.7625159105915291,143.09324931749495,2.715838000000076,140,4.0,537.5361999949746,19.73309999993944,0,0,53.60547837257441,19.916341200790637,46.1347310531298,119.80903576009224,0.0,0.0,0.38935447806430323,7.517594575268005,cpu,,0.1540401388393665,0.15679398916950685,,,,,0.13347901312538984,0.13554184291887048,10.700900000301772,0.0,9.032199999637669,5.526841500000046
medical_resource_allocation,fpto,11,2,1.0,0,0,70,,1077.1516035694349,0.5324777662142124,140.7512403337937,,,,1055.0838681461755,0.7298806148700142,143.12580263007428,2.754899900000055,140,4.0,536.208099997566,15.499000000090746,0,0,53.65878432851715,19.932786073793707,46.00337621968626,120.33962489322286,0.0,0.0,0.3778519877613165,7.517925844028842,cpu,,0.15373096428287306,0.15649528112629132,,,,,0.13324680453421647,0.13531856435582099,4.843800000344345,0.0,10.6551999997464,8.2817414000001
medical_resource_allocation,fpto,11,3,2.0,0,0,70,,1073.2347487296292,0.4623378985124855,140.80445162881745,,,,1051.0325164260212,0.6643076033978669,143.22543197301948,2.7350165999996534,140,4.0,515.4976000003444,16.104600000289793,0,0,53.77121620553732,19.96581829752673,46.00356831370989,121.36786883578179,0.0,0.0,0.35450876904726736,7.518742684962134,cpu,,0.15314066219846842,0.15592621610586613,,,,,0.13280310652345306,0.1348928797818576,10.408099999949627,0.0,5.696500000340166,11.016757999999754
medical_resource_allocation,saa,11,0,0.0,0,0,0,,1912.2698852496706,2.327483863099591,244.3740619189434,,,,1930.9382484711605,2.5552749056006654,252.12373871388183,1.900000006571645e-05,0,4.0,0.0,18.26379999965866,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.582968134739673,cpu,,0.281347301262147,0.2778264566378629,,,,,0.2195714627759512,0.217421117863581,9.895399999550136,0.0,8.368400000108522,1.900000006571645e-05
medical_resource_allocation,wdro,11,0,0.0,0,0,70,,1081.3399996631206,0.6021308658190636,140.74815960936982,,,,1059.4114947432809,0.7950220163138778,143.0737917211299,4.897828899999695,140,4.0,541.4799000027415,22.45909999965079,0,0,53.55314319823681,19.899943977463792,46.271500794115966,119.26342920407276,0.0,0.0,0.0,7.517258594125332,cpu,,0.15436152099017839,0.1571037973481282,,,,,0.13372025850079572,0.1357732968366205,11.065599999710685,0.0,11.393499999940104,4.897828899999695
medical_resource_allocation,fdfl,11,0,0.0,0,0,70,,856.2069768916126,1.9475806690058433,312.2371311902107,,,,859.6015824319966,2.15371193598073,318.22892778482463,3.4982699000001958,140,4.0,1126.001700003144,14.523900000313006,0,0,333.90148441219446,111.96993121426492,276.66153756028234,1455.3668712604938,0.0,0.03743534335618386,0.0,7.335293771487118,cpu,,0.12524822353557793,0.12439507225067004,,,,,0.11130719508451449,0.1106328863587706,6.636300000536721,0.0,7.887599999776285,3.4982699000001958
medical_resource_allocation,fdfl,11,1,0.5,0,0,70,,857.2841003790254,1.9454720849589042,311.8835069417372,,,,860.4815787748748,2.1517009788089583,317.85421245286017,3.528022299999975,140,4.0,1153.804699997636,17.52329999999347,0,0,333.3870486901452,110.54677322727133,272.2832157571792,1455.4365070394024,0.0,0.03613259141861892,0.0,7.335850140587969,cpu,,0.12537644337709042,0.1245515634469063,,,,,0.11140844835960313,0.1107566495796231,6.228299999747833,0.0,11.295000000245636,7.026292200000171
medical_resource_allocation,fdfl,11,2,1.0,0,0,70,,856.6253743451816,1.940848886530384,311.1006742478192,,,,859.8367196576583,2.14699485123181,317.03355929531034,3.6172407999993084,140,4.0,1221.2761000037062,13.559500001065317,0,0,332.8808166622834,109.85372134343578,272.4650045501376,1455.2583170075231,0.0,0.03483008511617129,0.0,7.337040740329855,cpu,,0.1252824841981955,0.12445585963371047,,,,,0.11133425247213706,0.11068096499070382,7.368000000496977,0.0,6.19150000056834,10.64353299999948
medical_resource_allocation,fdfl,11,3,2.0,0,0,70,,855.8635215163476,1.9318077178156396,309.5800228540794,,,,859.1599992624388,2.1379716591384126,315.4441706157606,3.5478946000002907,140,4.0,1176.0299999968993,16.091300000880437,0,0,331.9919057862056,109.73695475787487,271.61415623157905,1454.3815295120808,0.0,0.032108157675318626,0.0,7.339559462010862,cpu,,0.12518388267271696,0.12434517291864627,,,,,0.11125637738016667,0.11059341553969873,4.905900000267138,0.0,11.1854000006133,14.19142759999977
