config_name,alpha_fair,task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,solver_calls_fd,decision_ms_fd,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,grad_backend,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,0.0,1.0,0.0,0.0005,74.10444422798025,480.4888083571187,120.5593327340108,1e-06,23.25712367819556,1e-06,23.25712367819556,0.011628561839097766,,,,,,0.0,0.0,0.0,2.0,7.9473430000689405,0.0,0.0,0.0,0.0,0.0,cuda,0.07591533631087061,0.08215192751690253,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,5.0,1.0,0.0,0.0004987531172069826,73.03718052905867,479.0480169456475,120.18876250088192,1e-06,25.00923456697465,1e-06,25.00923456697465,0.01247343369923922,,,,,,0.0,0.0,0.0,2.0,10.774765999940428,0.0,0.0,0.0,0.0,0.0,cuda,0.07482199186331286,0.08087307653800019,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,10.0,1.0,0.0,0.0004975124378109454,71.93671417648613,477.36754692994396,119.74317226243622,1e-06,27.236072566579946,1e-06,27.236072566579946,0.013550284858994992,,,,,,0.0,0.0,0.0,2.0,9.329712000180734,0.0,0.0,0.0,0.0,0.0,cuda,0.07369463338805966,0.07955760167686987,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,15.0,1.0,0.0,0.0004962779156327543,70.77177202551138,475.35365617815677,119.18562727233386,1e-06,30.080628652990423,1e-06,30.080628652990423,0.01492835168882898,,,,,,0.0,0.0,0.0,2.0,9.690730999864172,0.0,0.0,0.0,0.0,0.0,cuda,0.0725012235177706,0.07816853817613602,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,20.0,1.0,0.0,0.0004950495049504951,69.50271272785699,472.86078369355283,118.45801944503805,1e-06,33.86718541103971,1e-06,33.86718541103971,0.016765933371801833,,,,,,0.0,0.0,0.0,2.0,9.327621000011277,0.0,0.0,0.0,0.0,0.0,cuda,0.07120115218758857,0.07665938901118123,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,25.0,1.0,0.0,0.0004938271604938272,68.07654050734595,469.64119128334187,117.46152570269425,1e-06,39.03490738467317,1e-06,39.03490738467317,0.019276497473912677,,,,,,0.0,0.0,0.0,2.0,9.97691299971848,0.0,0.0,0.0,0.0,0.0,cuda,0.06974012856228166,0.0749684369965332,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,30.0,1.0,0.0,0.0004926108374384237,66.42903818258617,465.2613864078932,116.01793108459934,1e-06,46.258432535508604,1e-06,46.258432535508604,0.02278740518990571,,,,,,0.0,0.0,0.0,2.0,9.561455000039132,0.0,0.0,0.0,0.0,0.0,cuda,0.06805236618365422,0.0730216631432158,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,35.0,1.0,0.0,0.0004914004914004914,64.51954029856404,458.9642225183185,113.8091715606944,1e-06,56.33156897773767,1e-06,56.33156897773767,0.02768136067702096,,,,,,0.0,0.0,0.0,2.0,9.888673999739694,0.0,0.0,0.0,0.0,0.0,cuda,0.06609620585399208,0.07077410571442491,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,40.0,1.0,0.0,0.0004901960784313725,62.39015118481154,449.39312580124323,110.27533274538955,1e-06,70.47160944754116,1e-06,70.47160944754116,0.03454490659193193,,,,,,0.0,0.0,0.0,2.0,10.533845999816549,0.0,0.0,0.0,0.0,0.0,cuda,0.06391478080733894,0.0682788057079494,,,,,,,,,,,,,,,,
WDRO,0.5,medical_resource_allocation,wdro,11.0,0.0,0.0,45.0,1.0,0.0,0.000488997555012225,60.24674717194432,434.1992652522165,104.43073868977845,1e-06,89.52062675853783,1e-06,89.52062675853783,0.04377536760808695,,,,,,0.0,0.0,0.0,2.0,9.973820999675809,0.0,0.0,0.0,0.0,0.0,cuda,0.06171899837914489,0.06577880003168239,,,,,,,,,,,,,,,,
