task,method,seed,stage_idx,lambda,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,11,0,0.0,17.337531682546,0.539444409762521,286.5595828828698,12.859265464813006,0.26827853835159793,321.7715420034518,20.564714504218102,0.2763187356586887,301.54918568705483,0.3797627000021748,140,6.0,50.81839997728821,2.4564999985159375,0,0,43.166709740865734,19.07364736041736,33.85442379032179,102.20925291172419,0.0,0.0,-0.6047689327800262,6.844988662088387,cpu,0.0597957043588408,0.06203846071655966,0.05596385278564123,0.06359862918735545,0.06614179592476063,0.05928147237876234,0.8650000017951243,0.5899999960092828,1.0015000007115304,0.3797627000021748
medical_resource_allocation,fpto,11,1,0.1,17.340711110200516,0.5367512751041417,286.7650626676026,12.860121450566055,0.2671469960180351,321.96270317822837,20.564553469144414,0.2749851183615357,301.7509145852023,0.3719134999992093,140,6.0,50.71860001044115,1.898599999549333,0,0,43.11228087207711,19.07033799940385,33.82849665807633,101.97737629013697,0.0,0.0,-0.6045746226075703,6.844439333963702,cpu,0.05979968470057686,0.06203797491511122,0.055974115666451364,0.06360313193633912,0.066141243734784,0.05929298824890512,0.3811999995377846,0.5645999990520068,0.9528000009595416,0.7516762000013841
medical_resource_allocation,fpto,11,2,0.3,17.34696751838601,0.5314527420889286,287.16994868399263,12.861651500427655,0.2649483748387693,322.33874314704036,20.564062283782448,0.27236044536780635,302.14803798924527,0.3870720999984769,140,6.0,53.68149999412708,1.1905999999726191,0,0,43.00508259466194,19.063725921527347,33.77289459548137,101.60181698729238,0.0,0.0,-0.6042060864352228,6.8433501452214935,cpu,0.05980679944670516,0.06203649313505652,0.055994310738799076,0.06361118056534489,0.06613955946154854,0.05931564965738864,0.36720000207424164,0.2547999974922277,0.5686000004061498,1.138748299999861
medical_resource_allocation,fpto,11,3,1.0,17.369208325474517,0.5133978035723497,288.5658212648205,12.867920598370972,0.25731881813497826,323.6346586926402,20.563173094334843,0.2634116260957658,303.51698521858714,0.37825919999886537,140,6.0,53.111800021724775,2.3948000016389415,0,0,42.63491885629732,19.040653533549158,33.59284849030956,100.29128620447743,0.0,0.0,-0.602913707153349,6.839579437067092,cpu,0.05983595081061789,0.06203381067892014,0.05606610188395893,0.06364415961470658,0.06613651044695071,0.05939621619253102,0.8566000033169985,0.5662999974447303,0.9719000008772127,1.5170074999987264
medical_resource_allocation,fpto,11,4,3.0,17.440860866792946,0.46518897161756995,292.3824686273427,12.890993429972639,0.2369803976656878,327.18000977598814,20.569356815866854,0.23947110960183707,307.2629803435827,0.3560025000042515,140,6.0,49.51570005505346,1.0134000040125102,0,0,41.61497498317404,18.97533444410185,33.08811105637137,96.49874651808237,0.0,0.0,-0.5992670358075485,6.829312159397982,cpu,0.05994323969278225,0.062052465378223995,0.0562973892637016,0.06376555355358791,0.06615771467776865,0.059655858342679675,0.353300005372148,0.2505000011296943,0.4095999975106679,1.873010000002978
medical_resource_allocation,fpto,22,0,0.0,16.999548522884993,0.4311370605298831,296.819336711293,12.600871797855746,0.2919458386698935,329.61014166720025,19.730845688712918,0.2750335293168885,310.0304027538708,0.3651698000030592,140,6.0,48.953800040180795,1.039900009345729,0,0,40.99994484302365,19.24080348796955,32.5980764351924,96.20315777170677,0.0,0.0,-0.4450121541558474,6.892249096082271,cpu,0.05859417139726913,0.05952289271570696,0.05487287627654931,0.06224113938643948,0.06329010270923482,0.058058725539872895,0.3572000059648417,0.2571000004536472,0.42560000292724,0.3651698000030592
medical_resource_allocation,fpto,22,1,0.1,17.00612888743956,0.4291048225993744,296.9700071559752,12.604790889467381,0.2910109590258051,329.7530307859327,19.73496118071057,0.27391843779426767,310.1792976041754,0.3844745000023977,140,6.0,53.25920001632767,1.0437000091769733,0,0,40.9583217156118,19.24422452015703,32.57836514643214,96.01732197774602,0.0,0.0,-0.44479166635071926,6.8918539555377665,cpu,0.05861239520981937,0.0595353080978205,0.05489411704830106,0.06226170273708148,0.06330413954978434,0.058082504869040694,0.35660000139614567,0.26900000375462696,0.4181000040262006,0.7496443000054569
medical_resource_allocation,fpto,22,2,0.3,17.01919942316215,0.42502700157680967,297.26567316801845,12.612551101052077,0.2890714427062837,330.0343050478854,19.743188247428407,0.27168687246811235,310.4714379165773,0.37477210000361083,140,6.0,49.243099965678994,2.4707999982638285,0,0,40.876579612966516,19.251077338054408,32.542856166980194,95.66435861077744,0.0,0.0,-0.4443499364306568,6.891076448899916,cpu,0.05864848026607318,0.05956012704462777,0.05493630745639386,0.06230242267272292,0.0633322009810766,0.05812974076756107,0.8986999964690767,0.5724000002373941,0.9997000015573576,1.1244164000090677
medical_resource_allocation,fpto,22,3,1.0,17.0664512950313,0.4108153410120944,298.3143014242782,12.640913032241372,0.28229815254035134,331.02968395602915,19.77294274092867,0.263906070867035,311.5048156563697,0.3769520999994711,140,6.0,51.97640000551473,2.5282999995397404,0,0,40.58639833476002,19.27517491165022,32.40986619120787,94.38711286788045,0.0,0.0,-0.4426843038042493,6.88833832580245,cpu,0.05878036351065519,0.05964988870778038,0.0550888318669934,0.06245127197930131,0.0634337019706523,0.05830054054270532,0.9031000008690171,0.581599997531157,1.0436000011395663,1.5013685000085388
medical_resource_allocation,fpto,22,4,3.0,17.205446151350486,0.3731579796044008,301.1281061474262,12.725184000904761,0.26398971068500543,333.7011498031581,19.863984361983967,0.2432403470652646,314.2844666577899,0.381074400000216,140,6.0,48.28409999026917,2.448399995046202,0,0,39.80274462350654,19.3449862068274,32.06070657220174,90.95660356362738,0.0,0.0,-0.438065406884797,6.880954132179818,cpu,0.05917222430099485,0.05992453789049831,0.05553749363842879,0.06289378973429198,0.06374439106838233,0.05880328045247697,0.8964999942691065,0.5759000050602481,0.9759999957168475,1.8824429000087548
