task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,solver_calls_fd_train,decision_ms_fd_train,nan_or_inf_steps,nan_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,config_name,alpha_fair
medical_resource_allocation,saa,11,0,0.0,51.83689430252082,73.33157861100281,240.42746975568969,77.64175333483286,49.86278284228911,248.6879241134157,1.5390000953630079e-06,0,4.0,0.0,13.525148000098852,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.582968129809419,cuda,0.07513367837820348,0.07516597758676936,0.08123733843660026,0.0812750999261833,1.5390000953630079e-06,SAA,0.5
medical_resource_allocation,saa,22,0,0.0,51.83689430252082,73.33157861100281,240.42746975568969,77.64175333483286,49.86278284228911,248.6879241134157,1.2509999578469433e-06,0,4.0,0.0,12.410358000579436,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.654704960932375,cuda,0.07513367837820348,0.07516597758676936,0.08123733843660026,0.0812750999261833,1.2509999578469433e-06,SAA,0.5
medical_resource_allocation,saa,33,0,0.0,51.83689430252082,73.33157861100281,240.42746975568969,77.64175333483286,49.86278284228911,248.6879241134157,8.819997674436308e-07,0,4.0,0.0,11.90297900029691,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.570182506684126,cuda,0.07513367837820348,0.07516597758676936,0.08123733843660026,0.0812750999261833,8.819997674436308e-07,SAA,0.5
medical_resource_allocation,wdro,11,0,0.0,42.3974553984599,41.06209074946271,200.82644203073315,63.78538342062552,34.021363660551586,203.38355700042638,4.134904527999879,140,4.0,711.8269759989744,15.682910999657906,0,0.0,0,0,0,71.29484149990091,23.25712367819556,55.182574692677775,149.05792365948938,0.0,0.0,0.0,7.183901076427254,cuda,0.061451921856499093,0.06175144808852802,0.06547551828996799,0.0658156604267848,4.134904527999879,WDRO,0.5
medical_resource_allocation,wdro,22,0,0.0,39.30836577615207,42.91525374076814,199.46406957475517,59.349698713843054,31.638330709100323,201.9026060074141,3.4207147290003377,140,4.0,718.7831959977302,15.35113599993565,0,0.0,0,0,0,71.00788946042385,23.40855963453317,52.85997814962126,151.21866308147813,0.0,0.0,0.0,7.243684193299224,cuda,0.056974518854509534,0.05745720481179349,0.06041673315688431,0.06095978358236823,3.4207147290003377,WDRO,0.5
medical_resource_allocation,wdro,33,0,0.0,41.43607616092254,37.63633125297684,191.02312253029424,62.47137508272829,33.17195150402106,193.18050306396762,3.6602865260001636,140,4.0,743.9326990020163,14.647101999798906,0,0.0,0,0,0,75.07949614209778,25.91273376812604,69.52045259751665,147.92014465612246,0.0,0.0,0.0,7.228113877325396,cuda,0.060058474980398305,0.06047933975721216,0.06389596946378748,0.06437254902045825,3.6602865260001636,WDRO,0.5
medical_resource_allocation,fpto,11,0,0.0,41.41165936897198,84.9105377401344,279.9188809567283,62.05769783732842,60.45424818914279,284.29147174526867,3.496230015999572,140,4.0,718.2072359973972,14.900043999659829,0,0.0,0,0,0,49.07408117771438,20.074414216546376,37.22057890031031,118.60720505332745,0.0,0.0,0.878227214799259,6.907458639360537,cuda,0.060023084677446624,0.06007885350825038,0.06385591358576044,0.06391903590263329,3.496230015999572,PTO,0.5
medical_resource_allocation,fpto,22,0,0.0,39.21520699010409,91.86639489172136,287.623902313621,59.03468592920194,64.07855563797105,292.64063004192053,3.189963138999701,140,4.0,669.5960259994536,15.731053000308748,0,0.0,0,0,0,47.79187513298839,20.312846362724432,36.43552225184712,116.63791557263293,0.0,0.0,0.8685892620110963,6.9614440286876595,cuda,0.056839492202870566,0.05715223689320764,0.06026491963242437,0.06061661185352386,3.189963138999701,PTO,0.5
medical_resource_allocation,fpto,33,0,0.0,41.567322808889,62.7309731471796,242.67598315319825,62.4671046417061,44.292420387369624,245.47866015948867,3.1832588440001928,140,4.0,663.1605270013097,14.608160999159736,0,0.0,0,0,0,57.25654137739031,22.13710375791305,43.71222466237744,122.20649000360567,0.0,0.0,0.881339442346976,7.003163015101788,cuda,0.060248707122373873,0.060475205488466646,0.06411133198645083,0.06436786537380124,3.1832588440001928,PTO,0.5
medical_resource_allocation,dfl,11,0,0.0,52.228504158645706,142.45473653270398,387.84098914755333,78.3356700479078,106.92626113065675,397.56866268594473,5.106505800000377,140,4.0,1805.6651610022527,26.41019799921196,0,0.0,0,0,0,0.007444936168819644,0.007443620311888674,0.007445161804456951,0.007446238396411661,0.0,0.0,0.0,6.5829661909655135,cuda,0.07570128740215673,0.07583776726000277,0.08190132299263939,0.08206109768753002,5.106505800000377,DFL,0.5
medical_resource_allocation,dfl,22,0,0.0,52.13626917161878,142.69296349119946,388.1734523084678,78.26870321263345,107.12449003651653,397.9559753840251,4.448557450999942,140,4.0,1598.5772149970217,15.371204000075522,0,0.0,0,0,0,0.006933380020427547,0.006932411643911305,0.006933383374388102,0.00693399326292574,0.0,0.0,0.0,6.654702767391696,cuda,0.07556759972769737,0.07577293580755501,0.08174486279952763,0.08198519470295165,4.448557450999942,DFL,0.5
