method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fplg,1.0,0.12735,0.00199,0.00789,0.00061,0.12206,0.00624,0.0053,70.0
pcgrad,0.0,0.1284,0.00197,0.00867,0.00186,0.12381,0.00415,0.00459,70.0
fdfl-scal,0.0,0.13065,0.00194,0.00694,0.0006,0.12811,0.00534,0.00254,70.0
wdro,0.0,0.14986,0.00236,0.00512,0.00046,0.14968,0.00403,0.00018,70.0
mgda,0.0,0.15301,0.00422,0.01278,0.00095,0.15385,0.01117,-0.00084,70.0
fpto,0.0,0.15337,0.0033,0.00574,0.00053,0.15357,0.00458,-0.0002,70.0
saa,0.0,0.27948,0.00241,0.01,0.00116,0.27969,0.00892,-0.00021,0.0
