method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
wdro,0.0,0.04898,0.00026,0.93103,0.07148,0.04868,0.74394,0.0003,70.0
pcgrad,0.0,0.0499,0.00054,0.35013,0.06487,0.04954,0.12396,0.00037,70.0
fpto,2.0,0.05,0.00049,0.64783,0.05619,0.04968,0.44496,0.00033,70.0
fplg,2.0,0.07386,0.00092,2.48827,0.06721,0.07376,2.3863,0.0001,70.0
fdfl-scal,2.0,0.0746,0.00078,2.49023,0.06673,0.07448,2.38828,0.00012,70.0
saa,0.0,0.07525,0.0002,2.49282,0.06708,0.07515,2.39095,0.0001,0.0
mgda,0.0,0.07576,0.00052,2.49329,0.06593,0.07559,2.39136,0.00016,70.0
