task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,55,0,0.0,1,1,150,val_regret,42.37835252478135,0.004357000710060843,118.82258086114724,30.40210094954284,0.006265284285235095,116.23520808462175,45.85971088377187,0.0070154775691170235,123.17441878905672,4.462561600000299,300,6.0,759.3092999904911,12.484200000471901,0,0,38.01991385318186,10.178785999673268,27.761834308647728,119.0408475029251,0.0,0.0,0.13883179220425895,7.712354536822098,cpu,0.0458064290857768,0.046188699293585066,0.0450608920772781,0.048005384318287915,0.048425405800263256,0.0471871889039072,4.46639999972831,1.7586000003575464,6.259200000386045,4.462561600000299
medical_resource_allocation,fpto,55,1,0.5,1,1,150,val_regret,42.37847346251135,0.004355641545395139,118.82253355762596,30.402324205055265,0.006265104170440905,116.23524924914949,45.85995478093639,0.00701494801359126,123.17436294315654,4.345394900000429,300,6.0,725.9796000007555,8.368399999199028,0,0,38.020060736492894,10.181859081744989,27.76223469335448,119.044040952427,0.0,0.0,0.13866695989192304,7.712362146695446,cpu,0.04580676546179945,0.046188944940419155,0.04506102067033741,0.048005753765345535,0.04842567581430885,0.047187329919204726,3.0366000000867643,0.9408999994775513,4.390899999634712,8.807956500000728
medical_resource_allocation,fpto,55,2,1.0,1,1,150,val_regret,42.378428092288004,0.004354259998196164,118.82237288801281,30.402408643190142,0.0062647978091803225,116.23491494014462,45.86005121145206,0.007014551078656672,123.17416169535748,4.359425499999816,300,6.0,739.1533999998501,13.732299999901443,0,0,38.020283237369,10.186590193663005,27.76255611123903,119.04645854423859,0.0,0.0,0.13850287553056115,7.712369189061281,cpu,0.04580689268358073,0.04618904206270809,0.04506097242818981,0.04800589349508971,0.04842578257078986,0.04718727701680543,3.9416999998138635,1.7787999995562132,8.011800000531366,13.167382000000543
medical_resource_allocation,fpto,55,3,2.0,1,1,150,val_regret,42.3785066704163,0.004351488665452319,118.8221331751786,30.402789284047003,0.006264344164919389,116.23540265538158,45.86043109434513,0.007013664651644769,123.17406225815036,4.347509499999433,300,6.0,764.4991000070149,11.697599999934027,0,0,38.020629440599585,10.186453765280154,27.763212818401755,119.05141231113201,0.0,0.0,0.13816519972225272,7.712390512263675,cpu,0.04580746618994616,0.04618942467080519,0.04506105598029478,0.048006523386887885,0.04842620313248627,0.04718736864015145,6.423700000596,0.8468999994875048,4.426999999850523,17.514891499999976
medical_resource_allocation,fdfl-scal,55,0,0.0,1,1,150,val_regret,67.26317329065296,0.0127516064032418,396.69750338469373,48.21559752393205,0.011272055712034046,396.058504761507,72.13312218331293,0.01647013208631909,387.10140979362734,5.3549550000007,300,6.0,1503.5732999986067,9.617799999432464,0,0,0.7113054589226303,0.6927262022568221,0.7114471920415948,0.7296159283998641,0.599927893329914,0.8116853045741859,0.283799472263104,6.585601653747381,cpu,0.07264578038451515,0.07265059080020181,0.07152091603025348,0.0783366041237584,0.07834219775142941,0.07703018545605053,3.5696000004463713,1.6991999991660123,4.34899999982008,5.3549550000007
medical_resource_allocation,fdfl-scal,55,1,0.5,1,1,150,val_regret,67.26207968822723,0.012751537543869373,396.69703114833834,48.214808285613,0.011272002824410543,396.05799581866466,72.13191094951821,0.016470068869571808,387.10095594501826,5.39516040000035,300,6.0,1537.4720999971032,10.037500000180444,0,0,0.7115144693555974,0.6928825177928402,0.7116587120726179,0.7298884040860054,0.5999364630548238,0.8117073729079665,0.2838654727964236,6.58560366935734,cpu,0.07264459124994997,0.07264937087725767,0.07151975320305645,0.07833522138816776,0.0783407792001853,0.07702883658514456,2.948100000139675,1.7017000000123517,5.387700000028417,10.75011540000105
medical_resource_allocation,fdfl-scal,55,2,1.0,1,1,150,val_regret,67.26098406150413,0.012751468587866688,396.6965576107031,48.214017828163605,0.011271949887535437,396.0574855557186,72.13069726440881,0.016470005490659023,387.10050078506794,5.403903999999784,300,6.0,1547.8922999991482,14.874399999825982,0,0,0.7117247260898906,0.6930391217784766,0.7118672191667723,0.7301540558893974,0.5999441543716456,0.811732074573878,0.2839339239764132,6.585605686630043,cpu,0.07264340027853779,0.07264814848541362,0.07151858822342452,0.07833383652023043,0.07833935778179758,0.07702748522081813,5.0887999996120925,1.7347000002700952,8.050899999943795,16.154019400000834
medical_resource_allocation,fdfl-scal,55,3,2.0,1,1,150,val_regret,67.25880417828512,0.01275133101969983,396.69561721996047,48.21244500985301,0.011271844443184298,396.0564726016116,72.12828166382212,0.016469878924439962,387.099596946228,5.37664870000026,300,6.0,1549.8717999971632,9.633599999688158,0,0,0.7121428637584876,0.6933531943164368,0.712292977431777,0.7306574690066352,0.5999607799658615,0.8117663390340054,0.2840521986198576,6.585609722114054,cpu,0.07264103053473198,0.07264571555579061,0.07151627035412048,0.07833108098002017,0.07833652874028539,0.07702479652647928,3.5780999996859464,1.6937000000325497,4.361799999969662,21.530668100001094
medical_resource_allocation,fplg,55,0,0.0,1,1,150,val_regret,67.99705279132581,0.012764760158138322,397.98604739944153,48.749221343737304,0.01128392633426023,397.35003613481035,72.9434232159316,0.016478663555713924,388.35254418766067,5.354251899999326,300,6.0,1527.6722999979029,7.514099999752943,0,0,0.2656253697478952,0.21550246562836287,0.2397558430997541,0.6927262022568221,0.5994918398649108,0.8053189637444544,0.2629817395894242,6.5827882314125805,cpu,0.07344978408481725,0.07346670477064879,0.07230124992733475,0.07927231878335768,0.07929202884442815,0.07793612950504838,3.170699999827775,0.758299999688461,3.5851000002367073,5.354251899999326
medical_resource_allocation,fplg,55,1,0.5,1,1,150,val_regret,67.3094877492872,0.012744357384161353,397.32491681232426,48.25908924472367,0.011267779847120685,396.6774024487599,72.18984276789456,0.016460798459405623,387.711083655002,5.396161100000427,300,6.0,1564.43099999251,13.168899999982386,0,0,0.26901542397739914,0.21789826790468184,0.24252058380145897,0.7059884647466609,0.6033063719269047,0.8196151154934935,0.30652707844494076,6.5842874389753945,cpu,0.07271130876452961,0.07270771828693275,0.07157016218301308,0.07841280655289014,0.07840863093631438,0.07708731372883888,3.6046000004716916,1.7109999998865533,7.8532999996241415,10.750412999999753
