task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_cagrad_c,mo_cagrad_g0_norm,mo_cagrad_gw_norm,mo_cagrad_direction_norm,mo_cagrad_w_decision_regret,mo_cagrad_w_pred_fairness,mo_cagrad_w_pred_loss,mo_method,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,cagrad,22,0,0.0,0,1.0,0.0,0.0002,1891.1945534386832,384.437369601366,117.15963001209622,19104.289655807977,110.40069416075796,57.24008359653423,12800.739840411012,0.0234068419348005,0.5851447407256127,0.5547656629750156,0.9235164606148571,2,19.74418300005709,0,0,0,cuda,0.3956280433696559,0.2834767080306275,19104.289655807977,57.24008359653423,110.40069416075796,0.5547656629750156,0.5851447407256127,0.9235164606148571,0.9999757885701119,57.24008359653423,0.5,6400.369920205506,6400.369920205505,12800.739840411012,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,5,1.0,0.0,0.001,1198.1108223165347,372.85306553089794,110.0065274771842,1818.304675722838,133.02222540047106,71.66534367465133,1320.6635084998177,0.08910955928220544,0.7855283487376632,0.7581129184498078,0.9284374721182891,2,22.705895999934,0,0,0,cuda,0.2506385392826103,0.20040845648846012,1818.304675722838,71.66534367465133,133.02222540047106,0.7581129184498078,0.7855283487376632,0.9284374721182891,0.9980477312634412,71.66534367465133,0.5,660.331754250239,660.3317542495785,1320.6635084998177,0.33333333333299997,0.33333333333299997,0.33333333333299997,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,10,1.0,0.0,0.0009975062344139652,1028.864115458483,355.53814152240295,99.41706043727548,730.7042800294064,146.8932151996729,79.19301441300081,547.5944966709745,0.0651194343355013,0.2848894709494683,0.26024843338040726,0.9296711046425024,2,28.520259999822883,0,0,0,cuda,0.21523301034892112,0.17711254427422343,730.7042800294064,79.19301441300081,146.8932151996729,0.26024843338040726,0.2848894709494683,0.9296711046425024,0.9656323832700884,79.19301441300081,0.5,273.79724833562415,273.79724833535033,547.5944966709745,0.33333333333299997,0.33333333333299997,0.33333333333299997,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,15,1.0,0.0,0.0009950248756218907,965.9470321915314,342.63610654469124,91.65764211927018,568.8423887116286,153.13820568007534,82.36979958975614,249.89006013239361,0.05457375291893967,0.0489382005157083,0.010252137848582775,0.9319707294288768,2,22.35710700006166,0,0,0,cuda,0.20207108446341662,0.16810244175669328,568.8423887116286,82.36979958975614,153.13820568007534,0.010252137848582775,0.0489382005157083,0.9319707294288768,0.7732928136217098,82.36979958975614,0.5,207.31520376190963,82.36979958967376,249.89006013239361,0.0,0.9999999999989999,0.0,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,20,1.0,0.0,0.0009925558312655087,918.3008801564829,333.0942444448002,86.41340395421324,413.67337056368086,157.9037745539657,85.25907438874802,211.95560327733034,0.0444793650091251,0.019484771664185246,-0.04098281759790106,0.937584642151018,2,23.237568000013198,0,0,0,cuda,0.19210375779708028,0.1611468435868987,413.67337056368086,85.25907438874802,157.9037745539657,-0.04098281759790106,0.019484771664185246,0.937584642151018,0.633424256386726,83.36126732973216,0.5,159.24401275582537,85.25907438866274,211.95560327733034,0.0,0.9999999999989999,0.0,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,25,1.0,0.0,0.0009900990099009901,886.0394978669456,324.5815081343627,81.03703118099814,321.7569310947096,160.97899378422971,85.34840578247031,268.71709903571605,0.04047230110829483,0.026136103082841297,-0.047498983491791824,0.9332772531762599,2,23.09229599995888,0,0,0,cuda,0.18535484477361439,0.15637076575918873,321.7569310947096,85.34840578247031,160.97899378422971,-0.047498983491791824,0.026136103082841297,0.9332772531762599,0.7986350287056054,81.4620414037476,0.5,134.35854951785802,134.35854951785802,268.71709903571605,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,30,1.0,0.0,0.0009876543209876543,861.0773494451687,315.987413761614,77.20132237528298,288.4378330538927,165.83583126865008,87.22970234321978,196.94990789254334,0.03651571056170531,0.08445231876883945,0.003097190358100606,0.9328761276206595,2,22.29796200003875,0,0,0,cuda,0.18013289343050487,0.15263780412634728,288.4378330538927,87.22970234321978,165.83583126865008,0.003097190358100606,0.08445231876883945,0.9328761276206595,0.5137071396469685,83.63999060446004,0.5,130.61039141252277,87.22970234313254,196.94990789254334,0.0,0.9999999999989999,0.0,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,35,1.0,0.0,0.0009852216748768474,849.3453787854041,308.65099625345897,72.50141557821138,268.1038810900258,168.35985914844548,88.6670454825054,196.43941121482564,0.03595296946292029,0.10097753429741452,0.005378152018997361,0.9306614512155817,2,23.333364000109214,0,0,0,cuda,0.17767862631739723,0.1508719122066421,268.1038810900258,88.6670454825054,168.35985914844548,0.005378152018997361,0.10097753429741452,0.9306614512155817,0.48702362756582146,84.6317223123039,0.5,127.0362528077183,88.66704548241673,196.43941121482564,0.0,0.9999999999989999,0.0,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,40,1.0,0.0,0.0009828009828009828,833.0560682476471,299.77539730615354,67.79339877735455,247.07371038636006,171.6912471554822,87.98428742484633,190.67749882403803,0.036206225811978666,0.07770754799326537,-0.03660242880601087,0.9318304720965223,2,23.130706000074497,0,0,0,cuda,0.17427098745540084,0.14840781158447866,247.07371038636006,87.98428742484633,171.6912471554822,-0.03660242880601087,0.07770754799326537,0.9318304720965223,0.4327265728350676,82.08776335753886,0.5,120.83903155869143,87.98428742475832,190.67749882403803,0.0,0.9999999999989999,0.0,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,45,1.0,0.0,0.000980392156862745,820.1813776687904,290.28604491077914,63.492783726804525,237.43333545942775,173.7129130768221,86.30929333648419,179.96195483251856,0.03615376849845186,-0.016729731857888022,-0.14749418126222397,0.9279119224330664,2,22.712102000014056,0,0,0,cuda,0.17157766929125887,0.1464501021046723,237.43333545942775,86.30929333648419,173.7129130768221,-0.14749418126222397,-0.016729731857888022,0.9279119224330664,0.34008427123827006,76.7022500345338,0.5,112.74324095187137,86.30929333639787,179.96195483251856,0.0,0.9999999999989999,0.0,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,50,1.0,0.0,0.00097799511002445,808.6993884282874,281.36056950879754,58.326681531924656,231.4216258693625,174.90953163343067,86.60243172985037,218.24891042045186,0.03729988715572726,-0.05683928884937772,-0.19713552307258606,0.9251419313595356,2,23.20518499982427,0,0,0,cuda,0.1691756969881174,0.1446965562352403,231.4216258693625,86.60243172985037,174.90953163343067,-0.19713552307258606,-0.05683928884937772,0.9251419313595356,0.6243863987106338,75.07060311209153,0.5,109.12445521022596,109.12445521022595,218.24891042045186,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,55,1.0,0.0,0.0009756097560975611,793.6651425467362,272.3567264433324,53.68336216274775,206.54448185047306,174.5862806423277,83.16503515839076,208.24102272191297,0.039982284239434236,-0.034429910112327516,-0.19563432866533198,0.920016687884262,2,22.639652999941973,0,0,0,cuda,0.16603061111060077,0.14238958182449668,206.54448185047306,83.16503515839076,174.5862806423277,-0.19563432866533198,-0.034429910112327516,0.920016687884262,0.5899047609062726,71.39435173312233,0.5,104.1205113609565,104.12051136095648,208.24102272191297,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,60,1.0,0.0,0.00097323600973236,778.8645842519518,261.25709662301006,48.69490292841727,187.406769196914,175.0059403134718,80.69626308489157,204.53483945378872,0.040051440995633805,0.009032969074408613,-0.154664930502652,0.9188590370414255,2,24.25611199987543,0,0,0,cuda,0.1629344114582185,0.1401062775792428,187.406769196914,80.69626308489157,175.0059403134718,-0.154664930502652,0.009032969074408613,0.9188590370414255,0.5753109869305297,69.60734883202319,0.5,102.26741972689437,102.26741972689437,204.53483945378872,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,2.0,64,CAGrad
medical_resource_allocation,cagrad,22,0,0.0,65,1.0,0.0,0.000970873786407767,767.9960575031846,252.19385171776977,45.922532876469056,170.87907168782283,172.31673433233766,74.78267687613159,194.85427449984536,0.039627623243567486,0.015276251508455541,-0.12938874625595945,0.9060197566931483,2,22.73888300010185,0,0,0,cuda,0.1606607723108832,0.13842181638568393,170.87907168782283,74.78267687613159,172.31673433233766,-0.12938874625595945,0.015276251508455541,0.9060197566931483,0.560539884069662,65.08850685459215,0.5,97.4271372499227,97.4271372499227,194.85427449984536,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,2.0,64,CAGrad
