task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,pcgrad,44,0,0.0,0,1.0,0.0,0.0005,80.2401534340338,396.6919959966566,125.29029639863116,0.008262659252580464,20.59587006702206,7.972960530998301,27.878428560925705,0.013939214280462842,0.6722725035448777,0.9066248121629097,0.8802764143705033,2,19.366601000001538,0,0,0,cuda,0.07774777704016757,0.0843020760531729,0.008262659252580464,7.972960530998301,20.59587006702206,0.9066248121629097,0.6722725035448777,0.8802764143705033,0.7562400294405839,0.008262659252580464,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,5,0.4082482904638631,0.0,0.0004987531172069826,78.3308088140243,395.1498707158174,124.70515906807584,0.007684116301443212,22.42212034985697,9.269061789263743,30.944304804851182,0.015433568481222525,0.6774742887753039,0.902847485623905,0.886583539044573,2,26.433569000005264,0,0,0,cuda,0.07589773945354478,0.08213132106035936,0.007684116301443212,9.269061789263743,22.42212034985697,0.902847485623905,0.6774742887753039,0.886583539044573,0.7615825733453311,0.007684116301443212,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,10,0.30151134457776363,0.0,0.0004975124378109454,76.34037629027966,393.2489619160561,123.92698139332097,0.007281468459097737,24.99199974161114,11.157549739876796,35.30579982590962,0.017565074540253533,0.6817775585205598,0.8982962537433159,0.891187571543727,2,25.099169999975857,0,0,0,cuda,0.0739691326719436,0.07987761021981057,0.007281468459097737,11.157549739876796,24.99199974161114,0.8982962537433159,0.6817775585205598,0.891187571543727,0.7667026749309513,0.007281468459097737,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,15,0.25,0.0,0.0004962779156327543,74.15845435469805,390.77015357702294,122.81604779324448,0.007026796570932529,28.67872395904893,14.023888251535679,41.71809450474551,0.02070376898498535,0.6854189113432527,0.8915825473760425,0.896110946829462,2,25.81484699999237,0,0,0,cuda,0.0718549844193968,0.07741784226945156,0.007026796570932529,14.023888251535679,28.67872395904893,0.8915825473760425,0.6854189113432527,0.896110946829462,0.7710663908446329,0.007026796570932529,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,20,0.2182178902359924,0.0,0.0004950495049504951,71.63518078869492,387.28153276817386,121.0867913168608,0.006856360176424997,34.36797869257746,18.50518240489603,51.677587949657266,0.025582964331513493,0.6881969971090599,0.881102876892115,0.9012980714853402,2,27.85996999989493,0,0,0,cuda,0.06941008741677279,0.07458719085412943,0.006856360176424997,18.50518240489603,34.36797869257746,0.881102876892115,0.6881969971090599,0.9012980714853402,0.7733287704214322,0.006856360176424997,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,25,0.19611613513818404,0.0,0.0004938271604938272,68.5995644585795,381.8338565206226,118.09186098628187,0.006528537684292555,43.48955796613471,25.63071875197013,67.61228320765616,0.03338878183094132,0.6850239116502425,0.8629609542534996,0.9072057654092133,2,28.587944999912906,0,0,0,cuda,0.06646876176480561,0.07120143284167148,0.006528537684292555,25.63071875197013,43.48955796613471,0.8629609542534996,0.6850239116502425,0.9072057654092133,0.7678519745370258,0.006528537684292555,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,30,0.1796053020267749,0.0,0.0004926108374384237,65.16666634594844,372.3740642650354,112.4655937673937,0.005568652097938227,58.06423305850423,36.336005435579715,92.48494099450944,0.04555908423374849,0.6547628435072133,0.8169920539623264,0.9149940741515918,2,27.582549999920047,0,0,0,cuda,0.06314249448290327,0.0673981839405256,0.005568652097938227,36.336005435579715,58.06423305850423,0.8169920539623264,0.6547628435072133,0.9149940741515918,0.732120256346633,0.005568652097938227,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,35,0.16666666666666666,0.0,0.0004914004914004914,62.247851201803314,354.6118688211172,101.4244996455723,0.003936920221398833,79.83561352860663,51.048524879638244,128.4132497524996,0.06310233403071233,0.5313810109691396,0.6746231888565491,0.9213223270130393,2,28.58538899999985,0,0,0,cuda,0.06031434200142748,0.06418565771227203,0.003936920221398833,51.048524879638244,79.83561352860663,0.6746231888565491,0.5313810109691396,0.9213223270130393,0.5985798563401159,0.003936920221398833,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,40,0.15617376188860607,0.0,0.0004901960784313725,61.7261958555855,321.66229925072093,80.86610855427067,0.002779208576701982,105.89921146700846,66.46700254463022,169.085419240941,0.08288500943183383,0.14232980099969184,0.2133381640547911,0.9204129371620583,2,30.036281999969106,0,0,0,cuda,0.05980889003238437,0.06361354558483802,0.002779208576701982,66.46700254463022,105.89921146700846,0.2133381640547911,0.14232980099969184,0.9204129371620583,0.17302107613321094,0.002779208576701982,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,45,0.14744195615489714,0.0,0.000488997555012225,63.973745210939455,273.02828505710954,52.49618635402537,0.003126896835222203,116.77365949620601,64.2645782907077,174.25037894276167,0.08520800926296417,-0.14814794634556758,-0.18764208223098083,0.8967342661936782,2,26.438044000087757,0,0,0,cuda,0.0619866272211659,0.06608288220618064,0.003126896835222203,64.2645782907077,116.77365949620601,-0.18764208223098083,-0.14814794634556758,0.8967342661936782,1.7349266984392225e-05,0.003126896835222203,4.0,0.6666666666666666,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
medical_resource_allocation,pcgrad,44,0,0.0,50,0.14002800840280097,0.0,0.00048780487804878054,65.29443309987278,232.98378539673047,35.013257439090395,0.003428750139102612,93.84972330293135,31.81481168369126,119.1400008826883,0.05811707360131139,-0.06164058713982678,-0.06373887381086238,0.7427413668238612,2,25.596434000021873,0,0,0,cuda,0.06326629261478771,0.06753925060665161,0.003428750139102612,31.81481168369126,93.84972330293135,-0.06373887381086238,-0.06164058713982678,0.7427413668238612,2.8631302294431465e-05,0.003428750139102612,4.0,0.6666666666666666,pcgrad,FDFL-PCGrad,0.5,64,PCGrad
