method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fplg,1.0,0.1287,0.00208,1.94255,0.08531,0.11893,1.87369,0.00977,150.0
fdfl-scal,0.0,0.1319,0.00147,1.75695,0.07689,0.12644,1.67993,0.00546,140.0
pcgrad,0.0,0.13367,0.00268,0.78262,0.11449,0.12754,0.51585,0.00613,45.0
fpto,0.0,0.14028,0.00014,1.61598,0.07656,0.13806,1.52851,0.00222,150.0
wdro,0.0,0.14137,7e-05,1.58304,0.10106,0.13912,1.50048,0.00225,150.0
mgda,0.0,0.18261,0.0047,0.20059,0.00329,0.1855,0.20072,-0.00288,65.0
saa,0.0,0.27761,0.00181,0.001,0.0,0.28275,0.001,-0.00514,0.0
