method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.12644,0.00138,0.1319,0.00147,1.67993,1.75695,0.07689,115.61546,120.83123,2,0,0
fdfl-scal,0.5,0.12649,0.00138,0.13193,0.00148,1.65492,1.73705,0.07713,115.59767,120.81638,2,0,0
fdfl-scal,1.0,0.12654,0.00137,0.13197,0.00148,1.62965,1.71675,0.07633,115.58128,120.8063,2,0,0
fdfl-scal,2.0,0.12665,0.00136,0.13207,0.0015,1.58021,1.67716,0.07493,115.56864,120.7909,2,0,0
fplg,0.0,0.12318,0.00135,0.129,0.00215,1.92937,2.00777,0.08188,123.61245,126.11751,2,0,0
fplg,0.5,0.1206,0.00135,0.12871,0.00199,1.88982,1.96117,0.07791,120.92255,124.93832,2,0,0
fplg,1.0,0.11893,0.00128,0.1287,0.00208,1.87369,1.94255,0.08531,119.49897,124.74061,2,0,0
fplg,2.0,0.11728,0.001,0.12884,0.00223,1.83591,1.90808,0.10055,118.07107,124.6111,2,0,0
fpto,0.0,0.13806,0.0025,0.14028,0.00014,1.52851,1.61598,0.07656,120.02058,123.62161,2,0,0
fpto,0.5,0.13833,0.00253,0.14052,0.00012,1.4816,1.5755,0.07602,120.04298,123.66318,2,0,0
fpto,1.0,0.13862,0.00255,0.14078,0.00011,1.43502,1.53524,0.07485,120.08612,123.72781,2,0,0
fpto,2.0,0.13924,0.0026,0.14134,8e-05,1.34199,1.45477,0.07246,120.23004,123.90866,2,0,0
mgda,0.0,0.1855,0.00244,0.18261,0.0047,0.20072,0.20059,0.00329,372.32153,365.79304,2,0,0
pcgrad,0.0,0.12754,0.00047,0.13367,0.00268,0.51585,0.78262,0.11449,160.3283,159.85544,2,0,0
saa,0.0,0.28275,0.00099,0.27761,0.00181,0.001,0.001,0.0,249.35967,246.97059,2,0,0
wdro,0.0,0.13912,0.00204,0.14137,7e-05,1.50048,1.58304,0.10106,118.84237,122.95621,2,0,0
