method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
fplg,1.0,0.12745,7e-05,24.58078,0.30003,0.12329,21.03554,0.00416
pcgrad,0.0,0.12953,0.00014,28.16145,2.07576,0.12541,16.31131,0.00412
fdfl-scal,0.0,0.13217,7e-05,22.80485,0.37696,0.13152,20.48218,0.00065
mgda,0.0,0.13662,0.00183,33.42809,0.96293,0.13464,31.44839,0.00199
fpto,5.0,0.16395,0.00412,31.6318,10.22621,0.16406,4.31598,-0.00011
wdro,0.0,0.19054,0.00922,33.57356,1.26747,0.1926,32.87892,-0.00206
saa,0.0,0.27893,0.0,49.92568,0.0,0.28024,62.86619,-0.00132
