task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,fdfl-scal,22,0,0.0,0,1.0,0.0,0.0002,1891.1945534386832,384.437369601366,117.15963001209622,19104.289655807977,110.40069416075796,57.24008359653423,779507.3036815239,0.02340683644710039,0.5851447407256127,0.5547656629750156,0.9235164606148571,2,17.43233100000907,0,0,0,cuda,26921458.471667964,0.2646645994020046,2669.29897570911,9.830990385626269e-09,1.4284117434260957,0.3956280433696559,0.2834767080306275,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,5,1.0,0.0,0.001,1266.2835036233491,368.3344638316043,108.69472851160383,2148.794679466068,137.64921033868168,73.26364606097187,8876.779847282987,0.10943852759590296,0.7481827764717117,0.7265919028608346,0.9240895956667479,2,23.173957000153678,0,0,0,cuda,2213.8174830958756,0.2590623108224015,23.948208135680012,0.00011702062740064741,1.435425152593648,0.2648999088850332,0.20942361290746994,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,10,1.0,0.0,0.0009975062344139652,1094.460179468987,341.9715122465311,94.91270217410649,846.093039918688,153.92128810311857,80.33945580305598,663.0355906143343,0.0713097763504627,0.5027154928076664,0.5037675738162447,0.9211792012220628,2,22.515538999869023,0,0,0,cuda,12.449121680974985,0.24961921978446494,1.76282161349549,0.02005115109172227,1.7373031219427695,0.22895536504269898,0.18630079786074583,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,15,1.0,0.0,0.0009950248756218907,1058.6283123905114,324.0296300222769,85.25466017989889,643.0313200473951,158.7160832277671,82.30261294362768,610.632617313567,0.048691350290639056,0.354930774585981,0.33997411516843307,0.9218049335096539,2,22.567586999912237,0,0,0,cuda,10.086826721301444,0.24298273683534316,1.5655429609965024,0.024089115789231338,1.7394097922943974,0.22145952521132728,0.18130729724590106,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,20,1.0,0.0,0.0009925558312655087,1034.5778856426577,311.5791757611377,78.81535267547413,565.932397188783,161.342171104396,84.90455636743276,572.9631736408822,0.03695374096114983,0.2624353654754077,0.2311139635831902,0.9271489583990457,2,21.25006599999324,0,0,0,cuda,8.644688459070618,0.23826885017290023,1.4351863918131669,0.027562456565209323,1.746360259888749,0.21642830129036272,0.1779211327628434,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,25,1.0,0.0,0.0009900990099009901,1020.3379603165749,301.8627963135472,73.39951979879339,531.1869485522585,161.9711615169454,83.03098553342676,545.6116778556124,0.0313282127880718,0.20385169902012362,0.16575031126225004,0.922295511387958,2,24.555160000090837,0,0,0,cuda,7.772657759406248,0.23452430216645265,1.3501396731462318,0.03017298708188175,1.7513278770398804,0.21344938313292378,0.1759029969439954,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,30,1.0,0.0,0.0009876543209876543,998.9020260246052,292.9789022097811,69.81544918350998,497.22053343020025,164.72573159470343,83.86827766355471,533.1852302175989,0.0290882761739928,0.17901217034301647,0.13738342279230423,0.9237611683147905,2,23.03679299984651,0,0,0,cuda,7.125617021057737,0.2310474771049996,1.2831039846917447,0.032424908105810966,1.7535704727699588,0.2089650974065756,0.17284626152966642,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,35,1.0,0.0,0.0009852216748768474,988.6243431946123,286.68064231392816,66.16502767585321,457.8071336320984,164.70047745522066,83.5591655249255,515.1317839256164,0.02854357463269123,0.16818604570728626,0.12077804566239625,0.9227435110024611,2,24.727805000111402,0,0,0,cuda,6.62234501578001,0.2285505345531186,1.2302603356004378,0.03451202466928535,1.756365583397044,0.20681505972747447,0.17137262090032077,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,40,1.0,0.0,0.0009828009828009828,975.1148441874439,279.0212658398942,62.83843470909079,429.3107196372776,166.2083899310382,81.43643285014986,503.51680713120265,0.028891514367333702,0.17568119615567246,0.12413790804749127,0.9255650808517815,2,22.69825700000183,0,0,0,cuda,6.160384590237308,0.22547672039675196,1.1785683322529061,0.03660107856806165,1.76140101886132,0.2039889429488531,0.16942758830428795,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,45,1.0,0.0,0.000980392156862745,963.1976345603589,271.9012257785474,60.12997472832547,394.801183513908,166.13614671161105,80.46943772101639,488.4497026826183,0.029452402828441093,0.1567303630037598,0.11033751819556985,0.9232695008105775,2,22.35721600004581,0,0,0,cuda,5.7668793543296815,0.22258128211060382,1.13296045847323,0.038596486667176994,1.7631688249520083,0.20149592480927728,0.16770420993418042,FDFL-Scal,2.0,64,FDFL-Scal
