task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,fpto,11,0,0.0,30.496778739663114,24.912538197045503,161.9125989978987,55.346072207790485,24.16566180655321,166.70831055923185,5.390693669000029,140,4.0,1227.4946379993708,20.99054400014211,0,0,82.43710360267322,24.865902524183443,62.21422133435415,165.5013588725203,0.0,0.0,0.6441992277400538,16.769455824716545,cuda,0.05239640668885511,0.05358124262271278,0.05529359223488169,0.0566147302185736,2.3709640001925436,18.619579999949565,5.390693669000029,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,11,1,0.5,31.01472613919566,24.489075893806934,163.54327362719718,56.37020312674508,22.821735420862076,169.17416854570354,3.4303660989999116,140,4.0,858.0552779994832,12.635803000193846,0,0,99.02471905137621,29.68864742802402,69.88831190371474,200.5811712996747,0.0,0.0,0.6011130226001676,16.794216955835108,cuda,0.05328629026708518,0.054572716905475056,0.05628553777056658,0.05772280732882003,1.4413030000923754,11.19450000010147,8.821059767999941,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,11,2,1.0,31.52478398463029,24.94670318872287,165.4471915826092,57.306264824477694,21.978598245886033,171.89353833434637,3.131422865000104,140,4.0,758.9874979998967,12.709658999938256,0,0,116.74628880491203,34.89466856955184,83.49923799948036,241.18880264600597,0.0,0.0,0.5377461241501227,16.814707624749833,cuda,0.054162618830582814,0.05547893024519927,0.05726419774572356,0.058737631188684546,1.3837329997841152,11.32592600015414,11.952482633000045,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,11,3,5.0,33.82096473926629,32.33946556608138,176.86209718756456,62.23629602704011,25.443776875407213,204.15314076108206,3.0866615820000334,140,4.0,723.0495410010462,12.7463369999532,0,0,287.22453063249617,122.4455816665016,211.3369692046325,544.8485924962927,0.0,0.0,0.3747690887398706,16.816809344390972,cuda,0.058107678788490984,0.060251756707216185,0.061692485945474086,0.06411478514298687,1.5376589999505086,11.208678000002692,15.039144215000078,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,22,0,0.0,30.539311719794227,28.354911131729516,157.98374630809442,54.920640129280855,24.120372887660302,162.37563638708644,4.494126299000072,140,4.0,1162.9261439984475,20.65838099974826,0,0,85.17398818897074,24.20058559071458,61.32409031742661,162.67989331906205,0.0,0.0,0.6080657773929761,16.78174178530074,cuda,0.052469482450189224,0.053169376368996935,0.055374978935631966,0.05615510846607132,3.65497199982201,17.00340899992625,4.494126299000072,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,22,1,0.5,30.984492888214277,28.198518353822028,159.39910015494257,55.8177422689032,22.657846493540234,164.94986579643623,3.3202434900001663,140,4.0,804.7450999977173,12.211304999709682,0,0,103.76368648642809,27.205412609505867,66.86557924319794,200.4722739962091,0.0,0.0,0.557145650469617,16.806480129840633,cuda,0.05323434662649712,0.05403787246064359,0.05622758539751965,0.05712477369596952,1.4790999998695042,10.732204999840178,7.814369789000239,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,22,2,1.0,31.368519447184667,28.71092442123709,160.91693234848515,56.62534116989218,22.006617481390602,167.87776103935144,3.2120039670001006,140,4.0,771.3767640004789,12.973591999980272,0,0,124.44859446075824,31.203513354219616,83.04671520539972,240.59348393525622,0.0,0.0,0.5331799677678666,16.82663233383886,cuda,0.053894141286611984,0.054819719318597054,0.05696417667247381,0.05799922029591669,1.4984179999828484,11.475173999997423,11.02637375600034,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,22,3,5.0,33.37516436571207,39.09611735804116,171.7822872832508,61.44404817457803,47.495632814080274,208.68136334658206,3.0864946560000135,140,4.0,722.417453999924,14.122541000006095,0,0,322.40008430527314,126.83254570632964,242.61737578889148,577.589864647267,0.0,0.0,0.397231813367991,16.823506041726237,cuda,0.05734175075805243,0.05948477139630339,0.06082984029913772,0.06324700503214116,1.5168869999797607,12.605654000026334,14.112868412000353,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,33,0,0.0,31.182671019591112,27.618768268687216,159.44316509276942,55.78740657282037,25.362928432163816,164.34806137742385,4.998046921999958,140,4.0,1320.7271520000177,28.416752000111956,0,0,87.2046132337892,25.28455560353026,69.97260160808585,166.69977573996582,0.0,0.0,0.7229922946139237,16.98143664835834,cuda,0.05357483576658303,0.05400850408404334,0.05660757743056994,0.05709195517846552,3.912807000006069,24.503945000105887,4.998046921999958,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,33,1,0.5,31.64692207124324,27.2549751630727,160.8727367477711,56.674400208264615,23.959167521541474,166.56751854496974,3.099037355000064,140,4.0,739.2614809996303,13.628180000068824,0,0,105.64166622790236,29.288080923276286,82.26366630720608,206.81356773535134,0.0,0.0,0.6723738636207851,16.988238698941988,cuda,0.054372463841198565,0.05486721400309791,0.057498816142836674,0.05805238672915718,1.64296100001593,11.985219000052894,8.097084277000022,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,33,2,1.0,32.20295463565435,27.392861322425087,162.97183938396697,57.670434900404416,22.863371298153396,169.485658758317,3.1629321039999923,140,4.0,774.6469780008738,14.053272999944966,0,0,126.50306064814488,35.348344667214654,94.33809440197118,245.2611768062465,0.0,0.0,0.6454156521143027,17.002185105918084,cuda,0.05532778140525462,0.05583148796819185,0.05856823172756991,0.059132969651831534,1.5395400000670634,12.513732999877902,11.260016381000014,FPTO,0.5,64,FPTO
medical_resource_allocation,fpto,33,3,5.0,34.546942378535846,30.523552297867653,174.24126867088165,62.50860962586944,32.73599121068516,200.5980940487039,3.114925867000011,140,4.0,743.144275999839,12.075260000074195,0,0,325.38906406621567,131.56709257290385,257.0144941158611,570.7944475005037,0.0,0.0,0.4825355661156539,17.026974188594263,cuda,0.0593549783790117,0.0605153869961653,0.0631002950259885,0.06441338810507831,1.618769000060638,10.456491000013557,14.374942248000025,FPTO,0.5,64,FPTO
