task,method,seed,stage_idx,lambda,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,train_decision_ms_eval,train_decision_ms,train_decision_alloc_gap,train_decision_selection_gap,train_decision_welfare_gap,train_group_0_benefit_mean_r0,train_group_0_benefit_std_r0,train_group_0_cost_mean_r0,train_group_0_cost_std_r0,train_group_0_benefit_mean_r1,train_group_0_benefit_std_r1,train_group_0_cost_mean_r1,train_group_0_cost_std_r1,train_group_0_decision_mean_r0,train_group_0_decision_mean_r1,train_group_1_benefit_mean_r0,train_group_1_benefit_std_r0,train_group_1_cost_mean_r0,train_group_1_cost_std_r0,train_group_1_benefit_mean_r1,train_group_1_benefit_std_r1,train_group_1_cost_mean_r1,train_group_1_cost_std_r1,train_group_1_decision_mean_r0,train_group_1_decision_mean_r1,val_decision_ms_eval,val_decision_ms,val_decision_alloc_gap,val_decision_selection_gap,val_decision_welfare_gap,val_group_0_benefit_mean_r0,val_group_0_benefit_std_r0,val_group_0_cost_mean_r0,val_group_0_cost_std_r0,val_group_0_benefit_mean_r1,val_group_0_benefit_std_r1,val_group_0_cost_mean_r1,val_group_0_cost_std_r1,val_group_0_decision_mean_r0,val_group_0_decision_mean_r1,val_group_1_benefit_mean_r0,val_group_1_benefit_std_r0,val_group_1_cost_mean_r0,val_group_1_cost_std_r0,val_group_1_benefit_mean_r1,val_group_1_benefit_std_r1,val_group_1_cost_mean_r1,val_group_1_cost_std_r1,val_group_1_decision_mean_r0,val_group_1_decision_mean_r1,test_decision_ms_eval,test_decision_ms,test_decision_alloc_gap,test_decision_selection_gap,test_decision_welfare_gap,test_group_0_benefit_mean_r0,test_group_0_benefit_std_r0,test_group_0_cost_mean_r0,test_group_0_cost_std_r0,test_group_0_benefit_mean_r1,test_group_0_benefit_std_r1,test_group_0_cost_mean_r1,test_group_0_cost_std_r1,test_group_0_decision_mean_r0,test_group_0_decision_mean_r1,test_group_1_benefit_mean_r0,test_group_1_benefit_std_r0,test_group_1_cost_mean_r0,test_group_1_cost_std_r0,test_group_1_benefit_mean_r1,test_group_1_benefit_std_r1,test_group_1_cost_mean_r1,test_group_1_cost_std_r1,test_group_1_decision_mean_r0,test_group_1_decision_mean_r1,cumulative_wallclock_sec
md_knapsack,fpto,11,0,0.0,414.9880980082338,2.17106361408933,6.6840474041461615,61.104850629150576,6.296922128646237,10.060075749470482,162.9814391725431,0.2988132664428945,2.715166528925878,0.032686200000171084,0,6.0,0.0,62.01609999698121,0,0,1.2834593778502403,1.2750624428763855,1.285010477160165,1.2897525936264287,0.0,0.0,0.546872908044833,5.077028232200992,cpu,0.0878911083307651,0.18886178512452506,0.17634391810648897,0.1927206480167145,0.4656710327874689,0.42819793839681236,24.994500003231224,24.994500003231224,0.002348499710426777,0.0,0.23198709623453923,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.3617171681897161,0.35203296697074926,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.3536780706675504,0.3553750650720614,19.410499997320585,19.410499997320585,0.0007687094374866366,0.0,0.4793441423944601,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.33545966448726655,0.3763004254013449,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.37568944329835474,0.33760806546523,17.611099996429402,17.611099996429402,0.016495027349024027,0.0,0.08555295553864029,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.3596137054960723,0.3655023838632627,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.34589237765558334,0.34623365700570363,0.032686200000171084
md_knapsack,fpto,11,1,0.1,414.9856643861341,2.170428617546043,6.6833623480601165,61.10733822862977,6.29664754527482,10.059912559055393,162.96324098101138,0.2986035665263514,2.7142697529196673,0.032261800006381236,0,6.0,0.0,56.77680000371765,0,0,1.3203101817588663,1.3120851331581798,1.3216989693882195,1.3266608897106231,0.0,0.0,0.5468991985134657,5.0770450442468995,cpu,0.08789437191515372,0.18884467952915757,0.17634306633255808,0.1927284937405597,0.4656190368627276,0.4281954273080102,24.435400002403185,24.435400002403185,0.0023394642427124746,0.0,0.2319315109290906,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.3617115921945819,0.3520300626969629,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.3536845927083214,0.35537813369779847,15.177799999946728,15.177799999946728,0.0007639993776313303,0.0,0.4793192200167606,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.3354590309521999,0.37630724054608417,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.3756902768936382,0.3376039933599083,17.16360000136774,17.16360000136774,0.01649168160637554,0.0,0.08553828143113984,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.359615435249018,0.3654960030037694,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.3458907019445526,0.34623737309548364,0.06494800000655232
md_knapsack,fpto,11,2,0.5,414.9742350201351,2.1678810469879326,6.680613338286454,61.11725009649166,6.295545340813157,10.059257591464412,162.8896475192928,0.2977627804374801,2.7106746666307044,0.03185430000303313,0,6.0,0.0,54.51879998872755,0,0,1.4877326126561146,1.47959878627129,1.4884178213832444,1.494802927730128,0.0,0.0,0.5467684958657053,5.0771166552673055,cpu,0.08790737547162156,0.18877549716607794,0.17633906600179383,0.19275975511470153,0.4654087654140345,0.4281836341241058,23.397599994495977,23.397599994495977,0.002302818888235192,0.0,0.2317085133039769,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.36168919753308815,0.352018002589198,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.35371078370803094,0.35539077863778484,14.646199997514486,14.646199997514486,0.0007451243767944704,0.0,0.47921963218573665,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.3354565392362547,0.3763344858621428,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.3756935491541517,0.3375877246978349,16.474999996717088,16.474999996717088,0.016478507030939116,0.0,0.08548002548288247,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.3596223703343936,0.36547053591553846,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.3458839731301346,0.3462519190579191,0.09680230000958545
md_knapsack,fpto,11,3,1.0,414.96025068176084,2.1646950089860097,6.677170025349049,61.130123645499566,6.294163151517136,10.058428557930906,162.7993870554509,0.29671499514960964,2.706179629563655,0.03155140000308165,0,6.0,0.0,53.843700006837025,0,0,1.7305613795366435,1.721604541824493,1.730783779130596,1.7393124711936099,0.0,0.0,0.5468751211343357,5.077217542242006,cpu,0.0879242639569815,0.18869063068563935,0.17633417136606702,0.19280035743483706,0.4651508729593444,0.4281692046383195,23.358800004643854,23.358800004643854,0.0022573035288252496,0.0,0.2314310047359187,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.3616609455265129,0.35200359626834715,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.35374363229406225,0.35540630244314725,13.924900005804375,13.924900005804375,0.0007213256177545646,0.0,0.47909794689757706,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.3354541668472838,0.37636802872672115,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.37569681649801445,0.33756803031149973,16.559999996388797,16.559999996388797,0.016462279156900017,0.0,0.08540883283648393,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.35963145686926545,0.3654387522135643,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.34587529107538784,0.34627035969364195,0.1283537000126671
md_knapsack,fpto,22,0,0.0,425.7921554914634,2.1751721211442576,6.96901559103777,62.45072962524648,6.6592548855199425,10.786384628146234,170.2715547568681,0.1708820109103042,2.647410245612938,0.031136700003116857,0,6.0,0.0,53.689100001065526,0,0,1.1388441380920058,1.135516440130164,1.138922147543746,1.1415128385875888,0.0,0.0,0.4810053062596832,4.954395013533553,cpu,0.08965341723734403,0.19565666562199424,0.18010808037652348,0.1969654611470808,0.4865003718246502,0.4393459090563173,22.966500000620726,22.966500000620726,0.0025131893375692216,0.0,0.23870422658461482,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.36173927523982946,0.35125179661679756,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.3523973609004903,0.35556733228099835,14.392400000360794,14.392400000360794,0.0051320336018247925,0.0,0.4883159885596594,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.33897861254220635,0.3793792183768307,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.37275538984558076,0.3353383738698069,16.330200000084005,16.330200000084005,0.017979006676312748,0.0,0.07379525181389945,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.3630997978484424,0.3641057709822208,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.3437265732111071,0.34752098226693073,0.031136700003116857
md_knapsack,fpto,22,1,0.1,425.7904722290949,2.174723455631841,6.96856810117267,62.45054398553037,6.6590994276493,10.786379303143049,170.26665073540335,0.17074125586594893,2.6467692616317797,0.03165190000436269,0,6.0,0.0,55.395699993823655,0,0,1.1662142574193834,1.1628884489731386,1.1662809495245552,1.1689364319632665,0.0,0.0,0.480976472281642,4.954404383297491,cpu,0.08965317462823175,0.19565213300708187,0.1801074966031651,0.19696487565172294,0.486486360040536,0.43934417221258754,24.061099997197744,24.061099997197744,0.002505237836068097,0.0,0.2386703400825933,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.36173575200261987,0.35124763799958575,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.35240105706999836,0.3555718572600711,14.15380000253208,14.15380000253208,0.005135649120138808,0.0,0.4882913547123669,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.33897932776737894,0.37938250129699885,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.3727552015785049,0.3353353292455952,17.18079999409383,17.18079999409383,0.017984171673391836,0.0,0.07380949832294342,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.3631045475084998,0.3641061352604172,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.3437222470317039,0.3475200923904294,0.06278860000747954
md_knapsack,fpto,22,2,0.5,425.78357901792526,2.1729244422302116,6.9667763963838025,62.44983955500669,6.658476692593728,10.786360460165834,170.2468145233429,0.17017687333811543,2.6442003494519715,0.03045879999990575,0,6.0,0.0,52.854800000204705,0,0,1.2934186122413054,1.2898984499504724,1.2934496645902787,1.2965990943258827,0.0,0.0,0.48082130377605364,4.954444688092318,cpu,0.0896522540198297,0.1956337985712874,0.18010510595527285,0.19696265392455056,0.4864296839588688,0.439337059577729,22.987800002738368,22.987800002738368,0.0024734924185438323,0.0,0.23853476841723853,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.36172169769621265,0.3512310154671493,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.3524158008041858,0.3555899275220884,13.875399999960791,13.875399999960791,0.00515001799520981,0.0,0.48819252916944317,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.33898210888918834,0.3793956480569068,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.3727545968594116,0.3353231240962639,15.991599997505546,15.991599997505546,0.018004231770089918,0.0,0.07386598679494172,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.3631230607519601,0.3641073800430968,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.3437052518464445,0.34751672540843237,0.0932474000073853
md_knapsack,fpto,22,3,1.0,425.7747032920628,2.170665515639206,6.9645331497710306,62.44905327396435,6.657696832995757,10.786344423650855,170.22168531278203,0.169464648753028,2.640981347399605,0.03036489999794867,0,6.0,0.0,54.58689999795752,0,0,1.4835184984017649,1.4791822109342592,1.4834892613910151,1.487960767794026,0.0,0.0,0.4806279861499358,4.954501208859728,cpu,0.08965122644016257,0.19561057066350587,0.1801020277270949,0.1969601740462685,0.48635788470679187,0.4393279013210601,23.52740000060294,23.52740000060294,0.002433916034535355,0.0,0.23836510414687972,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.3617041866649656,0.351210261149917,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.35243415852457655,0.35561245722123536,14.046299998881295,14.046299998881295,0.0051678442810320635,0.0,0.48806848302643674,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.33898547039057003,0.3794121086162895,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.37275407821750245,0.33530781222729295,17.013199998473283,17.013199998473283,0.018026108419233244,0.0,0.07393337660948313,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.3631445312876743,0.36410708841362627,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.34368505567172997,0.3475143471911041,0.12361230000533396
md_knapsack,fpto,33,0,0.0,432.7603456329233,2.1644335562889787,6.915858789790079,62.90552410052425,6.5243083456450295,10.544898349857586,169.0947705902803,0.1788404828209519,2.6434323620294373,0.0304206999935559,0,6.0,0.0,53.65960000199266,0,0,1.0443817306727954,1.0431902231230692,1.0445516357959188,1.0452169191501142,0.0,0.0,0.46558145967360715,4.783027784165943,cpu,0.09024739176500156,0.19456753870418356,0.18251761923915633,0.198399852772091,0.48313806074797144,0.4465359096063353,23.402200000418816,23.402200000418816,0.002775122902872962,0.0,0.2388605675640873,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.36102431715291367,0.35224316333049266,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.3534010325133171,0.35431620216434323,14.025399999809451,14.025399999809451,0.0005574442665388091,0.0,0.4756651074315519,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.33718917763031014,0.3773561267694576,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.3749746549449086,0.3384557609217813,16.23200000176439,16.23200000176439,0.01817220195975111,0.0,0.07247027805194595,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.3622744998354835,0.3651049116848165,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.3445732024442879,0.3464618051565099,0.0304206999935559
md_knapsack,fpto,33,1,0.1,432.7261502119226,2.1639400441325938,6.91544105131571,62.899518179999575,6.524193351687276,10.545031761610279,169.08717514934506,0.17866263742540262,2.6427445276237354,0.031541500000457745,0,6.0,0.0,52.92409999674419,0,0,1.0724000050874583,1.0711443359341968,1.0725473847491767,1.073352033511189,0.0,0.0,0.46555529445210503,4.783050886562886,cpu,0.09023955291224935,0.1945604994584929,0.18250582934365767,0.19838091049691098,0.4831163590324709,0.44650062568169896,22.913799999514595,22.913799999514595,0.002770434460419191,0.0,0.23881504983044877,2.103412675089258,3.1206408550097984,0.9811460409895194,0.1987427573521525,1.8793428254333922,2.221634291069127,1.0263309744988474,0.14242051412698595,0.36101923744275605,0.3522437805687418,1.940484716754376,2.581410385925603,1.0437591288227541,0.20570078886896287,0.5779711132864863,1.0070258802303729,1.0167809710768472,0.1466953711484798,0.3534066278331857,0.3543155212574739,13.928599997598212,13.928599997598212,0.0005656225754747668,0.0,0.47563684410595364,5.466111820508038,3.2528891642428626,1.117638158812165,0.14284099002655568,0.1687718454310278,0.1389697717588824,0.9805113676923959,0.1961995449360623,0.3371883545977243,0.37736657355873876,2.259521715196393,2.2334389596351847,0.8996427190771288,0.13765588138800716,0.27893728136326346,0.4203819630726963,1.1892595189253856,0.19420654993800132,0.374975817596032,0.3384478654094816,16.081699999631383,16.081699999631383,0.018176833219106958,0.0,0.07247984848958922,0.47302368758299557,0.350631855820051,0.9374271311401892,0.1428895280851779,2.204077661044512,1.8357470950370696,1.0469727267731275,0.20521989749696953,0.36227583528563456,0.36510868442051503,0.9647496838757968,1.3184236018395736,1.0188574864435131,0.09675785051611421,1.4567317934173392,1.583055967377302,1.1377412836461125,0.16919385602158055,0.34457235444843115,0.3464584988195047,0.061962199994013645
