task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm,mo_method,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,mgda,22,0,0.0,0,1.0,0.0,0.0002,1891.1945534386832,384.437369601366,117.15963001209622,19104.289655807977,110.40069416075796,57.24008359653423,6400.369920205505,0.02340684115661466,0.5851447407256127,0.5547656629750156,0.9235164606148571,2,18.461585000068226,0,0,0,cuda,0.3956280433696559,0.2834767080306275,19104.289655807977,57.24008359653423,110.40069416075796,0.5547656629750156,0.5851447407256127,0.9235164606148571,0.9999757885701122,57.24008359653423,0.3333333333333333,0.3333333333333333,0.3333333333333333,6400.369920205505,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,5,1.0,0.0,0.001,1224.7796099347534,374.1256466079793,110.8043130802885,2058.7199994946855,131.48548072893558,70.72573540117955,740.3628221480227,0.08382889511201909,0.7967673502944498,0.7692412995235571,0.9274059600596848,2,24.218244999929084,0,0,0,cuda,0.2562175106503379,0.20395951216895178,2058.7199994946855,70.72573540117955,131.48548072893558,0.7692412995235571,0.7967673502944498,0.9274059600596848,0.9985592774409501,70.72573540117955,0.33333333333299997,0.33333333333299997,0.33333333333299997,740.3628221480227,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,10,1.0,0.0,0.0009975062344139652,1037.6696639108068,357.7557695504085,100.71165865738544,752.590567550722,145.8088916908075,78.76409309181167,78.7640930917329,0.059335715960145516,0.3727302709098685,0.3488456554997428,0.9289860667704974,2,23.478077000163466,0,0,0,cuda,0.21707508518921467,0.17835800587066222,752.590567550722,78.76409309181167,145.8088916908075,0.3488456554997428,0.3727302709098685,0.9289860667704974,0.3488456554997428,78.76409309181167,0.0,0.9999999999989999,0.0,78.7640930917329,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,15,1.0,0.0,0.0009950248756218907,987.365854693584,345.4000020149797,93.0901395592715,644.7397042317891,151.90817782101388,82.22330935023386,81.79457095791409,0.04844902067138906,0.062482893456738076,0.025027302435519105,0.931835105863608,2,24.035573999981352,0,0,0,cuda,0.2065517904925035,0.17119181465736413,644.7397042317891,82.22330935023386,151.90817782101388,0.025027302435519105,0.062482893456738076,0.931835105863608,0.12687376067044925,82.22330935023386,0.012945354219450504,0.9870529445749207,1.7012046286910302e-06,81.79457095791409,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,20,1.0,0.0,0.0009925558312655087,934.4816229391481,336.4171091313548,88.12117884688176,466.73222389285934,156.53144467502025,85.0128859034162,175.4594980647268,0.04848538810566739,0.0314028835339466,-0.0256881569860183,0.9376926471075276,2,24.454060999914873,0,0,0,cuda,0.19548868485058402,0.1635219867221218,466.73222389285934,85.0128859034162,156.53144467502025,-0.0256881569860183,0.0314028835339466,0.9376926471075276,0.8918752255991936,84.89890199334991,0.33333333333299997,0.33333333333299997,0.33333333333299997,175.4594980647268,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,25,1.0,0.0,0.0009900990099009901,896.5648205384841,328.56277643103414,83.02466286371723,338.561663904688,159.33484727181036,84.94128879430794,82.31327111346398,0.03624176344031565,0.06779926623230834,-0.003812002878893911,0.9339210999167734,2,24.47737100010272,0,0,0,cuda,0.18755668741682824,0.15793493431021075,338.561663904688,84.94128879430794,159.33484727181036,-0.003812002878893911,0.06779926623230834,0.9339210999167734,0.24312637811433385,82.40989384498668,0.06000943178100387,0.9399905682174222,5.739007525939884e-13,82.31327111346398,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,30,1.0,0.0,0.0009876543209876543,874.1841152494499,320.58917973342216,79.32883649871391,308.08594441867535,163.8391822728672,87.06829769162344,84.59616171749686,0.032901696993375876,0.11782241271784938,0.0389808812489553,0.9338432514006765,2,23.61831199982589,0,0,0,cuda,0.18287476052219231,0.1546019634753728,308.08594441867535,87.06829769162344,163.8391822728672,0.0389808812489553,0.11782241271784938,0.9338432514006765,0.2745686993811422,84.61418523525315,0.06508894814765757,0.9348242579734258,8.679387791649454e-05,84.59616171749686,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,35,1.0,0.0,0.0009852216748768474,866.6460723862292,313.94577532484834,74.67639669643359,294.89135623141044,166.00489148425285,88.75863789085109,85.83507647522453,0.030367023623184088,0.13022805322804532,0.03795596218723322,0.9322586698051638,2,28.9921820001382,0,0,0,cuda,0.18129784124469647,0.15347343820900294,294.89135623141044,88.75863789085109,166.00489148425285,0.03795596218723322,0.13022805322804532,0.9322586698051638,0.2910798067157374,85.83887369504878,0.07414827176887584,0.9258488185158821,2.9097142419860566e-06,85.83507647522453,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,40,1.0,0.0,0.0009828009828009828,856.7472278405603,305.8692424719431,69.82706826911983,281.7763792423153,168.6095310678318,88.54874329056368,84.62994347958941,0.031040959341990103,0.12000517059197773,0.006436169218093613,0.9338704512346584,2,24.848481999924843,0,0,0,cuda,0.17922705456010996,0.15198689163976778,281.7763792423153,88.54874329056368,168.6095310678318,0.006436169218093613,0.12000517059197773,0.9338704512346584,0.3003443500381966,84.77707677944463,0.08836287143098488,0.9116371285680152,0.0,84.62994347958941,mgda,FDFL-MGDA,2.0,64,MGDA
medical_resource_allocation,mgda,22,0,0.0,45,1.0,0.0,0.000980392156862745,847.6032439445207,297.22662566761977,65.29074921424612,270.77835836244475,170.24167300627948,87.20546659936407,79.80537033559824,0.031351847814024086,0.019732268889063483,-0.11550973729141698,0.9315049919573064,2,24.143681999930777,0,0,0,cuda,0.17731418078897096,0.15060905889211731,270.77835836244475,87.20546659936407,170.24167300627948,-0.11550973729141698,0.019732268889063483,0.9315049919573064,0.2947258075525795,80.0972133063001,0.11961406673951964,0.8803859332587803,6.998795182282503e-13,79.80537033559824,mgda,FDFL-MGDA,2.0,64,MGDA
