method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.1287,0.00194,0.12993,0.00199,0.60689,0.78963,0.12242,116.79251,119.9492,3,0,0
fdfl-scal,0.5,0.12866,0.00195,0.12989,0.00199,0.5877,0.77361,0.12194,116.8146,119.9755,3,0,0
fdfl-scal,1.0,0.12862,0.00195,0.12986,0.00199,0.56832,0.75734,0.12223,116.83845,120.00629,3,0,0
fdfl-scal,2.0,0.12856,0.00195,0.12979,0.00197,0.52904,0.72433,0.12273,116.90329,120.0835,3,0,0
fplg,0.0,0.12621,0.00197,0.12743,0.00177,0.36934,0.56208,0.10989,123.37678,125.49454,3,0,0
fplg,0.5,0.12388,0.00206,0.12663,0.00197,0.37683,0.56744,0.11364,120.45847,123.78582,3,0,0
fplg,1.0,0.12265,0.00205,0.12651,0.00195,0.35715,0.55425,0.1202,119.43126,123.7268,3,0,0
fplg,2.0,0.12182,0.00202,0.12659,0.00181,0.30777,0.5155,0.12012,118.86176,123.978,3,0,0
fpto,0.0,0.15462,0.00241,0.15412,0.00244,0.58916,0.77953,0.0538,138.96208,141.19694,3,0,0
fpto,0.5,0.15433,0.00238,0.15383,0.0024,0.55341,0.74683,0.05438,138.95001,141.18601,3,0,0
fpto,1.0,0.15404,0.00236,0.15354,0.00236,0.51738,0.71393,0.05497,138.95247,141.18896,3,0,0
fpto,2.0,0.15351,0.0023,0.153,0.00228,0.44496,0.64783,0.05619,138.99731,141.23534,3,0,0
mgda,0.0,0.15162,0.0063,0.15084,0.00411,2.05545,2.16996,0.07813,347.84496,353.02688,3,0,0
pcgrad,0.0,0.12492,0.00156,0.12855,0.0026,0.25613,0.46383,0.20603,124.65418,128.36687,3,0,0
saa,0.0,0.27845,0.00205,0.28073,0.00205,2.39095,2.49282,0.06708,245.85661,250.64968,3,0,0
wdro,0.0,0.15035,0.00257,0.15011,0.00211,0.74394,0.93103,0.07148,129.61501,131.6801,3,0,0
