method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fplg,1.0,0.12733,0.00199,0.56127,0.09512,0.12203,0.36894,0.0053,70.0
pcgrad,0.0,0.12911,0.00208,0.37191,0.19884,0.12419,0.15767,0.00492,70.0
fdfl-scal,2.0,0.13052,0.00193,0.72982,0.09394,0.12797,0.54039,0.00255,70.0
wdro,0.0,0.14986,0.00236,0.93462,0.05498,0.14968,0.75756,0.00018,70.0
mgda,0.0,0.15038,0.00677,2.17,0.0615,0.15134,1.99705,-0.00096,70.0
fpto,2.0,0.15229,0.00317,0.64428,0.0408,0.15247,0.45106,-0.00018,70.0
saa,0.0,0.27948,0.00241,2.5264,0.06652,0.27969,2.35842,-0.00021,0.0
