task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,22,0,0.0,0,0,70,,1043.3137383827325,0.5774751706528288,138.02466314744325,,,,1045.1529112501448,0.7196874197043093,137.71154253758803,3.1948413000000073,140,4.0,581.7226000008304,16.565799999625597,0,0,53.915380195361614,20.30325474237973,44.13762510585115,123.60526150707057,0.0,0.0,0.3826398968441696,7.610838621452159,cpu,,0.15157331030570817,0.15229043906402592,,,,,0.13162280590322992,0.1321632410555513,6.9890000004306785,0.0,9.576799999194918,3.1948413000000073
medical_resource_allocation,fpto,22,1,0.5,0,0,70,,1041.5915886036737,0.5421267487700174,138.0353588081565,,,,1043.4608835400713,0.6863260083495617,137.73039632247432,3.207518700000037,140,4.0,594.991800000571,19.720700000107172,0,0,53.96454287364587,20.3181013956608,44.15995864004874,124.10019981198631,0.0,0.0,0.3704012030374138,7.611240452482173,cpu,,0.1513279239719151,0.152039060273219,,,,,0.13143772579566698,0.131973876161075,9.385000000293076,0.0,10.335699999814096,6.402360000000044
medical_resource_allocation,fpto,22,2,1.0,0,0,70,,1039.9211675253164,0.5065343467471077,138.06020340203398,,,,1041.8303456643944,0.652747750920513,137.7644896946943,3.1699478999998973,140,4.0,561.7003999986991,16.93169999998645,0,0,54.013627135994874,20.332993376036814,44.18323882437957,124.56631403326024,0.0,0.0,0.3580589163350004,7.611648834986953,cpu,,0.15109145520190556,0.151795232218353,,,,,0.13125929700816308,0.131790120302891,10.77499999973952,0.0,6.1567000002469285,9.572307899999942
medical_resource_allocation,fpto,22,3,2.0,0,0,70,,1036.779334335317,0.4349367866277991,138.1504867150948,,,,1038.7699629929339,0.5852449838793884,137.87489585728827,3.139496799999506,140,4.0,586.9626999956381,15.237499999784632,0,0,54.120199491484755,20.362912919982964,44.245111048291974,125.88881955046092,0.0,0.0,0.33311824781627114,7.6125860568577455,cpu,,0.1506476231775938,0.15133662505315587,,,,,0.13092420315575837,0.1314442898454384,8.802399999694899,0.0,6.435100000089733,12.711804699999448
medical_resource_allocation,fdfl-scal,22,0,0.0,0,0,70,,874.2736755832811,0.6540264752079252,117.61271241157866,,,,902.4970186987421,0.6989393743826304,118.8908267889727,4.0649163999996745,140,4.0,1338.4835999950155,18.805300000167335,0,0,73.22629749296175,12.803520294742055,28.534080333070506,403.0896390208841,-0.36582908455653584,0.4885882128834717,-0.30143616790255223,7.774137005174822,cpu,,0.13088463821200688,0.12761599605032217,,,,,0.11573650732310146,0.11317327574042949,11.251500000071246,0.0,7.553800000096089,4.0649163999996745
medical_resource_allocation,fdfl-scal,22,1,0.5,0,0,70,,874.0786023409937,0.635542306892138,117.62961606773085,,,,902.3330721144848,0.682819007523283,118.91958138326503,4.170867300000282,140,4.0,1402.446000004602,16.00640000015119,0,0,73.23157390524729,12.792642923439967,28.537210080914107,403.6364032382439,-0.3707583391461518,0.4819001492524197,-0.3265825644094999,7.77435143945226,cpu,,0.13086086185715803,0.12758752159568337,,,,,0.11571791567907973,0.11315088110866144,6.827500000326836,0.0,9.178899999824353,8.235783699999956
medical_resource_allocation,fdfl-scal,22,2,1.0,0,0,70,,873.8961221216623,0.6170124281931464,117.64705341588129,,,,902.1959098712932,0.66656312624444,118.95145798762421,4.069757899999786,140,4.0,1305.1426000001811,15.181700000539422,0,0,73.23796477407416,12.747762369050303,28.506192050250306,404.1656722453154,-0.3740931360123182,0.4749792222152827,-0.3498868155792965,7.774573388648075,cpu,,0.1308409699016119,0.1275608853196524,,,,,0.11570236079525455,0.11312993114645879,8.286600000246835,0.0,6.895100000292587,12.305541599999742
medical_resource_allocation,fdfl-scal,22,3,2.0,0,0,70,,873.5568247710808,0.5785140497289486,117.70090559876293,,,,901.9069290865773,0.6330137945343974,119.02824508709125,4.110557599999993,140,4.0,1350.0604999981078,19.22190000095725,0,0,73.24852419790271,12.787393844451962,28.47767994886602,405.19880036609186,-0.3767596462139003,0.46090586107555637,-0.39187673594999184,7.774855243140118,cpu,,0.13079906046072276,0.1275113587577062,,,,,0.11566958713905472,0.11309097488667291,8.225800000218442,0.0,10.996100000738807,16.416099199999735
medical_resource_allocation,fplg,22,0,0.0,0,0,70,,856.551480242495,0.4439377657287567,124.01753592145104,,,,884.0452283843351,0.47449206971879154,123.8864257978057,4.168610599999738,140,4.0,1368.8437999981033,20.199599999614293,0,0,63.49409936948874,12.060409740683927,30.68084959377864,226.57150208710067,-0.14600319496134737,0.23838744166783554,-0.09187857208970347,7.709398491656038,cpu,,0.12820866715655996,0.12502912231298366,,,,,0.1136391439712,0.11113412073807676,9.17719999961264,0.0,11.022400000001653,4.168610599999738
medical_resource_allocation,fplg,22,1,0.5,0,0,70,,839.7249533592103,0.44468259178518443,121.36562837813588,,,,880.6792293379604,0.47145075728152863,122.54574350487826,4.058540400000311,140,4.0,1320.839099998011,21.566299999904004,0,0,31.788876770866644,13.210144279094825,37.72753173761056,57.045219454177804,-0.43138748365141594,0.35011056070505897,-0.6790080466937731,7.763421792648551,cpu,,0.1277205131147417,0.12257298752561827,,,,,0.11325546678403514,0.10918932567208332,10.633400000187976,0.0,10.932899999716028,8.227151000000049
