task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,train_decision_ms_eval,train_decision_ms,train_decision_alloc_gap,train_decision_selection_gap,train_decision_welfare_gap,train_group_0_benefit_mean_r0,train_group_0_benefit_std_r0,train_group_0_cost_mean_r0,train_group_0_cost_std_r0,train_group_0_benefit_mean_r1,train_group_0_benefit_std_r1,train_group_0_cost_mean_r1,train_group_0_cost_std_r1,train_group_0_decision_mean_r0,train_group_0_decision_mean_r1,train_group_1_benefit_mean_r0,train_group_1_benefit_std_r0,train_group_1_cost_mean_r0,train_group_1_cost_std_r0,train_group_1_benefit_mean_r1,train_group_1_benefit_std_r1,train_group_1_cost_mean_r1,train_group_1_cost_std_r1,train_group_1_decision_mean_r0,train_group_1_decision_mean_r1,val_decision_ms_eval,val_decision_ms,val_decision_alloc_gap,val_decision_selection_gap,val_decision_welfare_gap,val_group_0_benefit_mean_r0,val_group_0_benefit_std_r0,val_group_0_cost_mean_r0,val_group_0_cost_std_r0,val_group_0_benefit_mean_r1,val_group_0_benefit_std_r1,val_group_0_cost_mean_r1,val_group_0_cost_std_r1,val_group_0_decision_mean_r0,val_group_0_decision_mean_r1,val_group_1_benefit_mean_r0,val_group_1_benefit_std_r0,val_group_1_cost_mean_r0,val_group_1_cost_std_r0,val_group_1_benefit_mean_r1,val_group_1_benefit_std_r1,val_group_1_cost_mean_r1,val_group_1_cost_std_r1,val_group_1_decision_mean_r0,val_group_1_decision_mean_r1,test_decision_ms_eval,test_decision_ms,test_decision_alloc_gap,test_decision_selection_gap,test_decision_welfare_gap,test_group_0_benefit_mean_r0,test_group_0_benefit_std_r0,test_group_0_cost_mean_r0,test_group_0_cost_std_r0,test_group_0_benefit_mean_r1,test_group_0_benefit_std_r1,test_group_0_cost_mean_r1,test_group_0_cost_std_r1,test_group_0_decision_mean_r0,test_group_0_decision_mean_r1,test_group_1_benefit_mean_r0,test_group_1_benefit_std_r0,test_group_1_cost_mean_r0,test_group_1_cost_std_r0,test_group_1_benefit_mean_r1,test_group_1_benefit_std_r1,test_group_1_cost_mean_r1,test_group_1_cost_std_r1,test_group_1_decision_mean_r0,test_group_1_decision_mean_r1,cumulative_wallclock_sec
md_knapsack,fpto,11,0,0.0,0,0,30,,2864.55414666881,0.0950570517997593,4.025334161945419,129.77388085531618,3.713322319321237,9.59484086160641,378.6737696844177,1.52360271911622,5.6263976264129045,0.0532803000000967,0,6.0,0.0,375.8331999997608,0,0,0.9425272878701496,0.9419437646763728,0.9425870383043544,0.9430304516104177,0.0,0.0,-0.3848959503068893,5.076528334591988,cpu,0.1175743309837955,0.1985245424442371,0.2015472302962789,0.2664798523281479,0.4953976832951827,0.5048444640532561,312.84469999991416,312.84469999991416,0.0025615676075365,0.0066666666666666,0.1004156708967278,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.3574737260107914,0.3606342077069386,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3580180175613324,0.3549667809413243,29.395900000054095,29.395900000054095,0.023064464756281,0.05,0.3731305407222353,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.3482661230593785,0.3433992690106043,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.3625164499866987,0.3752778715958462,33.59259999979258,33.59259999979258,0.0075689085915267,0.0,0.1756184215715616,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.3652739177333473,0.3576306956018105,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.3516560207980022,0.356110775354102,0.0532803000000967
md_knapsack,fpto,11,1,0.5,0,0,30,,2864.891034903323,0.0944464081863664,4.026102264107376,129.7814214487871,3.714180826349983,9.593980503126048,378.6881126350836,1.5240749312127782,5.628130168051446,0.0565204999998059,0,6.0,0.0,346.90690000024915,0,0,0.8974276792111017,0.8964645861826931,0.8972016335670059,0.8985255399366548,0.0,0.0,-0.3845234299006895,5.076598857186332,cpu,0.1175803594373256,0.1985305690731078,0.2015661556750498,0.2664953363086019,0.4954164473741877,0.5049038366995705,294.51250000010987,294.51250000010987,0.0025695022095638,0.0066666666666666,0.1004523179415541,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.3574727747010013,0.360643365580109,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3580183526015369,0.3549587832604457,23.167499999999563,23.167499999999563,0.0230507212683837,0.05,0.3732045919024935,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.3482796705074386,0.3434040993010183,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.3625099104983437,0.3752753018468808,29.22690000013972,29.22690000013972,0.0075688890372457,0.0,0.1756451785991999,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.3652676727677896,0.3576364218815069,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.3516669422591624,0.3560993743156427,0.1098007999999026
md_knapsack,fpto,11,2,1.0,0,0,30,,2865.2298517422805,0.0938349803335538,4.026870316087261,129.78838313792016,3.715037950611279,9.59311669744557,378.7027042022924,1.5245451341897205,5.629861626697678,0.0511381000001165,0,6.0,0.0,351.61759999937203,0,0,0.8737497265624188,0.8721898293857581,0.873637548516845,0.8755657075385979,0.0,0.0,-0.3841813581041229,5.076671538967078,cpu,0.1175859250029775,0.1985367000728108,0.2015851884922236,0.266509631557229,0.4954355367042907,0.5049635492400629,298.8849999997001,298.8849999997001,0.002577469099684,0.0066666666666666,0.1004891612365407,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.3574717748581894,0.3606525998722997,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3580187381580828,0.3549506983730383,22.51849999993283,22.51849999993283,0.0230371024812279,0.05,0.3732788045633481,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.3482932271926816,0.3434089086481397,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.3625033673845674,0.3752729734187098,30.21409999973912,30.21409999973912,0.007568929227339,0.0,0.1756721124829214,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.3652614523355769,0.3576421508411157,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.3516778119261367,0.356087932795878,0.1609389000000192
md_knapsack,fpto,11,3,2.0,0,0,30,,2865.9091596446,0.0926106778199705,4.028402408221362,129.8011235101635,3.7167473365609287,9.591377302881137,378.7327872507872,1.5254765094534373,5.633312412978986,0.0503585000001294,0,6.0,0.0,341.05579999959446,0,0,0.896238362206257,0.8926783990352765,0.8966232176494178,0.8995905665827016,0.0,0.0,-0.3828680401434798,5.076822984903351,cpu,0.117596110190959,0.198549339896833,0.2016233454417661,0.2665357928501767,0.4954748926716798,0.5050832693836924,288.27700000010736,288.27700000010736,0.0025936282979651,0.0066666666666666,0.1005635788123965,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.3574697310286536,0.3606713369886298,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3580195560315919,0.3549342553897611,22.156799999720533,22.156799999720533,0.0230106274843456,0.05,0.3734270188139859,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.3483203403786742,0.3434177741017433,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.362490312591003,0.3752690568581057,30.62199999976656,30.62199999976656,0.0075690865861416,0.0,0.1757258680969736,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.3652492614442613,0.3576533604411218,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.3516991777767304,0.3560652709363694,0.2112974000001486
md_knapsack,saa,11,0,0.0,0,0,0,,2950.616254462941,0.3760682271548237,3.6319511176394736,132.8302791722931,2.698976368726569,8.181605062035178,394.3747278851838,1.096696466578655,4.961968915548619,2.170000016121776e-05,0,6.0,0.0,307.1970000005422,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0764756693317,cpu,0.1200110888425722,0.2050679675459258,0.2063529582110576,0.2727559116306516,0.5159383674958768,0.5200119129685252,261.399700000311,261.399700000311,0.0019866239019569,0.0033333333333333,0.1024379629497657,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.357428912255394,0.3599018830334942,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3581242645992369,0.3552332828857372,19.758100000217382,19.758100000217382,0.0186863611921129,0.05,0.3844659500108777,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.3495904063880529,0.3458095422504734,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.3604335639912979,0.3723391070314544,26.039200000013807,26.039200000013807,0.0060937596641705,0.0,0.1800873877674121,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.3660804788247857,0.355540741218333,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.3511489045580679,0.3582847961567098,2.170000016121776e-05
md_knapsack,wdro,11,0,0.0,0,0,30,,2864.55414666881,0.0950570517997593,4.025334161945419,129.77388085531618,3.713322319321237,9.59484086160641,378.6737696844177,1.52360271911622,5.6263976264129045,0.0849321999999119,0,6.0,0.0,337.53929999966203,0,0,0.9425272878701496,0.9419437646763728,0.9425870383043544,0.9430304516104177,0.0,0.0,0.0,5.076528334591988,cpu,0.1175743309837955,0.1985245424442371,0.2015472302962789,0.2664798523281479,0.4953976832951827,0.5048444640532561,287.59279999985665,287.59279999985665,0.0025615676075365,0.0066666666666666,0.1004156708967278,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.3574737260107914,0.3606342077069386,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3580180175613324,0.3549667809413243,19.106799999917712,19.106799999917712,0.023064464756281,0.05,0.3731305407222353,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.3482661230593785,0.3433992690106043,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.3625164499866987,0.3752778715958462,30.83969999988767,30.83969999988767,0.0075689085915267,0.0,0.1756184215715616,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.3652739177333473,0.3576306956018105,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.3516560207980022,0.356110775354102,0.0849321999999119
md_knapsack,fdfl,11,0,0.0,0,0,30,,542857.0157179951,4062.915438374104,89021.87458664294,741367.211173413,10076.534727338088,112482.58330204306,29834744.37718755,474.205380194245,86198.41526132068,83.91945750000014,510,6.0,83824.19269999901,1103.7648999999874,0,24,9772032581438.54,2693.585146589764,3404509071549.404,49214644917109.58,0.0,0.0886155872690716,0.0,22.644274493468263,cpu,0.9986879531414524,0.9999487614686496,0.9795233562620344,1522.3358017217606,39031.125019512765,95.67225652774054,878.8939999999457,878.8939999999457,0.5740833167333597,0.0333333333333333,1.9911843185367388,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.0064569002020207,0.3503842726542071,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,1.1482681823078116,0.3567396240151354,84.02609999984634,84.02609999984634,0.4629368444795602,0.05,0.5463728811000229,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.9672692042544688,0.3339544783962231,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,2.638146258395254e-05,0.3753236122289877,140.8448000001954,140.8448000001954,0.5640913629463657,0.0249999999999999,0.2897480537225987,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,1.2069121341238234,0.3122463490122985,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,6.4915113597753314e-06,0.3909692657320304,83.91945750000014
md_knapsack,fdfl,11,1,0.5,0,0,30,,3250431193.4126883,0.6209185728467347,7.762148081619596,38726438.026369296,4.285490334708974,15.522873649819507,608257883.5085167,0.1927201320533225,7.446249198533914,98.7197784,510,6.0,98630.5091000004,412.5114999997095,0,28,54243175571998.6,1997.2961102934023,14469432864834.928,781527509326705.1,0.0,-0.014342903314346,0.0,17.57906365071833,cpu,0.999974850205948,0.9999974866532504,0.9999965087018376,79521.51402459438,795749.7203655663,572850.8206726304,346.2677999996231,346.2677999996231,0.1969230426584222,0.0066666666666666,0.1805931317555276,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.573270188236357,0.0169358211500911,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.0358255663151263,0.948226528388166,27.307899999868823,27.307899999868823,0.0290388891031145,0.0,0.1665176985152162,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.9591640926155772,0.0096214111527805,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.0046190248780765,1.0222442570965102,38.93580000021757,38.93580000021757,0.7028348848908577,0.025,0.6288984623084297,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.9619702365521292,0.5525375019941137,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.0036341814444459,0.1052037873200819,182.63923590000013
md_knapsack,fdfl,11,2,1.0,0,0,30,,2793.7265518492222,0.3927636138752598,3.4537346600121768,117.50480081011484,2.957242445227581,8.16218922912603,371.3222715977895,1.3762232933336294,4.8330471463556695,69.83348269999988,510,6.0,69751.76969999803,342.397500000061,0,6,40821981665149.53,1024.4103400220215,2837.21660229162,1097707214695886.4,0.0,0.0156938340208937,0.0,8.07492866924285,cpu,0.1076552855539645,0.1954236113729127,0.1975483244307957,0.2412863186440272,0.4857801301071187,0.4923619214598624,286.75909999992655,286.75909999992655,0.0060940363612663,0.01,0.1043009802435014,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.3631373560473652,0.3593211185553924,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3541144171824704,0.3561559846977546,22.35629999995581,22.35629999995581,0.0103400631278527,0.0,0.401887335541545,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.3532435027318783,0.348948735303241,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.3535094768963476,0.3693628873944771,33.282100000178616,33.282100000178616,0.0138577601050148,0.025,0.2217114840840142,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.3742691604116271,0.357574590393114,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.3451601319472465,0.3589680986474651,252.4727186
md_knapsack,fdfl,11,3,2.0,0,0,30,,8282.936276770446,106.2582464639124,520.0290722269715,196.20346139031076,46.16027616066233,369.3150169371521,1381.7926863428838,91.39688402521811,629.1972872734962,70.8255608999998,510,6.0,70736.3203000009,365.9136999995098,0,7,1047061526270.5684,3016.839345868766,23088.82529105326,18238770820618.69,0.0,0.0018787038352412,0.0,14.343125263963127,cpu,0.1676680526626871,0.4747515674631051,0.4219271429985061,0.4028874614287969,1.8077219770964768,1.4597715076519762,305.40919999975813,305.40919999975813,0.0239845796176968,0.0366666666666666,0.1276710653871542,1.518719278024647,1.8162782628275895,1.007034543105429,0.2158883806204426,1.5824997221010215,1.7888717023012572,0.9813440468746,0.1926114171574073,0.3346438890403124,0.3530922863044737,1.5697829675773418,2.3244797511991675,0.9976968361541384,0.1939745345076975,0.9473715990580008,1.466934910292863,1.0091270066032751,0.1976503060004326,0.3701367694855069,0.3655685650946728,24.91159999999581,24.91159999999581,0.2206016963742533,0.25,0.251717974656232,3.8535335194652847,3.367549689592585,1.0472025299260168,0.1703233462523651,1.398962311387416,2.323739703576465,1.075117689953314,0.1019163276916697,0.212555017569329,0.3435857661414779,2.8427190215485822,2.6909414316214693,0.9831718205331196,0.1631333737806978,0.133335149544549,0.129121195944294,0.9851443104054668,0.284354061194893,0.5829895483763734,0.4143546280829403,35.5928999997559,35.5928999997559,0.0879830231392572,0.0,0.0435195116163519,1.5007359641064044,2.130339290161463,1.005832986080987,0.2406739087789126,2.069127292078624,2.713986971269821,1.0112963397431336,0.1867508774573924,0.2175984654834428,0.3951464789692019,1.0841467190940066,1.9657598574154087,1.0745673108288627,0.1985592613737706,1.5111513475042602,1.887328533412204,1.000532585381814,0.1934019517466322,0.4408328894186296,0.3478781013125297,323.2982794999998
