method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07524,0.00137,0.07521,0.00143,0.01636,2e-05,0.01258,3e-05,395.18172,396.21098,5,0,0
fdfl-scal,0.5,0.07524,0.00137,0.07521,0.00143,0.01636,2e-05,0.01258,3e-05,395.1817,396.21097,5,0,0
fdfl-scal,1.0,0.07524,0.00137,0.07521,0.00143,0.01636,2e-05,0.01258,3e-05,395.18169,396.21095,5,0,0
fdfl-scal,5.0,0.07524,0.00137,0.0752,0.00143,0.01636,2e-05,0.01258,3e-05,395.18158,396.21084,5,0,0
fplg,0.0,0.07545,0.00139,0.07542,0.00146,0.01636,2e-05,0.01258,3e-05,395.45902,396.49094,5,0,0
fplg,0.5,0.07519,0.00136,0.07516,0.00142,0.01635,2e-05,0.01258,3e-05,395.26027,396.29016,5,0,0
fplg,1.0,0.07493,0.00134,0.07489,0.0014,0.01635,2e-05,0.01258,3e-05,395.05875,396.08659,5,0,0
fplg,5.0,0.07467,0.00132,0.07463,0.00137,0.01635,2e-05,0.01257,3e-05,394.85431,395.88009,5,0,0
fpto,0.0,0.05971,0.00191,0.06024,0.00207,0.00923,0.0027,0.00713,0.00168,263.67029,264.38006,5,0,0
fpto,0.5,0.05971,0.00191,0.06025,0.00207,0.00923,0.0027,0.00713,0.00168,263.66124,264.37111,5,0,0
fpto,1.0,0.05972,0.00191,0.06025,0.00207,0.00923,0.0027,0.00713,0.00168,263.65213,264.3621,5,0,0
fpto,5.0,0.05972,0.00191,0.06025,0.00208,0.00922,0.0027,0.00712,0.00167,263.58178,264.29255,5,0,0
mgda,0.0,0.07571,0.00142,0.07569,0.00149,0.01636,3e-05,0.01259,3e-05,395.65518,396.68913,5,0,0
pcgrad,0.0,0.05953,0.00165,0.06008,0.00181,0.00911,0.00256,0.00704,0.00158,262.84143,263.56933,5,0,0
saa,0.0,0.07525,0.0,0.07517,0.0,0.01138,0.0,0.00761,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.05991,0.00168,0.06056,0.00178,0.00546,0.0001,0.00561,0.00043,197.6156,199.12883,5,0,0
