method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
pcgrad,0.0,0.06008,0.00181,0.00704,0.00158,0.05953,0.00911,0.00055
fpto,0.0,0.06024,0.00207,0.00713,0.00168,0.05971,0.00923,0.00053
wdro,0.0,0.06056,0.00178,0.00561,0.00043,0.05991,0.00546,0.00065
fplg,5.0,0.07463,0.00137,0.01257,3e-05,0.07467,0.01635,-4e-05
saa,0.0,0.07517,0.0,0.00761,0.0,0.07525,0.01138,-8e-05
fdfl-scal,5.0,0.0752,0.00143,0.01258,3e-05,0.07524,0.01636,-3e-05
mgda,0.0,0.07569,0.00149,0.01259,3e-05,0.07571,0.01636,-2e-05
