method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
wdro,0.0,0.04898,0.00026,0.00481,8e-05,0.04868,0.00417,0.0003,70.0
fpto,0.0,0.0501,0.00049,0.00547,0.00051,0.04979,0.00469,0.00032,70.0
pcgrad,0.0,0.05013,0.00051,0.00543,0.00046,0.04979,0.0045,0.00033,70.0
fplg,2.0,0.07386,0.00092,0.01451,0.00133,0.07376,0.01434,0.0001,70.0
fdfl-scal,2.0,0.07488,0.00067,0.01452,0.00133,0.07476,0.01436,0.00013,70.0
saa,0.0,0.07525,0.0002,0.00941,0.00118,0.07515,0.00962,0.0001,0.0
mgda,0.0,0.07577,0.00052,0.01453,0.00132,0.07561,0.01436,0.00016,70.0
