method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07476,0.00023,0.07489,0.00067,0.01436,0.01452,0.00133,392.15729,399.32385,3,0,0
fdfl-scal,0.5,0.07476,0.00023,0.07489,0.00067,0.01436,0.01452,0.00133,392.15727,399.32383,3,0,0
fdfl-scal,1.0,0.07476,0.00023,0.07489,0.00067,0.01436,0.01452,0.00133,392.15725,399.3238,3,0,0
fdfl-scal,2.0,0.07476,0.00023,0.07488,0.00067,0.01436,0.01452,0.00133,392.15721,399.32375,3,0,0
fplg,0.0,0.07513,0.0002,0.07528,0.00063,0.01436,0.01452,0.00133,392.69759,399.87446,3,0,0
fplg,0.5,0.07467,0.00029,0.0748,0.00073,0.01435,0.01452,0.00133,392.32386,399.49078,3,0,0
fplg,1.0,0.07421,0.00038,0.07433,0.00083,0.01435,0.01451,0.00133,391.94033,399.09685,3,0,0
fplg,2.0,0.07376,0.00047,0.07386,0.00092,0.01434,0.01451,0.00133,391.5456,398.69118,3,0,0
fpto,0.0,0.04979,0.00029,0.0501,0.00049,0.00469,0.00547,0.00051,138.96208,141.19694,3,0,0
fpto,0.5,0.04979,0.00029,0.0501,0.00049,0.00469,0.00547,0.00051,138.96193,141.19681,3,0,0
fpto,1.0,0.04979,0.00029,0.0501,0.00049,0.00468,0.00547,0.00051,138.96188,141.19675,3,0,0
fpto,2.0,0.04979,0.00029,0.0501,0.00049,0.00468,0.00547,0.00051,138.96169,141.19658,3,0,0
mgda,0.0,0.07561,0.00014,0.07577,0.00052,0.01436,0.01453,0.00132,393.06278,400.24925,3,0,0
pcgrad,0.0,0.04979,0.0003,0.05013,0.00051,0.0045,0.00543,0.00046,139.07173,141.31939,3,0,0
saa,0.0,0.07515,0.0002,0.07525,0.0002,0.00962,0.00941,0.00118,245.85661,250.64968,3,0,0
wdro,0.0,0.04868,0.0003,0.04898,0.00026,0.00417,0.00481,8e-05,129.61501,131.6801,3,0,0
