method_label,lam,alpha_fair,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-CAGrad,0.0,0.5,5,0.055651205220758435,0.0007967238872955124,23.09539163796251,0.6403807487885739,170.9949324486303,3.672478918691471,0.4326384345068604,0.029678236464097042,0.19156879680103084,0.019675102910195027,0.6258414886634046,0.04815762936972343,5.829162647600015,1.3493097051684886
FDFL-CAGrad,0.0,2.0,5,0.1578380625801929,0.005654521335368012,53.30977452274567,15.098600514319767,270.3499770620395,41.54443549838352,0.1696130491789626,0.07688707871053159,0.0970871864912943,0.07213408922662683,0.9246002508422348,0.0031037712719280677,5.5205411122000445,0.8501854328002018
FDFL-MGDA,0.0,0.5,5,0.054904870314267364,0.0008652252084422686,69.298930653417,6.4739550781146535,323.1522194017266,16.00736691973306,0.18956008670704133,0.032663251066012804,0.249753854853651,0.0281175128834182,0.928306385446582,0.004408897503300983,5.760615192600016,1.4017203292118692
FDFL-MGDA,0.0,2.0,5,0.16479886264489946,0.007185780234428809,58.45701984342884,14.02475293967676,281.68198792044245,43.28605450357676,0.19171639870263407,0.10600977029403826,0.11176528989078786,0.10025822722297809,0.9234606130244394,0.005951223721014191,6.559604853200062,1.3469072560356383
FDFL-PCGrad,0.0,0.5,5,0.05444198516343066,0.0008053280736312631,23.01787600611363,0.6178269612800662,167.00385014399836,3.1699218635400883,0.43963428379179514,0.031058565488333554,0.1729392144952115,0.026173930836245897,0.5677944939484535,0.059066253603657436,5.620514441999967,1.2959956697323156
FDFL-PCGrad,0.0,2.0,5,0.1520311168094384,0.0043950580648278075,51.152800703610275,13.57143308576055,262.4946983869216,37.21650982894405,0.153338969060064,0.06255635812970069,0.0916430773696082,0.05807393423172401,0.9248907795692508,0.0028635002835106244,5.273139355999956,0.8966420123057173
FDFL-Scal,0.0,0.5,5,0.05485669335018485,0.0014641767375243937,28.858617113393517,2.2990520945805986,174.60655088132742,8.764872222625975,0.3281352976252572,0.027059588926702922,0.2945433211663425,0.08113244802532464,0.6723206701774906,0.03243625211473518,4.816394792200026,0.5141749889747484
FDFL-Scal,0.5,0.5,5,0.0652949574172595,0.000765627599601753,43.897578690548116,11.234757332220138,221.68465743769087,3.5547835696132357,0.43495825759427226,0.03498032627526407,0.24617002121128279,0.022124344642840913,0.4423027366848061,0.03442950379173212,4.665898490599966,0.6503031989555682
FDFL-Scal,1.0,0.5,5,0.06713113264013548,0.0015058835355663655,45.31284164271295,9.81538019484335,225.16315619525002,4.374193886788363,0.4317763262287251,0.04006509636759156,0.24618495363308973,0.02077292928005532,0.4364269777772714,0.04511346911431909,4.429775381400032,0.49297568507732453
FDFL-Scal,5.0,0.5,5,0.0696874642640144,0.0029959635910039345,46.33170926771279,11.196240392015044,229.50932686386795,4.326047940155142,0.43107206801811426,0.03351679860251338,0.24094151587462537,0.019134639200730816,0.4475838213104521,0.03309140814108947,4.759851893200039,0.7847005403323799
FDFL-Scal,0.0,2.0,5,0.18679124778268186,0.006519063133456137,41.311820493892306,4.1009971678186785,232.38505650650626,11.992976879179427,0.28729961110283736,0.039990046407323905,0.24794737999147784,0.024063723801821913,0.9203576802887248,0.00820730956729218,4.516474384799949,0.5122678396556787
FDFL-Scal,0.5,2.0,5,0.18683787835658142,0.007547455151595304,38.66281969096254,3.168278512847032,225.13301399516732,9.351095364868312,0.27091111103919335,0.04099503709645851,0.22097239087365644,0.027355822152058663,0.9174173672938561,0.010452182015665118,4.776394308000045,0.6064749568179318
FDFL-Scal,1.0,2.0,5,0.18768591436685572,0.006930667559132931,38.35200906699508,3.2140284218544277,225.73282158035846,9.502170826961295,0.2656042723956419,0.033371103548499315,0.2103729489082295,0.019431397836300334,0.9165693523644778,0.012121483867457405,4.625238399600039,0.6160456488905951
FDFL-Scal,5.0,2.0,5,0.1916453455195186,0.005908655269054605,35.706039901182024,1.2459661045480757,215.22135573075215,6.673027417599568,0.24269872901446052,0.03731458808585399,0.15855031253823731,0.026136380282466107,0.8755210252755852,0.03623840436893932,4.3908970947999935,0.473122117973773
FPTO,0.0,0.5,5,0.05308303014040826,0.0007508043364893536,24.64052509873184,0.6421071030936303,162.509197620145,3.1602323248241095,0.0,0.0,0.0,0.0,0.6496153175283109,0.04685309647550174,4.817817039000056,0.4228363460505864
FPTO,0.5,0.5,5,0.053966707636671316,0.0007803220535301247,23.37772109930851,0.6505734009637092,164.94463549710912,3.173728579602587,0.0,0.0,0.0,0.0,0.5956178516484286,0.046416463410955316,3.228349659400055,0.15075845182544753
FPTO,1.0,0.5,5,0.054888920531384,0.0007650945402971966,22.493871169704146,0.48380584493556944,167.88127749659122,3.036074859632578,0.0,0.0,0.0,0.0,0.5489751038216244,0.05534071950305641,3.1380674962000286,0.053215543733817566
FPTO,5.0,0.5,5,0.059740937007296734,0.0007114091441736977,42.20007892492206,12.422862305885815,202.17423496704615,4.273531189105662,0.0,0.0,0.0,0.0,0.3950372137870386,0.05185336253889705,3.0961516159999976,0.013357808544571123
FPTO,0.0,2.0,5,0.17147759345538308,0.005860186173831517,24.64052509873184,0.6421071030936303,162.509197620145,3.1602323248241095,0.0,0.0,0.0,0.0,0.6496153175283109,0.04685309647550174,4.011941223399935,0.18558461286511377
FPTO,0.5,2.0,5,0.17714841151184552,0.005965145708258667,23.37772109930851,0.6505734009637092,164.94463549710912,3.173728579602587,0.0,0.0,0.0,0.0,0.5956178516484286,0.046416463410955316,3.0807190231999813,0.028528869386351775
FPTO,1.0,2.0,5,0.18263692013721697,0.005799217499618968,22.493871169704146,0.48380584493556944,167.88127749659122,3.036074859632578,0.0,0.0,0.0,0.0,0.5489751038216244,0.05534071950305641,3.067594136799971,0.03696513155177738
FPTO,5.0,2.0,5,0.20376518123141918,0.006033563428133782,42.20007892492206,12.422862305885815,202.17423496704615,4.273531189105662,0.0,0.0,0.0,0.0,0.3950372137870386,0.05185336253889705,3.3797297896000145,0.19394357764183856
SAA,0.0,0.5,5,0.0751659775867693,0.0,49.8540423084461,0.0,248.68795473912536,3.1776437161565096e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.9229799924432885e-05,1.1103099012681778e-05
SAA,0.0,2.0,5,0.2789270100735531,0.0,49.8540423084461,0.0,248.68795473912536,3.1776437161565096e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.630000000564905e-05,1.1769182416606114e-05
WDRO,0.0,0.5,5,0.05388178467624558,0.000793398360446354,23.0779510979852,0.6998285366816573,163.608785956834,3.23389424443537,0.0,0.0,0.0,0.0,0.0,0.0,3.68345315040001,0.7212202409415557
WDRO,0.0,2.0,5,0.17685100236395743,0.0060689472204697665,23.0779510979852,0.6998285366816573,163.608785956834,3.23389424443537,0.0,0.0,0.0,0.0,0.0,0.0,3.3585150797999175,0.44865961731692405
