method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
fplg,5.0,0.12748,7e-05,0.00734,0.00015,0.12307,0.0073,0.00441
pcgrad,0.0,0.12852,0.00018,0.00911,0.00089,0.12398,0.00489,0.00453
fdfl-scal,0.0,0.13217,7e-05,0.0065,0.00019,0.13152,0.00566,0.00065
mgda,0.0,0.16413,0.00549,0.01078,0.00024,0.16475,0.01411,-0.00061
wdro,0.0,0.19054,0.00922,0.00561,0.00043,0.1926,0.00546,-0.00206
fpto,0.0,0.19565,0.00757,0.00713,0.00168,0.1978,0.00923,-0.00215
saa,0.0,0.27893,0.0,0.00761,0.0,0.28024,0.01138,-0.00132
