task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_true,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fplg,55,0,0.0,0,1.0,0.0,0.0005,0.0,3.7354905532338116,1.2124390663709463,1e-06,0.4599550083127199,0.3444290913712326,0.4599550083127199,0.00022997750415580998,0.0,0.0,0.6678653955350754,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,2,1.0,0.0,0.0004995004995004996,0.0,6.582305124761992,1.6954962780320142,1e-06,0.6284115160187932,0.5025054873081013,0.6284115160187932,0.00031389186614286,0.0,0.0,0.5125873129040565,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,4,1.0,0.0,0.000499001996007984,0.0,4.262201156190456,1.6042189457470233,1e-06,0.49865058070408,0.38283643844810467,0.49865058070408,0.0002488276350813724,0.0,0.0,0.6541243077351132,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,6,1.0,0.0,0.0004985044865403789,0.0,8.195837475008776,1.5738902653482432,1e-06,0.7363161885223981,0.7480748730927957,0.7363161885223981,0.0003670569234903887,0.0,0.0,0.24878860925295654,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,8,1.0,0.0,0.00049800796812749,0.0,8.446310706622194,1.633252325283513,1e-06,0.6448514337705855,0.6265876787992918,0.6448514337705855,0.00032114115227579754,0.0,0.0,0.35977636458266543,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,10,0.30151134457776363,0.0,0.0004975124378109454,0.0,5.074305287423573,1.7838160590664605,1.8684425035137726,0.5561787073798772,0.4254570516647183,0.8494897392049349,0.0004226317110469347,0.3194454571475288,0.42775708282830366,0.6738319467914365,96,452.07447700022385,0,0,0,cpu,0.7218035993045344,0.08810931817788133,0.252185691491534,0.1220682721210806,1.0895762202222734,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,12,0.2773500981126146,0.0,0.0004970178926441352,0.0,8.03719120431116,0.989569751596448,2.5236477834042823,0.6127832111027312,0.6073924669248579,1.1062770794052474,0.0005498395026862826,0.34345604638524596,-0.003668984159257127,0.357479693646118,96,417.62262399970496,0,0,0,cpu,0.7825836418664353,0.11121302537761717,0.2950143969758085,0.14211008182125798,1.070673567856765,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,14,0.2581988897471611,0.0,0.000496524329692155,0.0,6.518463996702056,1.3853768980084735,3.4272622933790986,0.6333773782713741,0.6232920753736055,1.2408982786445866,0.0006161361860199524,0.2950217878979247,0.06380364605363237,0.29433057821907993,96,396.1984530001246,0,0,0,cpu,1.0229944770527255,0.10066939215823172,0.32091156443189456,0.0984065842156479,1.0686129813047507,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,16,0.24253562503633297,0.0,0.000496031746031746,0.0,4.330388556680424,1.6422300878403968,3.317244697136798,0.5438266406898795,0.38354521694147103,1.0489368960438772,0.0005203060000215287,0.17176075714837322,0.14883563639550648,0.8129571403174018,96,396.37699800005066,0,0,0,cpu,0.9786392247471886,0.07983650239691051,0.2795194676802307,0.08157909511294588,1.0706635886151012,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,18,0.22941573387056174,0.0,0.000495540138751239,0.0,3.8388180145001782,1.0772963306675163,2.191760888509217,0.4399012780415629,0.3745305724530442,0.6880154740918296,0.00034093928349411166,0.013337038117917607,-0.13174995727971256,0.5081523714385291,96,399.57408600002964,0,0,0,cpu,0.8690535450484869,0.07543120127152961,0.2560346712308486,0.08679695480365493,1.068263624473226,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,20,0.2182178902359924,0.0,0.0004950495049504951,0.0,5.218609875280908,1.286172477936554,2.134984468907267,0.5048069471505574,0.44086624305353445,0.7953317854191553,0.00039372860664283046,0.05427492436660145,0.05347203964478102,0.4635814905688576,96,419.87505799988867,0,0,0,cpu,0.6974826771267711,0.08850234129084733,0.24845291291415236,0.12688822847246364,1.0516174558524078,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,22,0.20851441405707477,0.0,0.0004945598417408507,0.0,3.0791843465433524,1.1913416517372775,2.0070730081966555,0.44335245934874906,0.3419588047687734,0.725625983042132,0.00035886547133601724,0.23834259826501722,0.3531606600019344,0.6854397940212763,96,549.3955980000464,0,0,0,cpu,0.6687632746900238,0.06810178687763525,0.21341034184061805,0.10183242629344573,1.0518822947101578,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
md_knapsack,fplg,55,0,0.0,24,0.2,0.0,0.0004940711462450593,0.0,4.146109546890777,0.9687902074267549,2.200542099831443,0.4398365736327403,0.4217080389456426,0.762970277359674,0.0003769615994856803,0.1996810442714757,0.1449534449745299,0.37430283588102353,96,632.1739019999768,0,0,0,cpu,0.7672635331252631,0.07816562703673162,0.24489515137943071,0.10187585316135485,1.0539153639267118,0.0,0.0,FDFL-Scal,0.5,high,0.35,0.8,FPLG
