method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.13152,0.00013,0.13217,7e-05,0.71304,0.00716,0.6272,0.01431,120.71253,124.32774,5,0,0
fdfl-scal,0.5,0.13146,0.00012,0.13213,7e-05,0.69503,0.00716,0.61102,0.01432,120.74166,124.35222,5,0,0
fdfl-scal,1.0,0.13141,0.00012,0.13209,7e-05,0.67696,0.00718,0.5948,0.01431,120.77378,124.38033,5,0,0
fdfl-scal,5.0,0.13108,0.0001,0.13187,8e-05,0.53204,0.00778,0.46462,0.01371,121.15295,124.72663,5,0,0
fplg,0.0,0.1317,0.00049,0.13254,0.00038,0.53665,0.01648,0.40586,0.01734,144.96087,147.95971,5,0,0
fplg,0.5,0.12553,0.00014,0.12811,8e-05,0.46788,0.00964,0.40363,0.01018,123.22397,126.98709,5,0,0
fplg,1.0,0.12398,0.00016,0.12768,4e-05,0.47526,0.01242,0.42745,0.00527,120.82562,125.15969,5,0,0
fplg,5.0,0.12288,0.0002,0.12739,7e-05,0.34332,0.01079,0.31701,0.00478,120.73924,125.41192,5,0,0
fpto,0.0,0.1978,0.00767,0.19565,0.00757,1.60982,0.39918,1.3792,0.39747,263.67029,264.38006,5,0,0
fpto,0.5,0.19781,0.00787,0.19567,0.00778,1.59152,0.4056,1.36095,0.40367,262.50088,263.21849,5,0,0
fpto,1.0,0.19783,0.00807,0.19569,0.00798,1.57286,0.41202,1.34234,0.40986,261.3269,262.05257,5,0,0
fpto,5.0,0.19823,0.00963,0.19613,0.00956,1.41224,0.46373,1.18228,0.45963,251.97112,252.76762,5,0,0
mgda,0.0,0.16326,0.00318,0.16271,0.00349,2.27699,0.02861,2.0665,0.0284,359.44279,360.42055,5,0,0
pcgrad,0.0,0.12302,0.00026,0.12806,0.00024,0.03671,0.02168,0.05577,0.02084,125.9773,129.91626,5,0,0
saa,0.0,0.28024,0.0,0.27893,0.0,2.54601,0.0,2.33812,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.1926,0.00921,0.19054,0.00922,0.66197,0.22463,0.43541,0.20666,197.6156,199.12883,5,0,0
