task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,solver_calls_fd_train,decision_ms_fd_train,nan_or_inf_steps,nan_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,config_name,alpha_fair,predictor_family,nce_pool_size,lancer_surrogate_loss,ffo_backward_ms
medical_resource_allocation,fpto,11,0,0.0,41.411659368972096,84.9105377401344,279.9188809567283,62.05769783732842,60.45424818914276,284.29147174526867,2.2308206019999943,140,4.0,691.720718999818,15.277244999879258,0.0,0.0,0,0,0,49.07408117771438,20.074414216546376,37.22057890031031,118.60720505332745,0.0,0.0,0.8782272147992588,6.907458639360537,cuda,0.06002308467744679,0.06007885350825038,0.06385591358576062,0.06391903590263329,2.2308206019999943,FPTO,0.5,,,,
medical_resource_allocation,fpto,11,1,0.05,41.551204696918944,78.23639587148358,269.53889506952817,62.31617002358473,55.46236468277077,273.4667254111753,2.1470361499999626,140,4.0,686.4868080000406,15.154165999888392,0.0,0.0,0,0,0,51.65723150976694,20.36554923713776,38.67510530655597,124.21047208257048,0.0,0.0,0.8789122515830498,6.936220973246924,cuda,0.06022534513170841,0.06032908374809517,0.06408487909279584,0.06420235287129211,4.377856751999957,FPTO,0.5,,,,
medical_resource_allocation,fpto,11,2,0.2,42.370173750295294,58.302177438356466,238.20323412236405,63.66481245493469,41.69376553405198,241.086316365573,2.160183267999969,140,4.0,690.4083549999314,15.177464999965196,0.0,0.0,0,0,0,59.613144839704894,21.246094937220107,43.55705352025686,134.26777662588572,0.0,0.0,0.8802175442034592,7.030151267245612,cuda,0.06141237916000065,0.061634721789655705,0.06543062980634558,0.06568308016171037,6.538040019999926,FPTO,0.5,,,,
medical_resource_allocation,fpto,11,3,0.5,43.46659013832823,40.47706790684343,203.8290766911806,65.44712906855261,34.1611851392298,206.7436797855835,2.2361815000000433,140,4.0,701.8444149999823,34.35064400014198,0.0,0.0,0,0,0,71.19700440249692,23.035204445817197,56.44147046738611,152.4095808220852,0.0,0.0,0.8588609713125367,7.176904067346196,cuda,0.06300155222631709,0.06336020537133093,0.06723762710174105,0.06764628807646389,8.77422151999997,FPTO,0.5,,,,
medical_resource_allocation,fpto,22,0,0.0,39.21520699010409,91.86639489172136,287.623902313621,59.03468592920194,64.07855563797105,292.64063004192053,2.9413571710000497,140,4.0,778.1311880000885,27.329968000003646,0.0,0.0,0,0,0,47.79187513298838,20.312846362724436,36.43552225184712,116.63791557263295,0.0,0.0,0.8685892620110963,6.96144402868766,cuda,0.056839492202870566,0.05715223689320764,0.06026491963242437,0.06061661185352386,2.9413571710000497,FPTO,0.5,,,,
medical_resource_allocation,fpto,22,1,0.05,39.08478830729996,85.73925820194977,277.95632751789236,58.88279827519682,59.23786086285353,282.56738151653997,2.516009883000038,140,4.0,765.8000570003196,15.293798000016068,0.0,0.0,0,0,0,50.20222598390607,20.581559621183462,37.679828933232926,123.36739606689615,0.0,0.0,0.8695435497831107,6.987305059071567,cuda,0.0566504601341064,0.05700519250656917,0.06005245960278925,0.06045122629900195,5.457367054000088,FPTO,0.5,,,,
medical_resource_allocation,fpto,22,2,0.2,39.25603952534016,65.67122670686332,246.32580829222388,59.262335298789935,44.26599632677038,249.8048215367406,2.1843051019999393,140,4.0,713.7495999996872,15.166756999860809,0.0,0.0,0,0,0,57.943441357741705,21.393433125468437,41.862852396383815,136.77699472526598,0.0,0.0,0.8719515406808148,7.075329118508501,cuda,0.05689867589068737,0.05737262716876337,0.060331455842694136,0.06086458851331817,7.641672156000027,FPTO,0.5,,,,
medical_resource_allocation,fpto,22,3,0.5,40.478649770348284,41.193227935442366,202.2760045951558,61.23924802430304,31.0670909528595,205.35545694862836,2.193876627999998,140,4.0,710.1667110002836,15.223846000026242,0.0,0.0,0,0,0,70.81016071331604,23.03993809016907,52.718446533706995,155.16011401600232,0.0,0.0,0.8620476206695641,7.237655495677879,cuda,0.058670757458580795,0.059286501743131735,0.06232756277727051,0.06302290958191731,9.835548784000025,FPTO,0.5,,,,
medical_resource_allocation,fpto,33,0,0.0,41.567322808889,62.7309731471796,242.67598315319825,62.46710464170599,44.29242038736965,245.4786601594887,2.1806333250000307,140,4.0,688.0102790001956,15.403626000079385,0.0,0.0,0,0,0,57.25654137739031,22.13710375791305,43.71222466237744,122.20649000360567,0.0,0.0,0.8813394423469759,7.003163015101788,cuda,0.060248707122373873,0.060475205488466535,0.06411133198645083,0.06436786537380111,2.1806333250000307,FPTO,0.5,,,,
medical_resource_allocation,fpto,33,1,0.05,41.94042627515853,56.34078960237696,232.48160631762053,63.05678818485285,40.24588479286398,234.98358942088095,2.1752259419999973,140,4.0,699.002493000421,15.230047999921226,0.0,0.0,0,0,0,59.96527552361662,22.502685000226474,45.8664503946885,125.10843938391442,0.0,0.0,0.8813750842545095,7.037060402862354,cuda,0.06078949252654737,0.0610460856925278,0.06472403368875813,0.0650149967557806,4.355859267000028,FPTO,0.5,,,,
