task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,solver_calls_fd,decision_ms_fd,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,config_name,alpha_fair,predictor_family,nce_pool_size,lancer_surrogate_loss,ffo_backward_ms,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_ws_weight_decision_regret,mo_ws_weight_pred_fairness,mo_ws_weight_pred_loss,mo_method,grad_backend,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction
medical_resource_allocation,fpto,11,0,0.0,0,1.0,0.0,0.0005,74.10444422798025,398.71754303455754,120.5593327340108,1e-06,20.074414216546376,6.634469515789496,20.074414216546376,0.010037207108273173,,,,,,0.0,0.0,0.8757455020274741,2,7.5951140000825035,0.0,0.0,0,0,0,cuda,0.07591533631087061,0.08215192751690253,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,5,1.0,0.0,0.0004987531172069826,73.22194182991393,397.6580314470744,120.24890199158975,1e-06,21.26732061785115,7.196549092877613,21.26732061785115,0.01060714245279358,,,,,,0.0,0.0,0.8774326727081806,2,10.083857000040553,0.0,0.0,0,0,0,cuda,0.07501126818051335,0.08109425077315638,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,10,1.0,0.0,0.0004975124378109454,72.32260721151727,396.46351312544203,119.88916697035575,1e-06,22.713416277503168,7.926638076174669,22.713416277503168,0.01130020710323539,,,,,,0.0,0.0,0.8776391876040665,2,9.989128999905006,0.0,0.0,0,0,0,cuda,0.07408995650045336,0.08001852557989846,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,15,1.0,0.0,0.0004962779156327543,71.39029537409203,395.0925878465448,119.46134107257517,1e-06,24.487779891386875,8.899903484441348,24.487779891386875,0.012152744362971145,,,,,,0.0,0.0,0.8766806238386049,2,10.112346000028083,0.0,0.0,0,0,0,cuda,0.07313486173627162,0.07890561282008426,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,20,1.0,0.0,0.0004950495049504951,70.40665958157501,393.4883553221791,118.93942008798662,1e-06,26.681694782764957,10.14224322179875,26.681694782764957,0.01320875979344799,,,,,,0.0,0.0,0.875879910318252,2,10.186373000010462,0.0,0.0,0,0,0,cuda,0.0721271888122752,0.07773391777688657,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,25,1.0,0.0,0.0004938271604938272,69.34680125628472,391.5647677352067,118.28250692374355,1e-06,29.47163586352087,11.798302862869292,29.47163586352087,0.014553894253590546,,,,,,0.0,0.0,0.8749500178361806,2,10.239324000053784,0.0,0.0,0,0,0,cuda,0.07104143070364195,0.07647427242901958,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,30,1.0,0.0,0.0004926108374384237,68.18222311483885,389.1908864257902,117.43007555277478,1e-06,33.05629959218618,13.938171699300804,33.05629959218618,0.016283891424722263,,,,,,0.0,0.0,0.8745082714021152,2,10.13222799997493,0.0,0.0,0,0,0,cuda,0.06984839373819136,0.07509355815543388,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,35,1.0,0.0,0.0004914004914004914,66.88015830915572,386.1616313407443,116.28285599184241,1e-06,37.741253613257946,16.819150794715565,37.741253613257946,0.018546070571625512,,,,,,0.0,0.0,0.8743339597825183,2,10.1781519999804,0.0,0.0,0,0,0,cuda,0.06851451034358841,0.07355402859668884,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,40,1.0,0.0,0.0004901960784313725,65.41741474772107,382.155497433962,114.67867225050726,1e-06,43.86401209946758,20.597053649566668,43.86401209946758,0.02150196671542528,,,,,,0.0,0.0,0.8750525479774361,2,10.24058900009095,0.0,0.0,0,0,0,cuda,0.06701602168262165,0.07182976689855272,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,45,1.0,0.0,0.000488997555012225,63.80342826256356,376.6681300772285,112.37111554521898,1e-06,51.88539509661597,25.449291466924755,51.88539509661597,0.025371831343088486,,,,,,0.0,0.0,0.8770749527573285,2,10.181225999986054,0.0,0.0,0,0,0,cuda,0.06536259417097359,0.06993363818238878,FPTO,0.5,,,,,,,,,,,,,,,,,,,,,,,
