task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,fpto,55,0,0.0,0,1.0,0.0,0.0002,1599.1859777677837,367.1215618098679,111.01515182100853,1e-06,142.92970741392378,67.32122623743787,142.92970741392378,0.023406807997139338,0.0,0.0,0.921919159676545,2,11.779531999991377,0,0,0,cuda,,,,,,0.33454137133489337,0.2506789062674496,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,5,1.0,0.0,0.001,1278.6402511473043,348.2701429308975,103.00276695951398,1e-06,156.13818540914062,75.67996984567121,156.13818540914062,0.11082646741941293,0.0,0.0,0.9201883859271803,2,21.71484500013321,0,0,0,cuda,,,,,,0.2674848760616922,0.2110359508926187,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,10,1.0,0.0,0.0009975062344139652,1126.0647699734536,313.5289396759499,84.78570388921327,1e-06,161.4261277365697,79.35863846312138,161.4261277365697,0.10757516674514635,0.0,0.0,0.9230953642270537,2,21.929455999952552,0,0,0,cuda,,,,,,0.23556688064803236,0.19065490046518713,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,15,1.0,0.0,0.0009950248756218907,1086.4533094337821,280.1595340247975,67.94233725127407,1e-06,157.26196351172317,77.86078731961474,157.26196351172317,0.10553841273168567,0.0,0.0,0.9272637430508007,2,18.665349000002607,0,0,0,cuda,,,,,,0.22728036956442654,0.1851902590482161,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,20,1.0,0.0,0.0009925558312655087,1067.9253653904316,250.26211315900807,53.22208104825869,1e-06,143.5765670336417,70.9577438437465,143.5765670336417,0.10403773394120495,0.0,0.0,0.9210937020852316,2,9.758836000173687,0,0,0,cuda,,,,,,0.22340442024117735,0.18260880584127384,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,25,1.0,0.0,0.0009900990099009901,1046.3399919312506,223.0840814784414,40.162130517007775,1e-06,114.93904245315463,50.38274042225733,114.93904245315463,0.1002163213710723,0.0,0.0,0.8880282507661312,2,13.381658000071184,0,0,0,cuda,,,,,,0.2188888726199495,0.17958066361657501,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,30,1.0,0.0,0.0009876543209876543,1015.8700080069839,205.67858566780026,35.86858141059812,1e-06,70.56428269924672,26.243252470445842,70.56428269924672,0.09331168862390946,0.0,0.0,0.5674966375076298,2,12.965823000058663,0,0,0,cuda,,,,,,0.21251471079744225,0.17526773811896795,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,35,1.0,0.0,0.0009852216748768474,973.9497589999346,194.45409815434755,31.33093844791805,1e-06,44.24075460193795,23.672979967324682,44.24075460193795,0.08624593207693661,0.0,0.0,0.37792801710828144,2,9.257815999944796,0,0,0,cuda,,,,,,0.20374521320023728,0.16925941716400847,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,40,1.0,0.0,0.0009828009828009828,938.6180369373797,187.73091987933674,32.81001236099331,1e-06,44.504404390122794,46.60055552514173,44.504404390122794,0.08225580204208151,0.0,0.0,0.6377939889999497,2,10.649928000020736,0,0,0,cuda,,,,,,0.19635400109936005,0.16412700665432253,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,45,1.0,0.0,0.000980392156862745,913.9387342606587,179.00416046067105,26.78908263589761,1e-06,36.96631274678558,31.471864175879784,36.96631274678558,0.07838927187628324,0.0,0.0,0.6362362178406686,2,9.420746999921903,0,0,0,cuda,,,,,,0.1911912196118788,0.1605042217102422,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,50,1.0,0.0,0.00097799511002445,902.0853591480936,172.71758934626166,25.284007617708202,1e-06,28.348392910323533,24.399466953605305,28.348392910323533,0.06991884525769287,0.0,0.0,0.3688948082227887,2,9.647721999954229,0,0,0,cuda,,,,,,0.1887115553200248,0.1587530250509089,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,55,1.0,0.0,0.0009756097560975611,892.130208039961,168.32102817642138,21.471940234602755,1e-06,26.83907052053308,20.21507556544099,26.83907052053308,0.06024183681331299,0.0,0.0,0.200362121749706,2,9.210571000039636,0,0,0,cuda,,,,,,0.18662898959604968,0.15727661403214296,FPTO,2.0,64,FPTO
