task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,fplg,22,0,0.0,0,1.0,0.0,0.0005,78.21208114616843,396.90962818638894,125.12320543011859,1e-06,20.24070183311046,6.227394115255155,20.24070183311046,0.010120350916555217,0.0,0.0,0.8864229081335182,2,9.150785999963773,0,0,0,cuda,,,,,,0.0757826996405097,0.08199662526446184,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,5,1.0,0.0,0.0004987531172069826,77.47482845584807,395.83332906856356,124.82785853320412,1e-06,21.41727456035415,6.702956129097786,21.41727456035415,0.010681932449054438,0.0,0.0,0.8831124930061746,2,14.574863999996523,0,0,0,cuda,,,,,,0.07506834709585243,0.08116096671591788,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,10,1.0,0.0,0.0004975124378109454,76.72774357206993,394.6263054114546,124.49008338904596,1e-06,22.7657603611595,7.337519351083418,22.7657603611595,0.011326248935900238,0.0,0.0,0.8805002648271161,2,11.815677999948093,0,0,0,cuda,,,,,,0.0743444677600307,0.08031547932320622,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,15,1.0,0.0,0.0004962779156327543,75.95280337184113,393.25724922986427,124.09415064250163,1e-06,24.38533189162205,8.222710262478914,24.38533189162205,0.012101901683187113,0.0,0.0,0.8756629920003025,2,12.148515000035331,0,0,0,cuda,,,,,,0.07359359833458295,0.07943986375988168,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,20,0.2182178902359924,0.0,0.0004950495049504951,75.45745698322526,392.3308081864043,123.81712358815398,0.00570802604207695,25.552483619007855,8.85623450530577,0.2956177420165646,0.00014634541683904831,0.5020951055198539,0.7674585234621714,0.8740924524281606,2,30.60554000001048,0,0,0,cuda,0.0004203445591470577,0.25364861567710845,0.01032568717011394,603.4302339770963,1.086421671400335,0.07311363812848216,0.07888090831421354,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,25,0.19611613513818404,0.0,0.0004938271604938272,75.44240253071303,392.3140002634353,123.81109456895953,0.005708306670039778,25.576220220850455,8.8766542993591,0.2789695238484575,0.0001377627278255127,0.5022016754054941,0.7675799855376203,0.8737375385166365,2,28.58165400004964,0,0,0,cuda,0.00041999236554156344,0.25364318231326505,0.010321249931245644,603.9233165255332,1.0759654328927604,0.07309905128925902,0.07886392973373806,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,30,0.1796053020267749,0.0,0.0004926108374384237,75.42786814493707,392.2982667028731,123.80537810172187,0.005712061848197248,25.59962220543127,8.89395306087584,0.2665340972100371,0.00013129758483160204,0.5024455967587338,0.7679105741081754,0.8736402726293765,2,30.88009600003261,0,0,0,cuda,0.0004196626996285038,0.25363809614455896,0.01031709494754505,604.3856086544882,1.0683855023806699,0.0730849683627395,0.07884753819737453,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,35,0.16666666666666666,0.0,0.0004914004914004914,75.41374139042478,392.28336775364636,123.79990468575963,0.005713894868153807,25.62124247227115,8.910326138022969,0.25674129125186007,0.00012616279668300573,0.5026712699715354,0.76819453579048,0.8735772816441397,2,31.621277999988706,0,0,0,cuda,0.00041935060813426997,0.2536332796856072,0.010313160043325652,604.8239224310306,1.0625867788175318,0.0730712804058611,0.07883160685522375,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,40,0.15617376188860607,0.0,0.0004901960784313725,75.39995027139787,392.26914381815305,123.79462654251287,0.005714243890514111,25.642960075383495,8.924803818996159,0.24878302852144818,0.0001219524649605078,0.5028897348687698,0.7682016022623936,0.8736042291382057,2,27.705013000058898,0,0,0,cuda,0.0004190528036988105,0.2536286813564284,0.010309403960503418,605.2427739839707,1.057976810539137,0.07305791765913953,0.07881605447736513,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,45,0.14744195615489714,0.0,0.000488997555012225,75.38644336992229,392.25548202612305,123.78951418640301,0.005714962805368467,25.662768394810104,8.937024140893106,0.24217097437697419,0.00011842101436425995,0.5030729381063903,0.7682815630763462,0.8736578659416551,2,38.59306900005777,0,0,0,cuda,0.00041876691637935667,0.2536242646791009,0.01030579697251255,605.6454193467023,1.054204644560675,0.07304483030175692,0.07880082304901068,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,50,0.14002800840280097,0.0,0.00048780487804878054,75.37317986532571,392.24229815624676,123.78454233765648,0.005716366636923579,25.681767827179623,8.949306145978843,0.2365835597663586,0.00011540661451914951,0.5032207755009724,0.7683831781164335,0.873684526088205,2,28.721132999976362,0,0,0,cuda,0.00041849116907463754,0.253620002434782,0.01030231679379179,606.0342993511271,1.0510479692557158,0.07303197878099064,0.07878586651236355,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,22,0,0.0,55,0.1336306209562122,0.0,0.00048661800486618,75.36012933458017,392.229527483485,123.77969235794043,0.005715767658222083,25.70144497466901,8.958309606969639,0.23175150948300954,0.00011277445716829302,0.5034347236769877,0.7683476644855362,0.8738598868373406,2,27.21703199995318,0,0,0,cuda,0.0004182242484725774,0.25361587370563216,0.010298946945258729,606.411212721114,1.0483584959303862,0.07301933361879645,0.07877115053958268,FDFL-Scal,0.5,64,FPLG
