task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,fplg,33,0,0.0,,,,73.36323508739679,104.92715405594512,390.2434395227479,4.311037344000056,140,2.0,1659.6941779999952,11.328157999969335,0,0,6.539414997913882,0.2604865110765354,0.2986292427782835,27.88581224610976,0.4574029768250769,0.6347170223649451,0.8733852224976036,6.579121249974094,cuda,,0.07102388917585396,,,,0.0764539457455421,4.311037344000056,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,33,1,0.5,,,,65.66178497860642,97.87280158529653,372.9710803681952,4.13210815900004,140,2.0,1608.4195860000818,11.900162999950226,0,0,12.305923158035078,0.3706239600471848,0.4264080389526336,64.67419426475145,0.45375152129032587,0.6073373993994352,0.8912175026935892,6.636209413752286,cuda,,0.06356801651199888,,,,0.06788321803706676,8.443145503000096,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,33,2,1.0,,,,65.02146375090433,41.35872336839841,250.9683558843969,4.672917154000061,140,2.0,1828.8334979999945,17.654379999953562,0,0,36.466979817635455,0.31615613106696944,0.3742514291832615,183.53382885093225,-0.11314965817293231,-0.11283104523151954,0.881192852433544,6.978620618997643,cuda,,0.06294811331581238,,,,0.06717676385942503,13.116062657000157,FDFL-Scal,0.5,64,FPLG
medical_resource_allocation,fplg,33,3,5.0,,,,58.53785549159045,30.35397106072409,182.34324800397314,4.4569886179999685,140,2.0,1706.7378549996874,11.591427999974258,0,0,35.961706909173586,0.5123690925962088,0.5153542344580322,380.2833495795578,0.18745207430448557,0.22438143259563953,-0.0017001295569648912,7.3020227413067005,cuda,,0.056671248971967896,,,,0.06007582076790093,17.573051275000125,FDFL-Scal,0.5,64,FPLG
