method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fplg,0.5,0.1275,0.00196,25.10998,1.06411,0.12316,19.68405,0.00433,70.0
pcgrad,0.0,0.1282,0.00189,27.38598,2.87053,0.12373,17.58863,0.00447,70.0
fdfl-scal,0.0,0.13065,0.00194,22.8757,1.1806,0.12811,19.16442,0.00254,70.0
mgda,0.0,0.13093,0.00135,27.73391,1.79061,0.12877,18.45925,0.00216,70.0
wdro,0.0,0.14986,0.00236,21.00808,0.85084,0.14968,18.13449,0.00018,70.0
fpto,0.5,0.15222,0.00249,22.09557,0.79865,0.15225,16.51674,-2e-05,70.0
saa,0.0,0.27948,0.00241,58.4983,3.64693,0.27969,54.26639,-0.00021,0.0
