task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,44,0,0.0,1,1,150,val_regret,611.2764375484967,17.45573407263896,121.21857972533101,39.287926692477185,21.512961672689414,127.07647578452206,966.6378764051842,22.574795241070458,124.06879590389386,5.358220799999799,300,6.0,765.5992000009064,12.139599999500206,0,0,39.225145025673655,12.945731894473015,29.362784915906126,120.14646841901379,0.0,0.0,0.3352027683833368,7.679113956063732,cpu,0.1416739322176983,0.14018488852639702,0.13983595430178697,0.12409316549997519,0.12294926019198116,0.12268077153913283,4.109800000151154,1.500599999417318,6.529199999931734,5.358220799999799
medical_resource_allocation,fpto,44,1,0.5,1,1,150,val_regret,618.0264725647276,12.207330881962939,120.64999136904343,39.579301818251906,20.742849839972916,127.18828812356432,977.7309211393322,21.378611895972156,124.07978754101295,5.351369099999829,300,6.0,752.2210000061023,16.834299999572977,0,0,40.20332081484074,11.98885822953423,29.06729849096199,143.65263899072235,0.0,0.0,0.018590769969919853,7.7093815665644385,cpu,0.14272464329599083,0.14179363703236084,0.14138009624818784,0.12489854326089125,0.12418499493559719,0.1238676727524127,6.4131999997698586,1.5187999997579027,8.902300000045216,10.709589899999628
medical_resource_allocation,fpto,44,2,1.0,1,1,150,val_regret,630.9153604359872,7.713264023032611,121.69977082802946,40.29149425645727,19.657941899112508,129.05664338316933,998.6969177001838,20.380667899366532,125.90352631921333,5.407883599999877,300,6.0,780.8148999984041,15.726000000540807,0,0,41.53095115043247,12.62488137852457,29.22039252773832,169.7235050012083,0.0,0.0,-0.2037616887340584,7.746115744009711,cpu,0.14529283947508786,0.14483419230385303,0.14432856575339975,0.12686086428487467,0.1265110644646192,0.12612510958194698,3.8597000002482673,1.5040999996926985,10.362200000599842,16.117473499999505
medical_resource_allocation,fpto,44,3,2.0,1,1,150,val_regret,652.0702523506334,1.7261638642086463,124.98052277751134,41.577337850386016,17.63036477123576,135.96508608180756,1034.1286395278075,18.164879836159074,132.34265567033353,5.359470700000202,300,6.0,751.9730000039999,16.38329999968846,0,0,52.0560702316831,18.81049904925676,35.58943695760678,224.75691094626984,0.0,0.0,-0.3905377978126196,7.799628411236308,cpu,0.14992964608478113,0.14997261290162167,0.1491679711636582,0.13038158168654365,0.13041407353450737,0.1298051937634577,3.962599999795202,1.4976000002207002,10.923099999672559,21.476944199999707
medical_resource_allocation,fdfl-scal,44,0,0.0,1,1,130,val_regret,556.9682687802833,17.9107509217557,116.11804940160205,36.824290346656596,22.27269562190013,123.07139452996225,902.3010019068615,22.79920593686574,120.27002864310843,6.6360422999996445,300,6.0,1784.3795000007958,16.20439999987866,0,0,42.83960527601682,9.250701595694888,13.390440070179906,343.01653947446493,-0.5685777073652948,-0.2573872351997424,0.3827766469923456,7.741942612943327,cpu,0.13278995492363363,0.1308545510754945,0.127412385946131,0.11722381042175255,0.11571298090549827,0.11301311528452457,5.727099999603524,2.5911000002452056,7.88620000002993,6.6360422999996445
medical_resource_allocation,fdfl-scal,44,1,0.5,1,1,100,val_regret,561.584872743615,14.377295526379267,116.8082138903166,36.93462369995166,21.684440680671415,123.7154852706999,905.9151388675709,22.26789682529994,120.73548293368727,6.767687999999907,300,6.0,1877.8647999988607,13.230000000476139,0,0,43.87030273840299,9.993958125071039,14.264344541955968,366.0811667442266,-0.5171193826710431,-0.27899182719241206,0.10717548357510429,7.74521519448004,cpu,0.13318782168149107,0.13137868467228708,0.12846848296082197,0.11753375665814966,0.11612264439146824,0.1138432175117133,3.884200000356941,2.4846000005709357,6.861199999548262,13.403730299999552
medical_resource_allocation,fdfl-scal,44,2,1.0,1,1,100,val_regret,564.7105043000556,11.24013932816907,116.95802378277286,37.11601708695042,21.296809647682906,124.43250180622037,911.0121125509677,21.718649589198982,121.1453586462844,6.797320499999842,300,6.0,1875.6332999992082,19.131299999571638,0,0,45.25569826554625,11.328584322353208,15.648086209385255,395.0523205180169,-0.4113583878741382,-0.29797108231608377,-0.12269167004058955,7.766393890015783,cpu,0.1338419339388152,0.13211786395034947,0.12918350425829506,0.11804285053549415,0.116699743160438,0.11440434948892504,6.24470000002475,1.6466999995827791,11.23989999996411,20.201050799999393
medical_resource_allocation,fdfl-scal,44,3,2.0,1,1,70,val_regret,577.2413212700512,7.869751657701142,119.61401006007628,37.56987321960486,20.941270293918528,127.20181546801045,925.1763648256501,20.96459685844766,123.85091445928006,6.75033699999949,300,6.0,1838.761700001669,16.61950000016077,0,0,49.01855777776462,15.470369789782916,19.138127188466633,452.54520999221575,-0.20284583405729212,-0.3077384855674715,-0.42585599250538053,7.781889905423761,cpu,0.13547855842851075,0.13417200870781584,0.1320500612553351,0.11931406139100637,0.1182995239502345,0.11664683901779418,4.083499999978812,1.5654999997423147,10.970500000439642,26.951387799998884
medical_resource_allocation,fplg,44,0,0.0,1,1,150,val_regret,542.6297357831618,21.737760594535075,124.01366314494545,36.040809065654514,25.34568580028546,127.91906728111515,879.0575395615506,25.65981213563691,126.02452596901078,6.78844460000073,300,6.0,1851.1187999929462,11.5300000006755,0,0,36.62566947023117,7.703163760988862,15.567347113660507,166.50118561614107,-0.2747402379254882,-0.19742988681589987,0.471083676582284,7.659231595281388,cpu,0.12996468814976292,0.12748371049767393,0.12413229477660825,0.11501659256500385,0.11306922602136958,0.11042498765794846,3.6080999998375773,1.4988000002631452,6.423100000574777,6.78844460000073
medical_resource_allocation,fplg,44,1,0.5,1,1,150,val_regret,529.7816559796356,18.76887378204842,121.46945765598426,35.92117515256251,24.732871505161736,127.40011213772853,877.1068778530689,25.474643256325837,124.82999675114468,6.768715400000474,300,6.0,1827.3603999950865,18.815199999153265,0,0,8.654919793826183,6.133442988216314,7.191458812622235,70.11817623377216,-0.8277206648711414,-0.6174397734292034,0.5210876041704514,7.731308531479437,cpu,0.12953328317828144,0.1272008193542261,0.12119316054876708,0.11467858903086114,0.11284663492978965,0.10809302519242019,6.398100000296836,1.5129999992495868,10.904099999606842,13.557160000001204
