method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
pcgrad,0.0,0.06017,0.00187,1.34205,0.40894,0.05962,1.57193,0.00055
fpto,0.0,0.06024,0.00207,1.3792,0.39747,0.05971,1.60982,0.00053
wdro,0.0,0.06056,0.00178,0.43541,0.20666,0.05991,0.66197,0.00065
fplg,5.0,0.07463,0.00137,2.33547,0.00418,0.07467,2.54331,-4e-05
fdfl-scal,5.0,0.07482,0.00142,2.33577,0.00432,0.07485,2.54355,-4e-05
saa,0.0,0.07517,0.0,2.33812,0.0,0.07525,2.54601,-8e-05
mgda,0.0,0.07568,0.00149,2.33842,0.00404,0.07571,2.54608,-2e-05
