task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_true,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fplg,44,0,0.0,0,1.0,0.0,0.001,0.0,7.020760640560051,2.4399791054767883,1e-06,0.4972267247364474,0.5085238504884344,0.4972267247364474,0.0004972267247354397,0.0,0.0,0.4144221762640849,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,0,0.0,5,1.0,0.0,0.0009975062344139652,0.0,3.6351500090528104,1.1209798581289923,1e-06,0.3738732353720027,0.331604365990383,0.3738732353720027,0.0003729408831627642,0.0,0.0,0.5163969905258563,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,0,0.0,10,0.30151134457776363,0.0,0.0009950248756218907,0.0,4.971215837874582,0.858953004246934,43.33927874352422,0.38218369171535893,0.34566100780252335,3.441733954603204,0.0034246109001025474,0.2660414299289608,0.07478178619537933,0.3624684577109313,96,489.33795300013117,0,0,0,cpu,19.26908309127529,0.085356429921158,1.2824742260667112,0.004429708954849332,1.0861792964257446,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,0,0.0,15,0.25,0.0,0.0009925558312655087,0.0,9.457631258033734,1.5322429040420602,66.56758836345284,0.5507359719832008,0.5643643940172193,4.61408181990075,0.0045797338162785525,-0.04485455827886256,-0.028944115425893077,0.21904531016826873,96,463.21059299998524,0,0,0,cpu,26.390674299578173,0.12154533287603289,1.7909950565440418,0.004605616798430029,1.0551427078315394,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,0,0.0,20,0.2182178902359924,0.0,0.0009900990099009901,0.0,5.626740542414251,0.43753637363295395,52.025552396034115,0.49540683863017565,0.48367896529214177,4.162691749608287,0.004121476979810069,0.3075536119955483,-0.3372198796253984,-0.0869368701185387,96,464.1158029999133,0,0,0,cpu,18.2667964854467,0.09064578357422035,1.2867820642261574,0.00496232514805968,1.053892384450812,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,0,0.0,25,0.19611613513818404,0.0,0.0009876543209876543,0.0,7.091127214609723,0.47965958944562126,40.59367178209429,0.4741816679141908,0.43614439853558234,3.125890818645362,0.0030872995739705607,-0.06114198915114648,0.0236519574548574,0.2336691152047006,96,486.33858800008056,0,0,0,cpu,19.22435801580368,0.10647599473455432,1.4307105377629328,0.005538598201668118,1.0230353587965326,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,0,0.0,30,0.1796053020267749,0.0,0.0009852216748768474,0.0,6.1141637201880865,0.5810054807556897,64.58289524288367,0.508417323311435,0.49095618899743726,4.579309757471657,0.00451163522903601,0.3437462241539656,-0.16604001188835932,-0.06774069866318412,96,748.5957700000654,0,0,0,cpu,24.703717789883083,0.09672079346393454,1.5457565093334096,0.003915232285544673,1.036166572650903,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,0,0.0,35,0.16666666666666666,0.0,0.0009828009828009828,0.0,4.237983604166189,0.9268228501449902,36.36608601581878,0.3817216718936626,0.34979010665095533,2.395660490669736,0.0023544574846874936,-0.27805481081424743,0.08840202935167824,0.3832750535310042,96,486.37910100001136,0,0,0,cpu,16.190130942720632,0.07958236743096003,1.1350986518531985,0.004915486336244962,1.0256590337099307,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,1,0.5,0,1.0,0.5,0.001,0.0,5.23817035449999,0.0011368824997913737,1e-06,0.3686421464390916,0.1664045360634953,0.3853264347504275,0.00038532643474913054,0.0,0.0,0.09221500240421629,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
md_knapsack,fplg,44,1,0.5,5,1.0,0.5,0.0009975062344139652,0.0,5.575476570075757,1.704965065975815,1e-06,0.5009924232972862,0.4552158478997312,0.6415626037224272,0.000639962696979205,0.0,0.0,0.4770847442833322,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,FDFL-Scal,2.0,medium,0.3,0.6,FPLG
