task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,22,0,0.0,0,0,70,,49.24186488839382,1.8049303256613856,138.02466314744325,,,,49.23482740637621,1.7815794599246837,137.71154253758803,3.0705478999998377,140,4.0,457.25130000028,12.372399999549089,0,0,53.915380195361614,20.30325474237973,44.13762510585115,123.60526150707057,0.0,0.0,-0.34442521346896454,7.610838621452159,cpu,,0.049580484422528354,0.04954437650891364,,,,,0.05216694692175321,0.0521269749837808,7.502099999328493,0.0,4.870300000220595,3.0705478999998377
medical_resource_allocation,fpto,22,1,0.5,0,0,70,,49.26866989701182,1.7696696756241308,138.02246595829564,,,,49.2615419885102,1.7482607068218543,137.7009392908621,3.1249186000004556,140,4.0,478.6316999943665,15.274000000317756,0,0,53.87059603767368,20.315580092306973,44.12290901819647,123.10385045401206,0.0,0.0,-0.35644651170241065,7.6104796118716695,cpu,,0.049607386556507954,0.04957134619095766,,,,,0.052196729914355006,0.0521568304914736,8.072800000263669,0.0,7.201200000054087,6.195466500000293
medical_resource_allocation,fpto,22,2,1.0,0,0,70,,49.29948114058345,1.7346628489709326,138.03488621498568,,,,49.29254631141873,1.7152003933931963,137.7067857131948,3.087080799999967,140,4.0,458.12280000336614,12.00449999942066,0,0,53.82762485224488,20.32793670922349,44.115523635505994,122.58352460237566,0.0,0.0,-0.3682538623432514,7.610179570172666,cpu,,0.0496386085477279,0.0496023467197898,,,,,0.05223129747713535,0.05219115025020512,6.9280999996408354,0.0,5.076399999779824,9.28254730000026
medical_resource_allocation,fpto,22,3,2.0,0,0,70,,49.36945832681613,1.6651623263037858,138.09773467284145,,,,49.36350346872052,1.649581962792383,137.7569308633333,3.0843565000004673,140,4.0,459.66649999718356,12.970200000381737,0,0,53.746967937702806,20.35274351608538,44.113746922774624,121.527620653794,0.0,0.0,-0.3910665777134216,7.609700153184557,cpu,,0.049710063865388114,0.049672753802657274,,,,,0.052310418089439294,0.05226910414430268,7.41440000001603,0.0,5.555800000365707,12.366903800000728
medical_resource_allocation,fdfl-scal,22,0,0.0,0,0,70,,74.38226080570564,0.0010033852759435647,397.8970950945863,,,,74.85897928209545,0.0010815649383081629,395.24526530341774,3.7594826000004105,140,4.0,978.5373000013351,16.42809999975725,0,0,0.6178991012633633,0.6130838171929724,0.61784061910436,0.6229093139114555,0.528711023988152,0.8295260670516483,0.40869070388485723,6.654613457150937,cpu,,0.07538453269162143,0.07483921949939568,,,,,0.08153068530323332,0.08089320372930227,8.183400000234542,0.0,8.244699999522709,3.7594826000004105
medical_resource_allocation,fdfl-scal,22,1,0.5,0,0,70,,74.35780048190679,0.0010135942118396322,397.88611639541915,,,,74.83376666059769,0.0011150883613065834,395.2342881287802,3.6990546999995786,140,4.0,989.2877000020235,13.024400000176684,0,0,0.6268770793778511,0.6203013943509056,0.628256652513087,0.6291593022337904,0.5286936421632851,0.7258442515162995,0.35709190658471396,6.6546151425057705,cpu,,0.075359143062912,0.07481460890646695,,,,,0.08150098765107823,0.08086445119722328,4.853200000070501,0.0,8.171200000106182,7.458537299999989
medical_resource_allocation,fdfl-scal,22,2,1.0,0,0,70,,74.33715899695437,0.0010274084220620741,397.8768332059564,,,,74.8124869433799,0.001147177876434256,395.2250067244658,3.6975807999997414,140,4.0,977.6069000035932,16.209299999900395,0,0,0.634837921277026,0.6151379489232167,0.6382337009334795,0.6440676663578805,0.5286860829084676,0.6480802697835094,0.31838273791501664,6.65461702183232,cpu,,0.07533771394974939,0.07479384061297312,,,,,0.0814759237900346,0.08084018880994694,7.998699999916425,0.0,8.21059999998397,11.15611809999973
medical_resource_allocation,fdfl-scal,22,3,2.0,0,0,70,,74.30606381475161,0.0010568250293676515,397.8628401580214,,,,74.78041577725423,0.0012015210769823848,395.21101416706273,3.719825000000128,140,4.0,989.3946999973195,13.413900000159629,0,0,0.6478800517557103,0.6004356002661027,0.6540487328687381,0.6782640930666118,0.52864640621979,0.5184488826174455,0.2537667516898254,6.654620623256429,cpu,,0.07530541762545478,0.07476255440116618,,,,,0.0814381516457858,0.08080364100782607,7.265000000188593,0.0,6.148899999971036,14.875943099999859
medical_resource_allocation,fplg,22,0,0.0,0,0,70,,74.68798585796765,0.0011825357422161821,398.4386710172104,,,,75.18040355280698,0.0010719922032829511,395.78275974173766,3.7128578000001653,140,4.0,983.2561000002897,9.441799999876821,0,0,0.25850605808007526,0.19606707392613812,0.22928148207494514,0.6130838171929724,0.5307774972063745,0.9072798846739616,0.444565946494515,6.654577083353138,cpu,,0.07570821354695376,0.07514682273765252,,,,,0.08190943017841014,0.0812527053862692,4.811800000425137,0.0,4.629999999451684,3.7128578000001653
medical_resource_allocation,fplg,22,1,0.5,0,0,70,,74.32037554267811,0.001034979792447529,398.094677500179,,,,74.80070809473057,0.001140202421382771,395.4410736628185,3.743404400000145,140,4.0,1010.6432000020504,16.328400000020338,0,0,0.2593684271022101,0.19661171717180354,0.22995661978676218,0.6161620804829153,0.5287976457055733,0.31110176823370717,0.153959733690561,6.654572377046842,cpu,,0.07532585240675761,0.07477695405151433,,,,,0.08146205082386809,0.08082046202692375,8.48760000008042,0.0,7.840799999939918,7.45626220000031
