task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,solver_calls_fd_train,decision_ms_fd_train,nan_or_inf_steps,nan_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,config_name,alpha_fair
medical_resource_allocation,saa,11,0,0.0,106399.49068707904,73.33157861100281,240.42746975568969,126287.19300357798,49.86278284228911,248.6879241134157,1.2159998732386157e-06,0,4.0,0.0,10.884856000302534,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.582968129809419,cuda,0.6578974643183647,0.6630873269854505,1.9231002278527742,1.9681281830464568,1.2159998732386157e-06,SAA,0.1
medical_resource_allocation,saa,22,0,0.0,106399.49068707904,73.33157861100281,240.42746975568969,126287.19300357798,49.86278284228911,248.6879241134157,1.1800002539530396e-06,0,4.0,0.0,10.905526000897225,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.654704960932375,cuda,0.6578974643183647,0.6630873269854505,1.9231002278527742,1.9681281830464568,1.1800002539530396e-06,SAA,0.1
medical_resource_allocation,saa,33,0,0.0,106399.49068707904,73.33157861100281,240.42746975568969,126287.19300357798,49.86278284228911,248.6879241134157,8.619999789516442e-07,0,4.0,0.0,10.651481999957468,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.570182506684126,cuda,0.6578974643183647,0.6630873269854505,1.9231002278527742,1.9681281830464568,8.619999789516442e-07,SAA,0.1
medical_resource_allocation,wdro,11,0,0.0,60424.125901225314,41.06209074946271,200.82644203073315,77540.56602609757,34.021363660551586,203.38355700042638,3.3702749160001986,140,4.0,641.9360650033923,13.863776000107464,0,0.0,0,0,0,71.29484149990091,23.25712367819556,55.182574692677775,149.05792365948938,0.0,0.0,0.0,7.183901076427254,cuda,0.3736190742771786,0.407136823903649,0.5964726238207771,0.6867298228646975,3.3702749160001986,WDRO,0.1
medical_resource_allocation,wdro,22,0,0.0,65129.47881133629,42.91525374076814,199.46406957475517,89556.13484090398,31.638330709100323,201.9026060074141,3.104074952000701,140,4.0,643.6380690001897,14.762632000383746,0,0.0,0,0,0,71.00788946042385,23.40855963453317,52.85997814962126,151.21866308147813,0.0,0.0,0.0,7.243684193299224,cuda,0.4027135720825236,0.47022613025472126,0.6742386119280183,0.8875978169342541,3.104074952000701,WDRO,0.1
medical_resource_allocation,wdro,33,0,0.0,73756.06301957546,37.63633125297684,191.02312253029424,71139.90416692945,33.17195150402106,193.18050306396762,3.110157129000072,140,4.0,638.5834359971341,14.842440000393253,0,0.0,0,0,0,75.07949614209778,25.91273376812604,69.52045259751665,147.92014465612246,0.0,0.0,0.0,7.228113877325396,cuda,0.45605412700135095,0.3735293165848882,0.8384182133549961,0.5962438889377052,3.110157129000072,WDRO,0.1
medical_resource_allocation,fpto,11,0,0.0,69800.46530270352,84.9105377401344,279.9188809567283,100907.92392965165,60.45424818914279,284.29147174526867,3.816038861999914,140,4.0,750.5383260013332,15.164556999479828,0,0.0,0,0,0,49.07408117771438,20.074414216546376,37.22057890031031,118.60720505332745,0.0,0.0,0.878227214799259,6.907458639360537,cuda,0.4315955728204183,0.529830174848119,0.7593107164242056,1.1268910646849057,3.816038861999914,PTO,0.1
medical_resource_allocation,fpto,22,0,0.0,65301.55175296411,91.86639489172136,287.623902313621,110963.51081493706,64.07855563797105,292.64063004192053,3.1169586750002054,140,4.0,650.1129830021455,14.222662000065611,0,0.0,0,0,0,47.79187513298839,20.312846362724432,36.43552225184712,116.63791557263293,0.0,0.0,0.8685892620110963,6.9614440286876595,cuda,0.4037775466489779,0.5826283412373661,0.6772263345326522,1.3959461046412744,3.1169586750002054,PTO,0.1
medical_resource_allocation,fpto,33,0,0.0,79313.8193436809,62.7309731471796,242.67598315319825,87602.95280092908,44.292420387369624,245.47866015948867,3.1247837929995512,140,4.0,649.6562450020065,14.393770999959088,0,0.0,0,0,0,57.25654137739031,22.13710375791305,43.71222466237744,122.20649000360567,0.0,0.0,0.881339442346976,7.003163015101788,cuda,0.4904192707564268,0.4599706939970934,0.9623975998551005,0.8517513566099276,3.1247837929995512,PTO,0.1
medical_resource_allocation,dfl,11,0,0.0,68781.11042878142,140.33519434600052,384.8598400668994,94713.97869618534,105.15804889785699,394.16220714722124,4.305828862999988,140,4.0,1545.4821619996437,14.386941001248488,0,0.0,0,0,0,15.362150494131164,2.085339046885346,3.8191213889966487,448.0418772380388,0.0,0.0,0.0,6.608378591942964,cuda,0.42529261984138345,0.49730806005032574,0.7400159359777226,0.9892899020822026,4.305828862999988,DFL,0.1
