method,"MAD, α=0.5","MAD, α=2.0","DP, α=0.5","DP, α=2.0","Atkinson, α=0.5","Atkinson, α=2.0","BiasParity, α=0.5","BiasParity, α=2.0"
FPTO,22.096 ± 0.799,22.096 ± 0.799,1.750 ± 0.089,1.750 ± 0.089,0.0057 ± 0.0005,0.0057 ± 0.0005,0.6443 ± 0.0408,0.6443 ± 0.0408
FDFL-Scal,112.172 ± 6.972,22.876 ± 1.181,0.0033 ± 0.0029,1.732 ± 0.137,0.0153 ± 0.0014,0.0069 ± 0.0006,2.523 ± 0.066,0.7298 ± 0.0939
FPLG,119.309 ± 5.595,25.110 ± 1.064,0.0058 ± 0.0040,1.900 ± 0.135,0.0152 ± 0.0014,0.0079 ± 0.0006,2.521 ± 0.066,0.5613 ± 0.0951
PCGrad,21.282 ± 0.579,27.386 ± 2.871,0.1344 ± 0.0949,0.5530 ± 0.3971,0.0057 ± 0.0005,0.0087 ± 0.0019,0.2907 ± 0.0948,0.3719 ± 0.1988
MGDA,120.002 ± 5.616,27.734 ± 1.791,0.0030 ± 0.0020,0.3029 ± 0.0541,0.0153 ± 0.0014,0.0128 ± 0.0010,2.527 ± 0.066,2.170 ± 0.062
SAA,58.498 ± 3.647,58.498 ± 3.647,0.0010 ± 0.0000,0.0010 ± 0.0000,0.0100 ± 0.0012,0.0100 ± 0.0012,2.526 ± 0.067,2.526 ± 0.067
WDRO,21.008 ± 0.851,21.008 ± 0.851,1.592 ± 0.095,1.592 ± 0.095,0.0051 ± 0.0005,0.0051 ± 0.0005,0.9346 ± 0.0550,0.9346 ± 0.0550
