method,"MAD, α=0.5","MAD, α=2.0","DP, α=0.5","DP, α=2.0","Atkinson, α=0.5","Atkinson, α=2.0","BiasParity, α=0.5","BiasParity, α=2.0"
FPTO,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0
FDFL-Scal,0.5,0.0,0.0,0.0,2.0,0.0,2.0,2.0
FPLG,2.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0
PCGrad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
