task,method,seed,stage_idx,lambda,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,11,0,0.0,61.579914307767694,0.5921325341623255,287.53228091079495,,,,62.10729608302745,0.6313936626395626,286.99345602906965,2.292836000000534,140,4.0,305.08199997711927,7.5853000016650185,0,0,48.39591643312566,20.013496820611348,36.88494939877047,116.58876091014149,0.0,0.0,-0.6427260577187605,6.900089806804138,cpu,,0.0601268702062824,0.059667152203154265,,,,,0.0639733899185723,0.06345322546473997,3.162000000884291,0.0,4.423300000780728,2.292836000000534
medical_resource_allocation,fpto,11,1,0.5,61.56855301692008,0.5807248226884723,288.5802441459197,,,,62.08781755792029,0.6197430316961302,288.0422136539528,2.2679293999972288,140,4.0,288.75539998261956,11.527399998158216,0,0,48.150261832271525,20.00140707318488,36.77038906748503,115.79958470193468,0.0,0.0,-0.642041247713309,6.897448541301562,cpu,,0.06010801279620674,0.05965614381059885,,,,,0.06395204301616601,0.06344077585868024,3.6117999989073724,0.0,7.915599999250844,4.560765399997763
medical_resource_allocation,fpto,11,2,1.0,61.55937876498547,0.5695190433624984,289.6195092636604,,,,62.07055272542675,0.6082881926615554,289.0823248659472,2.2653379999974277,140,4.0,298.3047000307124,12.669799994910136,0,0,47.906452178188964,19.989342321308044,36.65692310939984,114.9988759130755,0.0,0.0,-0.6413222103657663,6.894838389489276,cpu,,0.060091298490353134,0.0596472545243326,,,,,0.0639331228595253,0.06343072300401556,4.636699995899107,0.0,8.033099999011029,6.826103399995191
medical_resource_allocation,fpto,11,3,5.0,61.56013028669952,0.488058955843915,297.4879025171872,,,,62.00704424482251,0.5249443408822824,296.96635254102006,2.296185899998818,140,4.0,293.63849998480873,11.176200008776505,0,0,46.05142896943007,19.893729583463735,35.77783678011681,108.83137102888305,0.0,0.0,-0.6355646560981247,6.875147515887845,cpu,,0.060029815115433954,0.05964798270268427,,,,,0.06386353107870754,0.06343154649055756,3.2552000047871843,0.0,7.92100000398932,9.122289299994009
medical_resource_allocation,fpto,22,0,0.0,58.882739662187646,0.5305412351772993,295.68427790815934,,,,59.220429551021084,0.5520920183614306,296.20649965899366,2.280609099994763,140,4.0,279.27069998986553,7.64770000387216,0,0,46.90110348270571,20.240701887503654,35.98343483875708,113.85844260149166,0.0,0.0,-0.5525129210335703,6.952142934388434,cpu,,0.0573320576766762,0.057053755742548715,,,,,0.06081893220572891,0.06050584122902705,3.2124999997904524,0.0,4.4352000040817074,2.280609099994763
medical_resource_allocation,fpto,22,1,0.5,58.92007637675738,0.5205445692406041,296.6109781725296,,,,59.251490961070886,0.5420718681960636,297.13184791608825,2.242616800001997,140,4.0,270.019699994009,7.683499999984633,0,0,46.68156141075885,20.251278858440205,35.890581185379254,113.00946663459108,0.0,0.0,-0.5517120218891285,6.949901800473143,cpu,,0.05736212862627915,0.057089932724216204,,,,,0.0608527732316594,0.06054653005154356,3.190099996572826,0.0,4.493400003411807,4.52322589999676
medical_resource_allocation,fpto,22,2,1.0,58.959540899488616,0.510827027380928,297.52059802865386,,,,59.28484405076483,0.5323344413988979,298.04011710867894,2.27265140000236,140,4.0,280.6860999626224,7.656000001588836,0,0,46.46578320605723,20.26187884646049,35.798936518595156,112.17317849595945,0.0,0.0,-0.5509384759038429,6.947695197436107,cpu,,0.05739441818034902,0.05712817142121505,,,,,0.0608891134185224,0.06058954111220591,3.235800002585165,0.0,4.420199999003671,6.79587729999912
medical_resource_allocation,fpto,22,3,5.0,59.34898450411288,0.439653896502252,304.3744745048895,,,,59.62435826580713,0.4607944195649085,304.8873859491084,2.256675600001472,140,4.0,292.19719999673543,13.896700002078433,0,0,44.82700527731467,20.347503032582313,35.092212588039544,105.83667990994101,0.0,0.0,-0.5445022783989542,6.931113612399605,cpu,,0.057723106248072115,0.05750551833851548,,,,,0.06125917618358666,0.06101416979878904,5.806100001791492,0.0,8.09060000028694,9.052552900000592
medical_resource_allocation,fpto,33,0,0.0,61.687080998321335,1.053603464343321,248.8598105481965,,,,62.361520381382434,1.0625162567906887,249.76366454914233,2.2559369999944465,140,4.0,293.1798000136041,11.428999998315703,0,0,56.14007797925653,22.03033246087981,42.88814641790771,120.99518107140136,0.0,0.0,-0.6740588315069539,6.989155539504016,cpu,,0.06037298801134735,0.059770990139732326,,,,,0.06425207794268524,0.06357067215849381,3.4201999951619655,0.0,8.008800003153738,2.2559369999944465
medical_resource_allocation,fpto,33,1,0.5,61.606577913091996,1.03315764203425,250.15545537909463,,,,62.27756885567737,1.0422947401904983,251.0485975806038,2.32979609999893,140,4.0,314.34229998558294,9.64110000495566,0,0,55.82920311852653,22.04702040993683,42.69804488614393,120.39847279830438,0.0,0.0,-0.6735261808361339,6.985434816859835,cpu,,0.06029171346217136,0.05969298759794255,,,,,0.06416003170973876,0.06348244436192609,5.895000002055895,0.0,3.746100002899766,4.5857330999933765
