method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
fpto,5.0,0.05983,0.00157,0.79969,0.33647,0.05935,0.77674,0.00048
wdro,0.0,0.06056,0.00178,1.90271,0.20666,0.05991,1.88405,0.00065
pcgrad,0.0,0.07006,0.00186,0.01545,0.00773,0.07023,0.00245,-0.00016
fplg,5.0,0.07463,0.00137,0.0037,0.00321,0.07467,0.00345,-4e-05
saa,0.0,0.07517,0.0,0.001,0.0,0.07525,0.001,-8e-05
fdfl-scal,1.0,0.07521,0.00137,0.00303,0.00241,0.07524,0.00274,-4e-05
mgda,0.0,0.07569,0.00149,0.00322,0.00216,0.07571,0.00285,-2e-05
