task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,val_decision_ms_eval,test_decision_ms_eval,test_decision_ms,test_decision_alloc_gap,test_decision_selection_gap,test_decision_welfare_gap,cumulative_wallclock_sec,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fpto,11,0,0.0,,,,0.14740965083181362,0.10651531397240935,0.5388010822670279,0.349671595000018,0,400.0,0.0,1944.592905999798,0,0,1.5429225178060848,0.8768828329322006,1.4581423142097454,3.4051881958658425,0.0,0.0,0.16917720944242182,16.32051622147218,cpu,,0.009639670846283149,,0.018924393601758776,,,0.0,1944.592905999798,1944.592905999798,0.19360625943070303,0.14041666666666666,0.1092967533500594,0.349671595000018,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,11,1,0.5,,,,0.15891382164053386,0.06987527575790026,0.5734911038074586,0.2597264820001328,0,400.0,0.0,1314.110238000012,0,0,2.142287460560972,1.217279045151642,1.991219425680955,5.41218046126298,0.0,0.0,0.2566002934154533,16.320308019151454,cpu,,0.010389230659105318,,0.020401450108070554,,,0.0,1314.110238000012,1314.110238000012,0.20448302121569756,0.15416666666666667,0.10019315387702277,0.6093980770001508,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,11,2,1.0,,,,0.18238861519080168,0.11131731319852439,0.6523944122546956,0.25425735399994664,0,400.0,0.0,1305.4826319998938,0,0,2.6591372216131113,1.3576901187679076,2.504087899816807,5.5219495995147145,0.0,0.0,0.23508757895365825,16.308052243285193,cpu,,0.01194742429934398,,0.023420515668498797,,,0.0,1305.4826319998938,1305.4826319998938,0.21795345768640656,0.15874999999999997,0.1196295236725915,0.8636554310000975,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,11,3,5.0,,,,0.2865725199909882,0.06711003659313852,1.06646107580067,0.2577555869997923,0,400.0,0.0,1276.589237999815,0,0,8.806836376813376,3.630838794194732,8.668956275192464,19.66775268339392,0.0,0.0,0.1790397185311537,16.292662469287464,cpu,,0.018899157245016996,,0.036776980111135546,,,0.0,1276.589237999815,1276.589237999815,0.1862864877447431,0.15291666666666667,0.05662371752681006,1.1214110179998897,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,22,0,0.0,,,,0.16850336517450637,0.04562073424372652,0.5871595145521491,0.256225084000107,0,400.0,0.0,1324.235180999949,0,0,1.9240471751281019,0.9703917435713766,1.7139404335007569,4.618572937471133,0.0,0.0,0.15894335520296174,16.33000274848702,cpu,,0.011134840585036254,,0.021876488240130776,,,0.0,1324.235180999949,1324.235180999949,0.17486400572683136,0.12666666666666665,0.0471293577343711,0.256225084000107,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,22,1,0.5,,,,0.18711033753583378,0.017062891812722865,0.645991542100777,0.25909393000029013,0,400.0,0.0,1315.4430220001814,0,0,2.2164185013397324,1.2119020176249555,1.9873676445260744,6.03770896835424,0.0,0.0,0.10006161451660256,16.32036921319503,cpu,,0.012346051927017921,,0.024227925763226014,,,0.0,1315.4430220001814,1315.4430220001814,0.17463202934999134,0.12375,0.04784624808043003,0.5153190140003971,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,22,2,1.0,,,,0.22953610861548526,0.00247334522440556,0.725158870909443,0.25563497500024823,0,400.0,0.0,1268.0807850001656,0,0,3.1632767402193496,1.2538045290476132,3.1319956040852137,5.989955600571881,0.0,0.0,0.12118224847779795,16.314732072014714,cpu,,0.015195842855678482,,0.02971457345293991,,,0.0,1268.0807850001656,1268.0807850001656,0.1871658273571915,0.16666666666666669,0.06480843020613525,0.7709539890006454,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,22,3,5.0,,,,0.40245573206667,0.02641007287470799,1.3135440373624705,0.2561189699999886,0,400.0,0.0,1297.8533799996512,0,0,13.4319804122559,6.32622991034099,12.765032138279672,23.505613619135012,0.0,0.0,0.12159946653029985,16.307552962463763,cpu,,0.027062728915284436,,0.05205013639401388,,,0.0,1297.8533799996512,1297.8533799996512,0.212467919915865,0.1675,0.12093259410420554,1.027072959000634,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,33,0,0.0,,,,0.1768036027824763,0.10761334407311404,0.5441610407159543,0.2563669639998807,0,400.0,0.0,1278.637635999985,0,0,2.11314249253425,0.8847147027610492,1.7216001030880363,7.756150272994895,0.0,0.0,0.27324119701215743,16.381894502253175,cpu,,0.011714492629513705,,0.022951707280765832,,,0.0,1278.637635999985,1278.637635999985,0.21987461766989524,0.16041666666666668,0.10874267700986018,0.2563669639998807,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,33,1,0.5,,,,0.1834280885112271,0.0411407386531048,0.5716977093852642,0.25852695000003223,0,400.0,0.0,1318.9421150000271,0,0,2.2999689533444503,1.0628669626381777,2.023142594046969,4.9472151964037,0.0,0.0,0.2110637539121903,16.36745111989616,cpu,,0.012075702347778518,,0.023658130599601666,,,0.0,1318.9421150000271,1318.9421150000271,0.20859550952710737,0.15541666666666668,0.07772303109047485,0.5148939139999129,FPTO,0.5,mild,0.2,0.5,FPTO
