method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
pcgrad,0.0,0.0457,0.00043,0.35118,0.05282,0.04432,0.01088,0.00139,150.0
fpto,2.0,0.04638,0.00041,0.79782,0.09638,0.04537,0.53131,0.00101,150.0
wdro,0.0,0.04678,0.00026,0.99373,0.11667,0.04563,0.74803,0.00115,150.0
fplg,2.0,0.0725,0.00191,2.56402,0.02273,0.07165,2.23533,0.00086,150.0
fdfl-scal,2.0,0.0736,0.00227,2.56805,0.02368,0.07277,2.23953,0.00083,150.0
saa,0.0,0.07555,0.00019,2.57677,0.01561,0.0747,2.24851,0.00085,0.0
mgda,0.0,0.07603,0.00258,2.5766,0.02278,0.07525,2.24833,0.00078,150.0
