method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07344,0.00271,0.07426,0.00228,2.24259,2.57095,0.02309,397.55996,390.51431,2,0,0
fdfl-scal,0.5,0.07328,0.0027,0.0741,0.00227,2.24186,2.57026,0.02322,397.46751,390.42421,2,0,0
fdfl-scal,1.0,0.07311,0.00268,0.07394,0.00227,2.24111,2.56955,0.02337,397.372,390.33115,2,0,0
fdfl-scal,2.0,0.07277,0.00265,0.0736,0.00227,2.23953,2.56805,0.02368,397.17104,390.13551,2,0,0
fplg,0.0,0.07434,0.00288,0.07514,0.00237,2.24564,2.57396,0.02272,398.75474,391.6832,2,0,0
fplg,0.5,0.07343,0.00263,0.07425,0.00218,2.24258,2.57099,0.02269,398.0838,391.02687,2,0,0
fplg,1.0,0.07253,0.00241,0.07338,0.00203,2.23917,2.56771,0.0227,397.3733,390.33287,2,0,0
fplg,2.0,0.07165,0.00222,0.0725,0.00191,2.23533,2.56402,0.02273,396.61517,389.59311,2,0,0
fpto,0.0,0.04544,0.00053,0.04647,0.0004,0.72,0.96079,0.09217,120.02058,123.62161,2,0,0
fpto,0.5,0.04541,0.00053,0.04644,0.00041,0.67308,0.92033,0.093,120.01589,123.59564,2,0,0
fpto,1.0,0.04539,0.00052,0.04642,0.00041,0.62575,0.87952,0.09398,120.03287,123.58873,2,0,0
fpto,2.0,0.04537,0.0005,0.04638,0.00041,0.53131,0.79782,0.09638,120.1282,123.63621,2,0,0
mgda,0.0,0.07525,0.00316,0.07603,0.00258,2.24833,2.5766,0.02278,399.38083,392.29601,2,0,0
pcgrad,0.0,0.04432,0.00034,0.0457,0.00043,0.01088,0.35118,0.05282,120.77443,124.45196,2,0,0
saa,0.0,0.0747,0.00025,0.07555,0.00019,2.24851,2.57677,0.01561,249.35967,246.97059,2,0,0
wdro,0.0,0.04563,0.00041,0.04678,0.00026,0.74803,0.99373,0.11667,118.84237,122.95621,2,0,0
