task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,method_label,alpha_fair,hidden_dim,config_name,lam
medical_resource_allocation,cagrad,11,0,0.0,,,,67.39009565950278,99.55276442590235,378.7585715852469,6.121978782000042,140,2.0,2069.125223000128,12.388550000082432,0,0,17.289898465410143,8.741118673858757,17.056658894289562,37.87136764668898,0.6050310233997307,0.842399206587115,0.8826924825527196,6.634758738263738,cuda,,0.0652412162572826,,,,0.0697947078882327,6.121978782000042,FDFL-CAGrad,0.5,64,CAGrad,0.0
medical_resource_allocation,cagrad,22,0,0.0,,,,69.67760665168475,101.86117393220192,383.0734902087833,4.972608931000082,140,2.0,1901.4392030002227,11.692411000012726,0,0,15.041235038255747,8.645189420556932,11.41368615411889,35.368485952024635,0.5198890599802604,0.7782744273168062,0.8762481950636202,6.692057998865268,cuda,,0.0674557849987474,,,,0.0723352136162861,4.972608931000082,FDFL-CAGrad,0.5,64,CAGrad,0.0
medical_resource_allocation,cagrad,33,0,0.0,,,,62.96810045602342,92.48148703275314,363.1597534588301,6.615185073000021,140,2.0,2151.3591600004247,12.115078999954676,0,0,23.61325106018971,10.149096057536784,21.81491248742116,66.17749634458879,0.619501922839551,0.8445046559660779,0.8817881362633279,6.667230055923922,cuda,,0.0609602259643392,,,,0.0649176186673688,6.615185073000021,FDFL-CAGrad,0.5,64,CAGrad,0.0
medical_resource_allocation,cagrad,44,0,0.0,,,,65.686565461339,96.30799060982378,374.7050554412168,4.981361836000019,140,2.0,1885.6054269997455,11.318574000029002,0,0,19.41913074437004,9.29905964550033,16.932688099343544,55.93888993162779,0.6824417218372677,0.8869773934521304,0.8959183932285534,6.649517708519868,cuda,,0.0635920068152785,,,,0.0679105766696867,4.981361836000019,FDFL-CAGrad,0.5,64,CAGrad,0.0
medical_resource_allocation,cagrad,55,0,0.0,,,,61.7556840221996,84.4125422995371,349.9503791464102,6.35973664100004,140,2.0,2043.9190209997375,12.104080999961296,0,0,26.87733839060378,10.64807544487979,23.188604261179066,84.97826117039006,0.634192089549361,0.8472743025031718,0.88027281344639,6.72048514229354,cuda,,0.0597864700588328,,,,0.0635881830615369,6.35973664100004,FDFL-CAGrad,0.5,64,CAGrad,0.0
medical_resource_allocation,cagrad,11,0,0.0,,,,759.0311452960323,28.366575583344957,141.55421317811036,5.016984697999988,140,2.0,1867.252821000534,13.79953600007866,0,0,114.0227249349072,30.23049271286231,91.5820805550548,486.3449483166444,-0.0556286730523831,-0.2759540375099702,0.5047925576754002,7.524787418105085,cuda,,0.1290093814739432,,,,0.1142677674702038,5.016984697999988,FDFL-CAGrad,2.0,64,CAGrad,0.0
medical_resource_allocation,cagrad,22,0,0.0,,,,757.795333886882,27.428583784775284,141.8758036102263,5.971698465000031,140,2.0,2033.738865999794,11.602589000062837,0,0,128.33302735492043,31.361223043860463,86.68708588215961,581.0082393673961,-0.0637826343700275,-0.2823556153792001,0.4901031844882218,7.594655385036634,cuda,,0.1287993357248313,,,,0.11410295138252,5.971698465000031,FDFL-CAGrad,2.0,64,CAGrad,0.0
medical_resource_allocation,cagrad,33,0,0.0,,,,756.7986879290356,27.966618450867,140.64737439678174,5.24407163800015,140,2.0,1898.8599229998044,11.605758000087008,0,0,114.7234553444952,27.759298763954927,83.28561249180436,688.470431153154,-0.1045542953868486,-0.3067706745647014,0.5272639919991915,7.518112535868009,cuda,,0.1286299399373632,,,,0.1139699873144442,5.24407163800015,FDFL-CAGrad,2.0,64,CAGrad,0.0
medical_resource_allocation,cagrad,44,0,0.0,,,,756.4982554005082,29.151989459796493,139.05358853240452,5.043950178999921,140,2.0,1918.9311680001992,13.104746999943018,0,0,123.9280391620326,27.708066765465947,99.878971034686,794.4011907784515,-0.0558536410405429,-0.2540293289416069,0.518097415277077,7.530268021644038,cuda,,0.1285788766642417,,,,0.1139298983198093,5.043950178999921,FDFL-CAGrad,2.0,64,CAGrad,0.0
medical_resource_allocation,cagrad,55,0,0.0,,,,758.3161381902883,28.31419427952518,139.86062723094835,6.191380623999976,140,2.0,2061.9636729993545,11.544235999963348,0,0,110.47390129424149,27.044738504860774,90.89322847555944,563.4397268333295,-0.0400016484876917,-0.2931411552100185,0.5122423239219122,7.513697781271092,cuda,,0.128887854676218,,,,0.1141724168103349,6.191380623999976,FDFL-CAGrad,2.0,64,CAGrad,0.0
