method_label,lam,alpha_fair,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-CAGrad,0.0,0.5,5,0.0634071408188961,0.0031179390991319662,94.92319166004367,6.8542301099562595,369.92944996809746,13.40258978462421,0.6122111635212341,0.05925279068589957,0.8398859971650602,0.039037867609286334,0.8833840041109223,0.007428579691220678,5.81017425260004,0.7803411103672111
FDFL-CAGrad,0.0,2.0,5,0.1287810776953195,0.00017859533411758555,28.245592311661785,0.6297277824942743,140.59832138969426,1.1703085495585683,-0.06396417846749877,0.024274754688247847,-0.28245016232109943,0.019721415969783836,0.5104998946723605,0.014056962866715421,5.493617120800013,0.5493376582457883
FDFL-MGDA,0.0,0.5,5,0.07568486951746747,0.0014927653827548895,106.81622513657472,0.4985042919586947,396.68612229206656,1.6030133585285202,0.6034329610747226,0.05071470355479543,0.8527652598484636,0.04475315332379005,0.8741362573968161,0.012667465847635142,5.50459908639998,0.7416598420207146
FDFL-MGDA,0.0,2.0,5,0.1355286419705525,0.002547047865627744,34.04815783231048,1.4589754828997021,215.27587332928834,4.257939921739941,-0.060164661470991296,0.046255371922525386,-0.2324449333881054,0.04489709139303884,0.8783648210267689,0.0026613483312642335,5.608485414799975,0.6132785496297848
FDFL-PCGrad,0.0,0.5,5,0.05758705238402364,0.00119009446753625,30.707057509841064,1.3330666958162143,184.2034157791333,4.910720190934941,0.38248483064824507,0.024723268594616172,0.5618020882949909,0.03478345638653848,0.675111704490954,0.06003103105772282,5.5631523290000136,0.8850374899275525
FDFL-PCGrad,0.0,2.0,5,0.12952107919208708,0.000128397480465131,28.149033312694918,2.0710105730798225,127.32593765717209,0.579509979435977,0.03962510031008126,0.0108081134241799,-0.14936206679863878,0.005530669518600093,0.26402275014906573,0.04620070591984275,5.532790328600027,0.9381442381849331
FDFL-Scal,0.0,0.5,5,0.07173144318517212,0.0014616281576788023,105.06429103261584,0.8347762230401914,391.32911252110387,2.339157710240482,0.4508743223496838,0.04892969826273865,0.628578719928146,0.03562034555424789,0.8773886824810816,0.010070495586618102,4.42388734000001,0.3312290255792643
FDFL-Scal,0.5,0.5,5,0.06468406487879376,0.002363250888958485,98.11943400542192,3.585657870676232,374.99527054076424,7.413021082775932,0.44516217901995414,0.03612831862346203,0.6019645395813485,0.019243293200426226,0.8888850375999446,0.014664115423446762,4.502207630999988,0.3906378791613713
FDFL-Scal,1.0,0.5,5,0.0622083538562489,0.003124311086288009,48.01752277815313,12.739545730571303,267.208399768146,30.7535820243048,-0.017418612362660037,0.1253928553577916,0.0218588552345139,0.17789115182521859,0.8660505442266079,0.05809573323618967,4.388265779800008,0.24716557256398183
FDFL-Scal,5.0,0.5,5,0.05710492328823654,0.0008374062852654817,28.073396175039854,4.280920602141912,188.04535570944216,5.208683289921846,0.1797206570334789,0.038510638725913836,0.16077571701597534,0.08577582111588396,-0.21517439671815172,0.21566528533030768,4.330952294799954,0.2618492096615994
FDFL-Scal,0.0,2.0,5,0.13788663915400098,0.0009332444493318174,31.545387764460106,0.8238449384783362,178.6958413847346,2.342549621633246,0.10896014285151887,0.0138595918167066,0.053076105276976634,0.020383348011844663,0.8492975524107473,0.008691946112917412,4.41159999460001,0.3571887199822996
