method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fpto,0.0,0.04647,0.0004,23.08753,0.72511,0.04544,17.43973,0.00104,150.0
pcgrad,0.0,0.04676,0.00061,21.43859,1.37367,0.04426,3.72142,0.0025,150.0
wdro,0.0,0.04678,0.00026,21.93393,0.90933,0.04563,16.09752,0.00115,150.0
fdfl-scal,0.5,0.06092,0.00119,101.53408,0.53793,0.06036,83.9786,0.00057,100.0
fplg,2.0,0.07174,0.00182,122.50804,0.91435,0.07088,104.61482,0.00086,150.0
saa,0.0,0.07555,0.00019,60.85233,0.11009,0.0747,50.9935,0.00085,0.0
mgda,0.0,0.07603,0.00258,123.97973,0.95392,0.07525,106.05663,0.00078,150.0
