method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.12644,0.00138,0.1319,0.00147,0.0046,0.00734,0.00066,115.61546,120.83123,2,0,0
fdfl-scal,0.5,0.12644,0.00138,0.1319,0.00147,0.0046,0.00734,0.00066,115.61513,120.8313,2,0,0
fdfl-scal,1.0,0.12636,0.00127,0.13189,0.00148,0.00458,0.00733,0.00066,115.48367,120.78051,2,0,0
fdfl-scal,2.0,0.12644,0.00138,0.1319,0.00147,0.0046,0.00734,0.00066,115.61493,120.83246,2,0,0
fplg,0.0,0.12318,0.00135,0.129,0.00215,0.00608,0.00834,0.00078,123.61245,126.11751,2,0,0
fplg,0.5,0.12059,0.00135,0.1287,0.00198,0.00592,0.00855,0.00077,120.97151,124.9923,2,0,0
fplg,1.0,0.11892,0.00129,0.12869,0.00207,0.00579,0.00846,0.00078,119.56964,124.81739,2,0,0
fplg,2.0,0.11726,0.00102,0.1288,0.00222,0.00559,0.00836,0.00086,118.17013,124.72372,2,0,0
fpto,0.0,0.13806,0.0025,0.14028,0.00014,0.00429,0.00671,0.00044,120.02058,123.62161,2,0,0
fpto,0.5,0.13807,0.0025,0.14028,0.00014,0.00429,0.00671,0.00044,120.0206,123.62159,2,0,0
fpto,1.0,0.13807,0.00251,0.14028,0.00014,0.00429,0.00671,0.00044,120.02059,123.62146,2,0,0
fpto,2.0,0.13807,0.00251,0.14028,0.00014,0.00429,0.0067,0.00044,120.0205,123.6214,2,0,0
mgda,0.0,0.18548,0.00481,0.18266,0.00701,0.01063,0.01462,0.00032,372.08636,365.55355,2,0,0
pcgrad,0.0,0.12375,0.00079,0.13008,0.00135,0.00291,0.00777,0.00073,121.86057,124.62556,2,0,0
saa,0.0,0.28275,0.00099,0.27761,0.00181,0.00787,0.01082,0.00013,249.35967,246.97059,2,0,0
wdro,0.0,0.13912,0.00204,0.14137,7e-05,0.00378,0.00618,0.00046,118.84237,122.95621,2,0,0
