task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,55,0,0.0,1,1,150,val_regret,42.37835252478135,0.715186128078211,118.82258086114724,30.40210094954284,1.1722994570092984,116.23520808462175,45.85971088377187,0.8956136717750564,123.17441878905672,4.405718299999535,300,6.0,769.9722999914229,8.824399998957233,0,0,38.01991385318186,10.178785999673268,27.761834308647728,119.0408475029251,0.0,0.0,0.16378395057508421,7.712354536822098,cpu,0.0458064290857768,0.046188699293585066,0.0450608920772781,0.048005384318287915,0.048425405800263256,0.0471871889039072,3.522999999404419,0.9216999997079256,4.379699999844888,4.405718299999535
medical_resource_allocation,fpto,55,1,0.5,1,1,150,val_regret,42.357557354754135,0.6653005342001257,118.82204154291603,30.38879925081858,1.136069511944588,116.22352668176205,45.825830529274754,0.8545766733914866,123.14705070759472,4.3068821999995635,300,6.0,744.4763999974384,14.138499999717169,0,0,38.02143006071103,10.190059596465533,27.751669775539504,119.56221838739945,0.0,0.0,0.10657130341018387,7.712395164449958,cpu,0.04578638759850114,0.04615457588818914,0.04503878057797484,0.04798337290878625,0.04838789883713783,0.047162941972904236,5.501300000105402,0.9104999999181018,7.726699999693665,8.712600499999098
medical_resource_allocation,fpto,55,2,1.0,1,1,150,val_regret,42.34402456578448,0.6148323685618764,118.84569688118805,30.379910966172588,1.0994373421305477,116.23546478962653,45.79843364184353,0.8130626980062264,123.13902423732277,4.363840199999686,300,6.0,771.7847999938385,8.780000000115251,0,0,38.024330978713365,10.166334611035666,27.74026263529896,120.06927826069717,0.0,0.0,0.05138528469087042,7.712507597657858,cpu,0.04577299574176708,0.04612698246095737,0.04502439116670857,0.04796866525208921,0.04835757130436847,0.047147163498464185,3.479199999674165,0.9221000000252388,4.378700000415847,13.076440699998784
medical_resource_allocation,fpto,55,3,2.0,1,1,150,val_regret,42.330922923971684,0.5137414020933744,118.95873082312927,30.37150816907331,1.0273449194524464,116.31231418921517,45.75848235316539,0.7296699950451294,123.18926112598365,4.254245000000083,300,6.0,715.1167999882091,9.509199999229168,0,0,38.03822256492197,10.170770480585619,27.71944819489604,121.40948581585594,0.0,0.0,-0.04701939141140462,7.712947529632762,cpu,0.04576033536246997,0.04608674456971069,0.04501046019411079,0.04795476132282987,0.04831334957068184,0.047131888170481535,3.5468999994918704,1.5346000000135973,4.4276999997237,17.330685699998867
medical_resource_allocation,fdfl-scal,55,0,0.0,1,1,150,val_regret,67.26317329065296,2.3047145974279712,396.69750338469373,48.21559752393205,2.3217325717538078,396.058504761507,72.13312218331293,2.554624606883284,387.10140979362734,5.295996100000593,300,6.0,1469.654300000002,12.243099999977858,0,0,0.7113054589226303,0.6927262022568221,0.7114471920415948,0.7296159283998641,0.599927893329914,0.9315667858365699,0.5813645306846921,6.585601653747381,cpu,0.07264578038451515,0.07265059080020181,0.07152091603025348,0.0783366041237584,0.07834219775142941,0.07703018545605053,4.095000000233995,1.061400000253343,7.08669999949052,5.295996100000593
medical_resource_allocation,fdfl-scal,55,1,0.5,1,1,150,val_regret,67.1205537801826,2.303886020507146,396.59584903863686,48.11404929147682,2.3210452688777785,395.9534215014817,71.97506808241553,2.553839777078735,387.00303181970406,5.772307700000056,300,6.0,1482.0798000027935,9.633800000301562,0,0,0.7524409049225611,0.7272972355980277,0.7525524089138806,0.777744137494279,0.6007012756908434,0.9317772633960294,0.5844892275719078,6.585929441793329,cpu,0.07249277905357204,0.07249140285074068,0.0713692687389705,0.07815872202008352,0.07815712228818834,0.07685430423140849,3.7725000001955777,1.706900000499445,4.1543999996065395,11.068303800000649
medical_resource_allocation,fdfl-scal,55,2,1.0,1,1,150,val_regret,66.97534860650728,2.3030257683191784,396.4903767693954,48.01050601023201,2.3203300498278034,395.8443102640962,71.81396114873633,2.5530251710452774,386.9009986958516,5.563921400000254,300,6.0,1502.13850000182,9.766600000148173,0,0,0.7970122843911466,0.7638799791337288,0.7970129466615532,0.8309467849192841,0.601523458830515,0.9319903447355459,0.587672685145115,6.586281087200293,cpu,0.07233677180994369,0.07232914016808488,0.0712148721126217,0.07797740560556486,0.07796853744138325,0.07667529332064951,3.6024999999426655,1.7103999998653308,4.453700000340177,16.632225200000903
medical_resource_allocation,fdfl-scal,55,3,2.0,1,1,150,val_regret,66.6769158933705,2.301203112912443,396.26722679735474,47.79674788698924,2.3188135627763393,395.61320274246555,71.482616908321,2.5513013370790105,386.68518698101786,5.396244900000056,300,6.0,1484.672599995065,8.784699999523582,0,0,0.8955346636689067,0.8420180269681228,0.8951074489695765,0.9518459843415001,0.6032949200300505,0.9323793302630267,0.5940817412706639,6.58706017135748,cpu,0.07201470537348001,0.07199541893024297,0.07089754868030748,0.07760328292967539,0.07758088742110547,0.07630756821231605,3.5806999994747457,0.7997000002433197,4.404299999805517,22.02847010000096
medical_resource_allocation,fplg,55,0,0.0,1,1,150,val_regret,67.99705279132581,2.307959507996327,397.98604739944153,48.749221343737304,2.3245207099835747,397.35003613481035,72.9434232159316,2.557891392686487,388.35254418766067,5.255901599999561,300,6.0,1465.66640000583,9.790899999643443,0,0,0.2656253697478952,0.21550246562836287,0.2397558430997541,0.6927262022568221,0.5994918398649108,0.931319321318263,0.5712721074492199,6.5827882314125805,cpu,0.07344978408481725,0.07346670477064879,0.07230124992733475,0.07927231878335768,0.07929202884442815,0.07793612950504838,3.5533999998733634,1.7103000000133761,4.527199999756704,5.255901599999561
medical_resource_allocation,fplg,55,1,0.5,1,1,150,val_regret,67.30909704079886,2.3049475527425725,397.32508262089596,48.25881886921616,2.3219538185515334,396.6775523970308,72.1894089197782,2.554949383367602,387.7112465997023,5.327031299999362,300,6.0,1510.5977999874085,8.37000000046828,0,0,0.26907130776403687,0.218044184778267,0.24263940989319954,0.7048440546865783,0.603310283569111,0.9329201851383364,0.5936273264173553,6.584287642258702,cpu,0.07271090139345575,0.07270728132647662,0.07156974674277111,0.07841233279105714,0.07840812276676039,0.07708683176973355,3.088000000389002,0.9116999999605468,4.370300000118732,10.582932899998923
