task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fpto,11,0,0.0,,,,73.34771976357638,2.172834855733508,5.361224176947262,0.20033350100015923,0,160.0,0.0,768.493658999887,0,0,0.508476599882845,0.5079326998303695,0.5083469100981841,0.5093917153913832,0.0,0.0,0.7188267134057483,7.39679388603305,cpu,,0.16521242138512376,,0.409252773613595,,,0.20033350100015923,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,11,1,0.5,,,,73.2929697058708,2.1701571232789045,5.358313830239791,0.17714475100001437,0,160.0,0.0,724.9388029999864,0,0,0.6589382248930649,0.6579715070471935,0.6585083292212519,0.6609573239372517,0.0,0.0,0.7193962690487447,7.39675857028633,cpu,,0.1650999505008191,,0.4089219759732927,,,0.3774782520001736,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,11,2,1.0,,,,73.23864351623202,2.1674757538270093,5.355395252916426,0.16850332500007426,0,160.0,0.0,733.3583339998313,0,0,0.8263572607706177,0.8246946332076097,0.8254959789855852,0.829262494178128,0.0,0.0,0.7197998654637277,7.396742556842545,cpu,,0.1649881883566629,,0.4085935595981806,,,0.5459815770002479,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,11,3,5.0,,,,72.8192354662049,2.1459310667145925,5.331863622273124,0.17222211300008894,0,160.0,0.0,741.6500430001634,0,0,2.3028331260613095,2.291278553272842,2.3041097685420375,2.313927511626481,0.0,0.0,0.7232924229309552,7.397306574577003,cpu,,0.16412073408232322,,0.40605304926593544,,,0.7182036900003368,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,22,0,0.0,,,,73.39174724502655,2.1656508271403982,5.4202404103815836,0.18065750599998864,0,160.0,0.0,758.0467170000702,0,0,0.3995637506635434,0.39928107098726484,0.399437256876475,0.40005823250014294,0.0,0.0,0.6047049933828545,7.48706209392541,cpu,,0.16572946837511293,,0.4107987492622668,,,0.18065750599998864,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,22,1,0.5,,,,73.35088713889138,2.1637234005861226,5.418522146731238,0.19699695400004202,0,160.0,0.0,716.6438149999976,0,0,0.5212815357091195,0.5209005603646414,0.5212664563166455,0.5218159162193198,0.0,0.0,0.6052875419275164,7.486986668212456,cpu,,0.16564216687741332,,0.4105420367254934,,,0.37765446000003067,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,22,2,1.0,,,,73.31035350362694,2.161796468530028,5.41680278566246,0.18968234900012249,0,160.0,0.0,738.8347339999655,0,0,0.6651256103069892,0.6645633687889718,0.6653012015942601,0.66557975082931,0.0,0.0,0.6059493966934164,7.48692614780596,cpu,,0.16555554444565299,,0.41028761797191027,,,0.5673368090001532,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,22,3,5.0,,,,72.99845758881641,2.1464326687239925,5.403063705575043,0.17162092700004905,0,160.0,0.0,923.8859269999011,0,0,1.9772066495675467,1.9760829784205125,1.9771387491334629,1.9785769147684003,0.0,0.0,0.6100178112753503,7.48697531139225,cpu,,0.1648863354465501,,0.4083271000316559,,,0.7389577360002022,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,33,0,0.0,,,,72.67604477134185,2.133612465181617,5.354708452469649,0.2915943950001747,0,160.0,0.0,1272.694945000012,0,0,0.48942080526426646,0.48818095875830075,0.4893793826053463,0.4907973959027981,0.0,0.0,0.6341099783611708,7.241732877988878,cpu,,0.16396023610757485,,0.4053702786322976,,,0.2915943950001747,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,33,1,0.5,,,,72.62889139065075,2.1313791942801936,5.352484050852935,0.2973293239999748,0,160.0,0.0,1242.28810600016,0,0,0.6284502675704625,0.6262215025887672,0.6283273660200435,0.6309928868787915,0.0,0.0,0.6344771554305566,7.241939291875193,cpu,,0.16385997557019844,,0.4050773895253924,,,0.5889237190001495,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,33,2,1.0,,,,72.58191695731418,2.1291336290888507,5.350249333083914,0.283234450000009,0,160.0,0.0,1215.1355409998814,0,0,0.789920204586269,0.7864104710012079,0.789746602505823,0.7941884257284378,0.0,0.0,0.6348390279761895,7.242166139011989,cpu,,0.16375992344595866,,0.4047853319444202,,,0.8721581690001585,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,33,3,5.0,,,,72.2138994873161,2.1107820505590205,5.3319293209717475,0.20375190699996892,0,160.0,0.0,756.1837619998641,0,0,2.27300832120686,2.2443569283745766,2.2713747587447766,2.310812550968241,0.0,0.0,0.640664114077697,7.2447225538720135,cpu,,0.16297115388645214,,0.40248938142931107,,,1.0759100760001274,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,44,0,0.0,,,,73.01391843942234,2.1754949294458683,5.43089930614279,0.22351504199991723,0,160.0,0.0,766.1202700001013,0,0,0.4175371359944656,0.41735226991363455,0.4175057616561382,0.4177594614466662,0.0,0.0,0.6422119362432308,7.273924492837611,cpu,,0.164733280843335,,0.40741584149931,,,0.22351504199991723,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,44,1,0.5,,,,72.97781728654996,2.1736885485370934,5.429112871576583,0.2149094190001506,0,160.0,0.0,770.4227670001274,0,0,0.5341183732863497,0.5338411891528017,0.5339709968571469,0.5347567831349352,0.0,0.0,0.6425635718082537,7.273958511223186,cpu,,0.1646527734235473,,0.4071823630873861,,,0.4384244610000678,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,44,2,1.0,,,,72.94197109068472,2.171882449587525,5.427326528270891,0.20106257400016148,0,160.0,0.0,766.7201679998925,0,0,0.668756737249405,0.6680964834516961,0.6684821997643826,0.6696094292702663,0.0,0.0,0.6428854731796751,7.2740053676363265,cpu,,0.16457272176093324,,0.4069503186761073,,,0.6394870350002293,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,44,3,5.0,,,,72.66173567790206,2.15737756487381,5.412983952447283,0.19793626399996356,0,160.0,0.0,812.6186749998396,0,0,1.8941295742190398,1.8867299210147535,1.892815945867043,1.9045832995060368,0.0,0.0,0.6449980631288336,7.2748397628572885,cpu,,0.16394378544902158,,0.40513177701703357,,,0.8374232990001929,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,55,0,0.0,,,,71.81830728670255,2.164944287448666,5.42009424842435,0.18880079099994873,0,160.0,0.0,811.026148999872,0,0,0.5236626851202342,0.5231466537586904,0.5235894732259045,0.5243343054198887,0.0,0.0,0.6898848651063776,7.3316227659024396,cpu,,0.16161422344165052,,0.39822758456977425,,,0.18880079099994873,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,55,1,0.5,,,,71.74982728890356,2.1619802850363903,5.417216132119729,0.21472019299994827,0,160.0,0.0,832.7829859999838,0,0,0.6808141825892012,0.6797396455291209,0.6807530989222408,0.682232507265728,0.0,0.0,0.690410480437031,7.331647430310744,cpu,,0.16147229362549692,,0.3978138628657162,,,0.403520983999897,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,55,2,1.0,,,,71.68194176550091,2.159010369151006,5.414330957702349,0.21228048199986915,0,160.0,0.0,793.1577619999644,0,0,0.8581688185165139,0.8563261153798957,0.857968687446217,0.8607228829118563,0.0,0.0,0.6908608062742277,7.331694371265807,cpu,,0.1613313630234915,,0.3974033694123995,,,0.6158014659997662,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,fpto,55,3,5.0,,,,71.15382126780347,2.134951606737252,5.390869342351343,0.18201287500005492,0,160.0,0.0,765.940283999953,0,0,2.44792080544441,2.426599645555255,2.448025440472782,2.475241233975172,0.0,0.0,0.6951458770933006,7.332887156341456,cpu,,0.16022667733319243,,0.39419827815475295,,,0.7978143409998211,FPTO,2.0,high,0.5,0.75,FPTO
md_knapsack,saa,11,0,0.0,,,,72.65673283703174,1.348541085831303,4.641473565934843,4.48159998995834e-05,0,160.0,0.0,730.1462120001361,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.396657338010671,cpu,,0.1641824035861173,,0.4057643544468026,,,4.48159998995834e-05,SAA,2.0,high,0.5,0.75,SAA
md_knapsack,saa,22,0,0.0,,,,72.65673283703174,1.348541085831303,4.641473565934843,6.047800002306758e-05,0,160.0,0.0,1083.8775950001036,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.487227171007814,cpu,,0.1641824035861173,,0.4057643544468026,,,6.047800002306758e-05,SAA,2.0,high,0.5,0.75,SAA
md_knapsack,saa,33,0,0.0,,,,72.65673283703174,1.348541085831303,4.641473565934843,6.361400005516771e-05,0,160.0,0.0,1199.9275460000263,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.241082829028799,cpu,,0.1641824035861173,,0.4057643544468026,,,6.361400005516771e-05,SAA,2.0,high,0.5,0.75,SAA
md_knapsack,saa,44,0,0.0,,,,72.65673283703174,1.348541085831303,4.641473565934843,6.72749999921507e-05,0,160.0,0.0,1144.2453629999818,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2742386121387455,cpu,,0.1641824035861173,,0.4057643544468026,,,6.72749999921507e-05,SAA,2.0,high,0.5,0.75,SAA
