task,method,seed,stage_idx,lambda,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,11,0,0.0,61.579914307767694,73.37653284993368,287.53228091079495,,,,62.10729608302745,61.7224447526112,286.99345602906965,2.307888700001058,140,4.0,312.16139997559367,9.260999999241903,0,0,48.39591643312566,20.013496820611348,36.88494939877047,116.58876091014149,0.0,0.0,0.8831705425429801,6.900089806804138,cpu,,0.0601268702062824,0.059667152203154265,,,,,0.0639733899185723,0.06345322546473997,2.630499999213498,0.0,6.630500000028405,2.307888700001058
medical_resource_allocation,fpto,11,1,0.5,64.53278681435859,32.25860606542931,205.34522115886847,,,,65.48233937665373,34.36896904807331,206.57929410884265,2.3373504000046523,140,4.0,326.43660002941033,6.215200002770871,0,0,71.18935591979648,23.06772487306927,56.66292563365323,151.91538758299995,0.0,0.0,0.8678653837954884,7.17791026261083,cpu,,0.06339429292236982,0.06252830417564156,,,,,0.06768514481955362,0.06669887150103,2.5756000031833537,0.0,3.6395999995875172,4.6452391000057105
medical_resource_allocation,fpto,11,2,1.0,61.451600784462926,27.572792919791524,189.2259003161028,,,,62.46137365382572,32.813357554137596,191.031915905469,2.2841570999953547,140,4.0,290.8551999935298,6.4022999940789305,0,0,81.0729458001562,26.206619900504258,67.55495304003031,183.67209143235036,0.0,0.0,0.7305549433374342,7.252444101411083,cpu,,0.06046965724556813,0.05954282428534515,,,,,0.06436157992331418,0.06331263753726847,2.7142999970237724,0.0,3.687999997055158,6.929396200001065
medical_resource_allocation,fpto,11,3,5.0,52.47939874947292,6.046796760968171,160.76944408496612,,,,54.23749374254544,34.62018836412283,161.68508169074317,2.34405720000359,140,4.0,321.57099999312777,13.807199989969376,0,0,180.28331131388143,52.49056307040908,144.3465967933214,472.8618021295083,0.0,0.0,0.14110370642944423,7.5358957191597336,cpu,,0.0525080135868816,0.050849311953651784,,,,,0.05541789729078241,0.05357348690155377,5.705899995518848,0.0,8.101299994450528,9.273453400004655
medical_resource_allocation,fpto,22,0,0.0,58.882739662187646,78.76148865668084,295.68427790815934,,,,59.220429551021084,65.79135911861576,296.20649965899366,2.2975605000028736,140,4.0,299.4621000252664,8.847699995385483,0,0,46.90110348270571,20.240701887503654,35.98343483875708,113.85844260149166,0.0,0.0,0.8727663514257069,6.952142934388434,cpu,,0.0573320576766762,0.057053755742548715,,,,,0.06081893220572891,0.06050584122902705,3.1414999975822866,0.0,5.706199997803196,2.2975605000028736
medical_resource_allocation,fpto,22,1,0.5,60.5068745494591,31.08098756439239,204.44069461463135,,,,61.208685306343455,31.089490042308494,205.61044210958468,2.2308766999994987,140,4.0,297.8139000115334,13.180200003262144,0,0,70.63671970067612,23.045865541253708,52.46720172263129,154.62853146367493,0.0,0.0,0.8690931450085682,7.236148933991442,cpu,,0.05925691358373978,0.05862744262741426,,,,,0.06298947548950656,0.0622786825133783,5.466300004627556,0.0,7.713899998634588,4.528437200002372
medical_resource_allocation,fpto,22,2,1.0,58.64432293111736,26.55198887350864,185.3048589117447,,,,59.402066309006045,30.125197120859614,186.99856781233353,2.248284200002672,140,4.0,314.063499950862,10.552300002018455,0,0,81.04607283998914,25.921574857573678,68.8839880481636,186.99377878325376,0.0,0.0,0.7397559770710984,7.330464026093618,cpu,,0.057507902552573736,0.05682274458346441,,,,,0.06101685383710246,0.06024609293442914,2.6046999992104247,0.0,7.947600002808031,6.776721400005044
medical_resource_allocation,fpto,22,3,5.0,53.141796731236354,4.921814074844028,179.5863941044133,,,,54.689739065114395,18.61530860794021,173.7465845451197,2.2145934000000125,140,4.0,291.08070001529995,9.260999999241903,0,0,195.40297171570614,49.965036976557926,162.99056709049225,511.44593945275847,0.0,0.0,0.1219742226534104,7.617622447197144,cpu,,0.05294583808619888,0.051491134886360146,,,,,0.05590581850060852,0.05428640340666826,3.175799996824935,0.0,6.085200002416968,8.991314800005057
medical_resource_allocation,fpto,33,0,0.0,61.687080998321335,51.66270562219482,248.8598105481965,,,,62.361520381382434,46.0492197358093,249.76366454914233,2.239473800000269,140,4.0,300.15379997348646,13.374399997701403,0,0,56.14007797925653,22.03033246087981,42.88814641790771,120.99518107140136,0.0,0.0,0.8834425062175645,6.989155539504016,cpu,,0.06037298801134735,0.059770990139732326,,,,,0.06425207794268524,0.06357067215849381,5.3079999997862615,0.0,8.066399997915141,2.239473800000269
medical_resource_allocation,fpto,33,1,0.5,63.324056260426914,31.337173398656986,196.71841030261137,,,,64.11192188709526,33.417259376239635,198.31363496412874,2.293034499998612,140,4.0,316.17940004798584,10.828200000105426,0,0,74.0513818996269,25.815536508802168,64.41674755460704,151.25571119623524,0.0,0.0,0.8061321361855079,7.204386946494568,cpu,,0.062067574167572526,0.0613571185586303,,,,,0.06617488899851898,0.06536790484620837,3.2418999981018715,0.0,7.586300002003554,4.532508299998881
medical_resource_allocation,fpto,33,2,1.0,59.86032774727096,26.626743920039434,183.3704773172439,,,,60.71255214257542,30.48963919598826,185.13472434920388,2.293796099998872,140,4.0,298.2666000170866,7.9092000087257475,0,0,83.20792951923424,29.735245082359523,66.71362222410389,183.01926028724316,0.0,0.0,0.654986463078056,7.258497151142966,cpu,,0.05877660070225427,0.05800097851348554,,,,,0.06244702452797918,0.061572227985924585,3.076500004681293,0.0,4.8327000040444545,6.826304399997753
medical_resource_allocation,fpto,33,3,5.0,53.246438262325455,2.5871076850748334,170.93976411177454,,,,55.19604641292676,46.17318205348417,168.27154566495452,2.307342600004631,140,4.0,311.55059997399803,10.415299999294803,0,0,161.9254357655793,62.809567153450196,120.49849205195954,450.1771853225731,0.0,0.0,0.08731405836318275,7.5878680239640115,cpu,,0.05343600072579769,0.05159252609861581,,,,,0.05645260200765174,0.05439911379692525,3.2109000021591783,0.0,7.204399997135624,9.133647000002384
medical_resource_allocation,fpto,44,0,0.0,61.5371438883451,57.02419187362418,266.9544317391237,,,,62.185356509549365,48.84383703446332,267.9347829730204,2.327746599999955,140,4.0,317.1616999316029,6.240800001251046,0,0,52.610812421247516,20.595870075598146,39.77280671176278,119.48897915803288,0.0,0.0,0.8992436629984412,6.948102715537436,cpu,,0.06020244150675338,0.059625710295445104,,,,,0.06405894648553291,0.06340635951901472,2.5811000014073215,0.0,3.659699999843724,2.327746599999955
medical_resource_allocation,fpto,44,1,0.5,63.82120401738803,32.08093225241316,203.594821467363,,,,64.644952576793,35.531220283955925,205.3304226854509,2.2889289999948232,140,4.0,300.63620000873925,7.249000002047978,0,0,72.86427520807679,24.179167314535654,65.2733332124392,149.65042981037317,0.0,0.0,0.8209483925974937,7.189748842139555,cpu,,0.06258360801732467,0.0618388241799438,,,,,0.06676180249521528,0.06591492567989701,2.8261999977985397,0.0,4.422800004249439,4.616675599994778
medical_resource_allocation,fpto,44,2,1.0,60.227482406949775,27.491284805162,188.8896214319955,,,,61.10107713873708,32.41415204879005,190.7886539859679,2.3150078000035137,140,4.0,302.0294999878388,11.082500001066364,0,0,82.40420035790383,27.8721805755392,67.37682282816067,181.66008849049584,0.0,0.0,0.6551533075579765,7.2451706504294755,cpu,,0.059152736736012346,0.05835672881303394,,,,,0.06287177424611902,0.061973287123343164,2.972599999338854,0.0,8.10990000172751,6.931683399998292
