method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
fpto,5.0,0.05292,0.0007,31.6318,10.22621,0.05125,4.31598,0.00167
pcgrad,0.0,0.05759,0.00119,30.70706,1.33307,0.05674,25.92822,0.00085
wdro,0.0,0.06056,0.00178,33.57356,1.26747,0.05991,32.87892,0.00065
fdfl-scal,1.0,0.06513,0.00348,99.24904,5.25088,0.06498,116.13463,0.00015
fplg,5.0,0.0743,0.00134,106.45744,0.54346,0.07433,124.4059,-4e-05
saa,0.0,0.07517,0.0,49.92568,0.0,0.07525,62.86619,-8e-05
mgda,0.0,0.07568,0.00149,106.81623,0.4985,0.07571,124.79447,-2e-05
