task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,val_decision_ms_eval,test_decision_ms_eval,test_decision_ms,test_decision_alloc_gap,test_decision_selection_gap,test_decision_welfare_gap,cumulative_wallclock_sec,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fpto,11,0,0.0,,,,0.14740965083181362,0.10651531397240935,0.5388010822670279,0.349671595000018,0,400.0,0.0,1944.592905999798,0,0,1.5429225178060848,0.8768828329322006,1.4581423142097454,3.4051881958658425,0.0,0.0,0.16917720944242182,16.32051622147218,cpu,,0.009639670846283149,,0.018924393601758776,,,0.0,1944.592905999798,1944.592905999798,0.19360625943070303,0.14041666666666666,0.1092967533500594,0.349671595000018,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,11,1,0.5,,,,0.15891382164053386,0.06987527575790026,0.5734911038074586,0.2597264820001328,0,400.0,0.0,1314.110238000012,0,0,2.142287460560972,1.217279045151642,1.991219425680955,5.41218046126298,0.0,0.0,0.2566002934154533,16.320308019151454,cpu,,0.010389230659105318,,0.020401450108070554,,,0.0,1314.110238000012,1314.110238000012,0.20448302121569756,0.15416666666666667,0.10019315387702277,0.6093980770001508,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,11,2,1.0,,,,0.18238861519080168,0.11131731319852439,0.6523944122546956,0.25425735399994664,0,400.0,0.0,1305.4826319998938,0,0,2.6591372216131113,1.3576901187679076,2.504087899816807,5.5219495995147145,0.0,0.0,0.23508757895365825,16.308052243285193,cpu,,0.01194742429934398,,0.023420515668498797,,,0.0,1305.4826319998938,1305.4826319998938,0.21795345768640656,0.15874999999999997,0.1196295236725915,0.8636554310000975,FPTO,0.5,mild,0.2,0.5,FPTO
md_knapsack,fpto,11,3,5.0,,,,0.2865725199909882,0.06711003659313852,1.06646107580067,0.2577555869997923,0,400.0,0.0,1276.589237999815,0,0,8.806836376813376,3.630838794194732,8.668956275192464,19.66775268339392,0.0,0.0,0.1790397185311537,16.292662469287464,cpu,,0.018899157245016996,,0.036776980111135546,,,0.0,1276.589237999815,1276.589237999815,0.1862864877447431,0.15291666666666667,0.05662371752681006,1.1214110179998897,FPTO,0.5,mild,0.2,0.5,FPTO
