method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07463,0.00145,0.07494,0.00129,0.00338,0.00334,0.00294,394.3465,396.12545,5,0,0
fdfl-scal,0.5,0.07464,0.00138,0.07496,0.00122,0.00319,0.00316,0.00281,394.35409,396.13316,5,0,0
fdfl-scal,1.0,0.07465,0.00132,0.07497,0.00116,0.00301,0.00299,0.00268,394.36175,396.14096,5,0,0
fdfl-scal,2.0,0.07467,0.00121,0.075,0.00104,0.00266,0.00267,0.00243,394.37724,396.15673,5,0,0
fplg,0.0,0.07503,0.00149,0.07536,0.00131,0.00301,0.00296,0.00243,394.90177,396.68207,5,0,0
fplg,0.5,0.07452,0.00142,0.07484,0.00127,0.00349,0.00342,0.00304,394.50276,396.28096,5,0,0
fplg,1.0,0.07402,0.00136,0.07434,0.00125,0.00433,0.00434,0.00372,394.09147,395.86749,5,0,0
fplg,2.0,0.07353,0.00132,0.07384,0.00124,0.00578,0.00582,0.00402,393.66596,395.43972,5,0,0
fpto,0.0,0.04957,0.00073,0.04999,0.00078,1.76451,1.75032,0.0891,138.3287,140.12448,5,0,0
fpto,0.5,0.0496,0.00073,0.05002,0.00078,1.72913,1.71765,0.08901,138.34424,140.14475,5,0,0
fpto,1.0,0.04964,0.00073,0.05006,0.00077,1.69399,1.68519,0.08882,138.37351,140.17927,5,0,0
fpto,2.0,0.04972,0.00074,0.05015,0.00077,1.62412,1.6206,0.08839,138.46969,140.28557,5,0,0
mgda,0.0,0.07554,0.00156,0.07587,0.00135,0.00295,0.00301,0.00196,395.28616,397.06842,5,0,0
pcgrad,0.0,0.05784,0.00198,0.05831,0.00201,0.00355,0.13438,0.09485,163.23777,165.66681,5,0,0
saa,0.0,0.07503,0.00023,0.07537,0.00024,0.001,0.001,0.0,247.33362,249.17277,5,0,0
wdro,0.0,0.04852,0.0006,0.04896,0.00049,1.60086,1.59178,0.09547,129.14993,131.09432,5,0,0
