method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
wdro,0.0,0.04896,0.00049,1.59178,0.09547,0.04852,1.60086,0.00044,70.0
fpto,0.0,0.04999,0.00078,1.75032,0.0891,0.04957,1.76451,0.00042,70.0
pcgrad,0.0,0.05831,0.00201,0.13438,0.09485,0.05784,0.00355,0.00046,70.0
fplg,2.0,0.07384,0.00124,0.00582,0.00402,0.07353,0.00578,0.00031,70.0
fdfl-scal,0.0,0.07494,0.00129,0.00334,0.00294,0.07463,0.00338,0.00032,70.0
saa,0.0,0.07537,0.00024,0.001,0.0,0.07503,0.001,0.00034,0.0
mgda,0.0,0.07587,0.00135,0.00301,0.00196,0.07554,0.00295,0.00033,70.0
