task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fpto,11,0,0.0,,,,3.572489911984718,0.4784936623262041,4.713874374612987,0.5292876450000676,0,160.0,0.0,728.3123709999018,0,0,0.22021831389078353,0.22019790626077937,0.22021108321049931,0.2202829922026732,0.0,0.0,-0.2904772667199661,10.928540610571138,cpu,,0.0726847451513833,,0.13364832340767369,,,0.5292876450000676,FPTO,0.5,mild,0.1,0.5,FPTO
md_knapsack,fpto,11,1,0.5,,,,3.573298289787273,0.47947030727869466,4.714222096143299,0.45909414900006595,0,160.0,0.0,712.2619479998775,0,0,0.21581490677504664,0.2156736697516878,0.2158033709873583,0.21598144261349328,0.0,0.0,-0.29036534807306624,10.928482635186212,cpu,,0.07270381628426266,,0.1336814652066181,,,0.9883817940001336,FPTO,0.5,mild,0.1,0.5,FPTO
md_knapsack,fpto,11,2,1.0,,,,3.574097662995631,0.4804314141203565,4.714563954817531,0.4593318699999145,0,160.0,0.0,732.9007680000359,0,0,0.26212265087272585,0.2602051642247148,0.2622319207620535,0.26360542795851394,0.0,0.0,-0.2902836587166764,10.928428164906553,cpu,,0.07272267214834514,,0.13371422913451952,,,1.447713664000048,FPTO,0.5,mild,0.1,0.5,FPTO
md_knapsack,fpto,11,3,5.0,,,,3.5767949804254284,0.4836396671503555,4.715705495817148,0.4645936920001077,0,160.0,0.0,696.9561149999208,0,0,0.6064373044018477,0.21019822827985737,0.5668224736286471,1.0680320480754477,0.0,0.0,-0.2900117393334325,10.928265598252965,cpu,,0.07278629134003631,,0.13382476920736308,,,1.9123073560001558,FPTO,0.5,mild,0.1,0.5,FPTO
