method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fplg,1.0,0.12866,0.00205,0.57813,0.1034,0.11889,0.30457,0.00977,150.0
pcgrad,0.0,0.12899,0.00171,0.41675,0.14948,0.12096,0.09054,0.00803,105.0
fdfl-scal,2.0,0.13176,0.00146,0.73928,0.0955,0.12627,0.46738,0.00549,140.0
fpto,2.0,0.13948,0.00022,0.79782,0.09638,0.13716,0.53131,0.00233,150.0
wdro,0.0,0.14137,7e-05,0.99373,0.11667,0.13912,0.74803,0.00225,150.0
mgda,0.0,0.19057,0.00652,2.38953,0.05213,0.19394,2.06077,-0.00337,150.0
saa,0.0,0.27761,0.00181,2.57677,0.01561,0.28275,2.24851,-0.00514,0.0
