method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.13152,0.00013,0.13217,7e-05,1.83297,0.00716,1.71092,0.01431,120.71253,124.32774,5,0,0
fdfl-scal,0.5,0.13157,0.00013,0.13221,7e-05,1.815,0.00723,1.69479,0.01434,120.68646,124.30476,5,0,0
fdfl-scal,1.0,0.13163,0.00013,0.13225,7e-05,1.79714,0.00736,1.67875,0.01436,120.66355,124.286,5,0,0
fdfl-scal,5.0,0.13214,0.00016,0.13267,7e-05,1.65584,0.00767,1.55215,0.01458,120.5956,124.24588,5,0,0
fplg,0.0,0.1317,0.00049,0.13254,0.00038,2.00936,0.01648,1.93226,0.01734,144.96087,147.95971,5,0,0
fplg,0.5,0.12556,0.00014,0.12813,8e-05,2.04486,0.00922,1.90482,0.01024,123.08575,126.86988,5,0,0
fplg,1.0,0.12405,0.00016,0.12772,4e-05,1.99909,0.01248,1.84788,0.00561,120.54911,124.9309,5,0,0
fplg,5.0,0.12321,0.0002,0.12759,8e-05,1.86448,0.00981,1.72426,0.00708,119.43209,124.34027,5,0,0
fpto,0.0,0.1978,0.00767,0.19565,0.00757,0.93619,0.39918,0.95892,0.39747,263.67029,264.38006,5,0,0
fpto,0.5,0.19779,0.00747,0.19564,0.00737,0.91905,0.39277,0.94182,0.39125,264.76451,265.4672,5,0,0
fpto,1.0,0.19779,0.00728,0.19563,0.00717,0.90219,0.38637,0.92499,0.38503,265.85724,266.55292,5,0,0
fpto,5.0,0.19802,0.00571,0.19583,0.00558,0.77674,0.33648,0.79969,0.33647,274.51293,275.15818,5,0,0
mgda,0.0,0.16269,0.00397,0.16214,0.00424,0.25719,0.02761,0.26001,0.02811,360.12252,361.10056,5,0,0
pcgrad,0.0,0.12935,0.0019,0.13414,0.00167,0.32297,0.12429,0.49294,0.1095,153.92439,158.27663,5,0,0
saa,0.0,0.28024,0.0,0.27893,0.0,0.001,0.0,0.001,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.1926,0.00921,0.19054,0.00922,1.88405,0.22463,1.90271,0.20666,197.6156,199.12883,5,0,0
