method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
fplg,5.0,0.12759,8e-05,1.72426,0.00708,0.12321,1.86448,0.00438
fdfl-scal,0.0,0.13217,7e-05,1.71092,0.01431,0.13152,1.83297,0.00065
pcgrad,0.0,0.13414,0.00167,0.49294,0.1095,0.12935,0.32297,0.00479
mgda,0.0,0.16214,0.00424,0.26001,0.02811,0.16269,0.25719,-0.00055
wdro,0.0,0.19054,0.00922,1.90271,0.20666,0.1926,1.88405,-0.00206
fpto,1.0,0.19563,0.00717,0.92499,0.38503,0.19779,0.90219,-0.00216
saa,0.0,0.27893,0.0,0.001,0.0,0.28024,0.001,-0.00132
