method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fplg,1.0,0.12656,0.00194,1.87271,0.17712,0.1227,1.95522,0.00387,70.0
fdfl-scal,0.0,0.12993,0.00199,1.70319,0.18209,0.1287,1.78407,0.00124,70.0
pcgrad,0.0,0.13835,0.00314,0.30197,0.24812,0.13464,0.02995,0.00371,70.0
wdro,0.0,0.15011,0.00211,1.56179,0.12044,0.15035,1.64701,-0.00023,70.0
fpto,0.0,0.15412,0.00244,1.71329,0.10038,0.15462,1.80179,-0.0005,70.0
mgda,0.0,0.15497,0.00307,0.26592,0.02655,0.15586,0.27228,-0.00089,70.0
saa,0.0,0.28073,0.00205,0.001,0.0,0.27845,0.001,0.00228,0.0
