method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fplg,0.5,0.12859,0.00196,26.46571,1.40157,0.12025,18.73866,0.00834,150.0
pcgrad,0.0,0.13049,0.00098,24.78222,2.20876,0.12473,14.28612,0.00576,50.0
mgda,0.0,0.13115,0.00156,14.26584,16.34515,0.12649,4.21657,0.00467,150.0
fdfl-scal,0.0,0.1319,0.00147,23.75922,1.35767,0.12644,17.45841,0.00546,140.0
fpto,0.0,0.14028,0.00014,23.08753,0.72511,0.13806,17.43973,0.00222,150.0
wdro,0.0,0.14137,7e-05,21.93393,0.90933,0.13912,16.09752,0.00225,150.0
saa,0.0,0.27761,0.00181,60.85233,0.11009,0.28275,50.9935,-0.00514,0.0
