method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.12644,0.00138,0.1319,0.00147,17.45841,23.75922,1.35767,115.61546,120.83123,2,0,0
fdfl-scal,0.5,0.12733,0.0016,0.13235,0.00138,13.55595,23.14199,1.23616,115.93596,121.15176,2,0,0
fdfl-scal,1.0,0.12824,0.00134,0.13302,0.00128,10.48512,22.6751,1.35262,116.37939,121.67154,2,0,0
fdfl-scal,2.0,0.13097,0.00152,0.13493,0.00108,6.3808,21.84729,1.24832,119.09645,124.23655,2,0,0
fplg,0.0,0.12318,0.00135,0.129,0.00215,21.82093,26.67967,1.4423,123.61245,126.11751,2,0,0
fplg,0.5,0.12025,0.00133,0.12859,0.00196,18.73866,26.46571,1.40157,121.20014,125.24428,2,0,0
fplg,1.0,0.11826,0.00193,0.12865,0.00211,16.46459,26.41657,1.78326,120.44426,125.79213,2,0,0
fplg,2.0,0.11746,0.00438,0.12895,0.00212,13.98243,26.29811,2.9682,120.88987,126.91885,2,0,0
fpto,0.0,0.13806,0.0025,0.14028,0.00014,17.43973,23.08753,0.72511,120.02058,123.62161,2,0,0
fpto,0.5,0.13954,0.00261,0.14157,0.00032,11.92762,21.90341,0.74218,119.64881,123.76301,2,0,0
fpto,1.0,0.14246,0.00264,0.14432,0.00073,7.23465,21.06707,0.97072,120.84508,125.56594,2,0,0
fpto,2.0,0.14687,0.00325,0.14864,0.00188,1.18304,19.74034,2.22803,124.13769,130.46663,2,0,0
mgda,0.0,0.12649,0.00087,0.13115,0.00156,4.21657,14.26584,16.34515,158.79323,168.17197,2,0,0
pcgrad,0.0,0.12473,0.00164,0.13049,0.00098,14.28612,24.78222,2.20876,122.63234,125.59108,2,0,0
saa,0.0,0.28275,0.00099,0.27761,0.00181,50.9935,60.85233,0.11009,249.35967,246.97059,2,0,0
wdro,0.0,0.13912,0.00204,0.14137,7e-05,16.09752,21.93393,0.90933,118.84237,122.95621,2,0,0
